year,attempt_id,driver_name,strict_performance,current_ready,current_forecast_ready,ready_except_reference,forecast_ready_except_reference,ready_except_point_time,ready_except_ptsc,ready_except_env_alignment,forecast_ready_except_hrrr,structural_nonreference_ready,missing_components,missing_component_count
2020,00d1c34a-f916-5fa9-803b-2cc6962f2595,Josef Newgarden,True,False,False,True,True,False,False,False,False,True,REFERENCE,1
2020,d8f3d4d6-6f33-5dbd-80ed-75cd29056b63,Josef Newgarden,False,False,False,False,False,False,False,False,False,False,,0
2020,6041dd38-4b6d-5e38-81fd-8006cbe0bafd,Felix Rosenqvist,True,False,False,True,True,False,False,False,False,True,REFERENCE,1
2020,449bb30a-dc85-5fd4-bc68-156753bda025,Will Power,True,False,False,False,False,False,False,False,False,False,REFERENCE;POINT_TIME;ENV_ALIGNMENT;PTSC;HRRR,5
2020,317f7650-a81e-56a5-b488-2767d7046566,"Power, Will",False,False,False,False,False,False,False,False,False,False,,0
2020,f0b1cd27-f6b6-51e1-b91c-159cdeca670d,"Power, Will",False,False,False,False,False,False,False,False,False,False,,0
2020,925bf85d-b3b8-58a5-b0a4-2df4955f2bb7,Will Power,False,False,False,False,False,False,False,False,False,False,,0
2020,bbb6e306-5fe0-5643-8ab7-7f370f77a1fe,Will Power,False,False,False,False,False,False,False,False,False,False,,0
2020,cbdbf766-10d3-516e-83ad-3cb56f8c02fb,Tony Kanaan,True,False,False,True,True,False,False,False,False,True,REFERENCE,1
2020,16cb7863-a6d0-5895-93e4-a76ac2c6c71f,Graham Rahal,True,False,False,True,True,False,False,False,False,True,REFERENCE,1
2020,59dbbaed-31a4-576f-ae4e-a507faf360c3,Graham Rahal,False,False,False,False,False,False,False,False,False,False,,0
2020,1e794f15-e9b3-55c1-91a6-85cadd3ab366,Santino Ferrucci,True,False,False,False,False,False,False,False,False,False,REFERENCE;POINT_TIME;ENV_ALIGNMENT;PTSC;HRRR,5
2020,9a2e168d-3dda-5e76-8daf-588c20d91341,Ed Carpenter,True,False,False,True,True,False,False,False,False,True,REFERENCE,1
2020,893c5471-df02-55c0-946f-0af9d0a835d9,Ed Carpenter,True,False,False,True,True,False,False,False,False,True,REFERENCE,1
2020,e132bf44-6808-5d6b-819c-a993af279439,Rinus VeeKay,True,False,False,True,True,False,False,False,False,True,REFERENCE,1
2020,2fb75f25-92ad-5b41-90a1-3a1457ae8012,Simon Pagenaud,True,False,False,True,True,False,False,False,False,True,REFERENCE,1
2020,63886d30-e3e7-575f-a896-d317da3b03c2,Simon Pagenaud,False,False,False,False,False,False,False,False,False,False,,0
2020,3e1d9fad-3db2-5b32-b9c1-8802e1467bbe,Sage Karam,True,False,False,True,True,False,False,False,False,True,REFERENCE,1
2020,2d3ae29a-bc6b-5723-9247-439f79da15a6,Zach Veach,True,False,False,False,False,False,False,False,False,False,REFERENCE;POINT_TIME;ENV_ALIGNMENT;PTSC;HRRR,5
2020,ceaa8d7b-ed45-5e08-915d-df9fd734c673,"Veach, Zach",False,False,False,False,False,False,False,False,False,False,,0
2020,45b8b79d-e1a3-5be5-b9f2-04f6fe36320c,"Veach, Zach",False,False,False,False,False,False,False,False,False,False,,0
2020,22064d0f-cb33-547f-a4e9-f2bc1ed97a6d,Zach Veach,False,False,False,False,False,False,False,False,False,False,,0
2020,2815155d-aca1-531b-871b-f8c6670e64e8,Zach Veach,False,False,False,False,False,False,False,False,False,False,,0
2020,81f0c457-15fb-5f7f-9649-8663a142764d,Alexander Rossi,True,False,False,True,True,False,False,False,False,True,REFERENCE,1
