year,n,corr,residual_std,ff_loo_mae,mean_loo_mae,model_role
2021,3,0.7101189887901647,0.23454281769718394,,0.28933333333333167,DEVELOPMENT_DIAGNOSTIC
2023,34,0.8891528396524833,0.6308347672450098,0.49572972101968643,1.0881996434937595,DEVELOPMENT_DIAGNOSTIC
2024,34,0.643803766485814,0.9086114952916428,0.6498981968473843,0.7667629233511569,VALIDATION_ONLY
