decision_id,year,session_regime,car_number,driver_name,decision_stage,source_attempt_id,current_result_mph,current_rank,benchmark_type,benchmark_rank,benchmark_speed_mph,margin_to_benchmark_mph,qualification_state,has_protected_result,feasible_action_set,action_mask_STOP,action_mask_REATTEMPT,action_mask_RETAIN_AND_REATTEMPT,action_mask_WITHDRAW_AND_REATTEMPT,action_mask_WITHDRAW_AND_PRIORITY_REATTEMPT,observed_action,action_resolved,action_evidence_quality,decision_time_utc,time_quality,state_numeric_complete,thermal_state_available,performance_uncertainty_available,wait_model_available,shared_feature_link_status,upstream_safe_for_policy_fit,action_evidence_eligible,decision_state_eligible,counterfactual_model_input_eligible,validation_only,dataset_role,hard_optimality_truth,source_interface
DAY1_2020_26_POST_FIRST_ATTEMPT,2020,DAY1,26,Zach Veach,POST_FIRST_ATTEMPT,2d3ae29a-bc6b-5723-9247-439f79da15a6,229.961000,,FAST_NINE_ADVANCEMENT,9,,,UNKNOWN,True,STOP|RETAIN_AND_REATTEMPT|WITHDRAW_AND_PRIORITY_REATTEMPT,True,False,True,False,True,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,,UNKNOWN,False,False,True,True,PERFORMANCE_AND_WAIT_READY_THERMAL_PENDING,False,False,False,False,False,STRUCTURAL_REATTEMPT_EVIDENCE,False,R4F1_DAY1
DAY1_2020_27_POST_FIRST_ATTEMPT,2020,DAY1,27,Alexander Rossi,POST_FIRST_ATTEMPT,81f0c457-15fb-5f7f-9649-8663a142764d,231.268000,1,FAST_NINE_ADVANCEMENT,9,228.880000,2.388000,CURRENTLY_INSIDE_ADVANCEMENT,True,STOP|RETAIN_AND_REATTEMPT|WITHDRAW_AND_PRIORITY_REATTEMPT,True,False,True,False,True,STOP,True,HIGH,2020-08-15T15:54:05+00:00,APPROXIMATE_POINT,True,False,True,True,PERFORMANCE_AND_WAIT_READY_THERMAL_PENDING,True,True,True,True,False,COUNTERFACTUAL_MODEL_INPUT,False,R4F1_DAY1
DAY1_2020_28_POST_FIRST_ATTEMPT,2020,DAY1,28,Ryan Hunter-Reay,POST_FIRST_ATTEMPT,d155ad85-3d5c-5b55-95d6-40ba696a0bde,231.330000,1,FAST_NINE_ADVANCEMENT,9,229.861000,1.469000,CURRENTLY_INSIDE_ADVANCEMENT,True,STOP|RETAIN_AND_REATTEMPT|WITHDRAW_AND_PRIORITY_REATTEMPT,True,False,True,False,True,STOP,True,HIGH,2020-08-15T16:04:05+00:00,APPROXIMATE_POINT,True,False,True,True,PERFORMANCE_AND_WAIT_READY_THERMAL_PENDING,True,True,True,True,False,COUNTERFACTUAL_MODEL_INPUT,False,R4F1_DAY1
DAY1_2020_29_POST_FIRST_ATTEMPT,2020,DAY1,29,James Hinchcliffe,POST_FIRST_ATTEMPT,917d4c7e-5c5e-5976-aa32-50a7bc958440,231.195000,3,FAST_NINE_ADVANCEMENT,9,230.296000,0.899000,CURRENTLY_INSIDE_ADVANCEMENT,True,STOP|RETAIN_AND_REATTEMPT|WITHDRAW_AND_PRIORITY_REATTEMPT,True,False,True,False,True,STOP,True,HIGH,2020-08-15T16:32:25+00:00,APPROXIMATE_POINT,True,False,True,True,PERFORMANCE_AND_WAIT_READY_THERMAL_PENDING,True,True,True,True,False,COUNTERFACTUAL_MODEL_INPUT,False,R4F1_DAY1
DAY1_2020_3_POST_FIRST_ATTEMPT,2020,DAY1,3,Helio Castroneves,POST_FIRST_ATTEMPT,f2f5d37e-6270-5e2d-8ae0-2e63cea098b3,228.115000,24,FAST_NINE_ADVANCEMENT,9,230.560000,-2.445000,CURRENTLY_OUTSIDE_ADVANCEMENT,True,STOP|RETAIN_AND_REATTEMPT|WITHDRAW_AND_PRIORITY_REATTEMPT,True,False,True,False,True,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,2020-08-15T17:34:05+00:00,APPROXIMATE_POINT,True,False,True,True,PERFORMANCE_AND_WAIT_READY_THERMAL_PENDING,False,False,True,True,False,COUNTERFACTUAL_MODEL_INPUT,False,R4F1_DAY1
DAY1_2020_30_POST_FIRST_ATTEMPT,2020,DAY1,30,Takuma Sato,POST_FIRST_ATTEMPT,d5a2b4ee-b067-59ca-8f42-44e0bc51b5c8,230.792000,,FAST_NINE_ADVANCEMENT,9,,,UNKNOWN,True,STOP|RETAIN_AND_REATTEMPT|WITHDRAW_AND_PRIORITY_REATTEMPT,True,False,True,False,True,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,,UNKNOWN,False,False,True,True,PERFORMANCE_AND_WAIT_READY_THERMAL_PENDING,False,False,False,False,False,STRUCTURAL_REATTEMPT_EVIDENCE,False,R4F1_DAY1
DAY1_2020_4_POST_FIRST_ATTEMPT,2020,DAY1,4,Charlie Kimball,POST_FIRST_ATTEMPT,9b56a28b-8dc8-56aa-843d-d47deb300592,227.758000,,FAST_NINE_ADVANCEMENT,9,,,UNKNOWN,True,STOP|RETAIN_AND_REATTEMPT|WITHDRAW_AND_PRIORITY_REATTEMPT,True,False,True,False,True,STOP,True,HIGH,,UNKNOWN,False,False,True,True,PERFORMANCE_AND_WAIT_READY_THERMAL_PENDING,True,True,False,False,False,ACTION_EVIDENCE_ONLY,False,R4F1_DAY1
DAY1_2020_41_POST_FIRST_ATTEMPT,2020,DAY1,41,Dalton Kellett,POST_FIRST_ATTEMPT,a6295479-1996-5baa-b116-ab56a03c118d,228.880000,2,FAST_NINE_ADVANCEMENT,9,,,CURRENTLY_INSIDE_ADVANCEMENT,True,STOP|RETAIN_AND_REATTEMPT|WITHDRAW_AND_PRIORITY_REATTEMPT,True,False,True,False,True,STOP,True,HIGH,2020-08-15T15:11:35+00:00,APPROXIMATE_POINT,False,False,True,True,PERFORMANCE_AND_WAIT_READY_THERMAL_PENDING,True,True,False,False,False,ACTION_EVIDENCE_ONLY,False,R4F1_DAY1
DAY1_2020_45_POST_FIRST_ATTEMPT,2020,DAY1,45,Spencer Pigot,POST_FIRST_ATTEMPT,e2df4919-a45f-5b41-916e-55908e4f1abb,230.539000,4,FAST_NINE_ADVANCEMENT,9,,,CURRENTLY_INSIDE_ADVANCEMENT,True,STOP|RETAIN_AND_REATTEMPT|WITHDRAW_AND_PRIORITY_REATTEMPT,True,False,True,False,True,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,2020-08-15T15:29:55+00:00,APPROXIMATE_POINT,False,False,True,True,PERFORMANCE_AND_WAIT_READY_THERMAL_PENDING,False,False,False,False,False,STRUCTURAL_REATTEMPT_EVIDENCE,False,R4F1_DAY1
DAY1_2020_47_POST_FIRST_ATTEMPT,2020,DAY1,47,Conor Daly,POST_FIRST_ATTEMPT,a7f0ef57-a971-5870-9606-1fe1cd378e2a,229.884000,13,FAST_NINE_ADVANCEMENT,9,230.472000,-0.588000,CURRENTLY_OUTSIDE_ADVANCEMENT,True,STOP|RETAIN_AND_REATTEMPT|WITHDRAW_AND_PRIORITY_REATTEMPT,True,False,True,False,True,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,2020-08-15T16:58:15+00:00,APPROXIMATE_POINT,True,False,True,True,PERFORMANCE_AND_WAIT_READY_THERMAL_PENDING,False,False,True,True,False,COUNTERFACTUAL_MODEL_INPUT,False,R4F1_DAY1
