year,driver_name,driver_key,car_number,reference_speed_mph,reference_type,reference_priority,source_quality,source_type,source_file,extraction_method,model_role,provenance_note,pdf_position,pdf_lap_time
2023,Katherine Legge,katherine legge,44,231.42,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2023_fast_friday_practice5_results.pdf,PDFTOTEXT,CORE_DEVELOPMENT,Deterministically parsed from official Fast Friday session result row.,29,00:38.8904
2023,Kyle Kirkwood,kyle kirkwood,27,233.608,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2023_fast_friday_practice5_results.pdf,PDFTOTEXT,CORE_DEVELOPMENT,Deterministically parsed from official Fast Friday session result row.,8,00:38.5260
2023,Marco Andretti,marco andretti,98,234.202,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2023_fast_friday_practice5_results.pdf,PDFTOTEXT,CORE_DEVELOPMENT,Deterministically parsed from official Fast Friday session result row.,2,00:38.4283
2023,Marcus Ericsson,marcus ericsson,8,233.112,FOUR_LAP_QUALIFYING_SIM,3,VERY_HIGH,OFFICIAL_EDITORIAL_HTML,r4/evidence/fast_friday/2023_fast_friday_official_editorial.html,EXPLICIT_VERIFIED_STATEMENT,CORE_DEVELOPMENT,Official editorial: four-lap qualifying sim average.,,
2023,Pato O'Ward,pato o ward,5,233.796,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2023_fast_friday_practice5_results.pdf,PDFTOTEXT,CORE_DEVELOPMENT,Deterministically parsed from official Fast Friday session result row.,5,00:38.4951
2023,RC Enerson,rc enerson,50,231.242,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2023_fast_friday_practice5_results.pdf,PDFTOTEXT,CORE_DEVELOPMENT,Deterministically parsed from official Fast Friday session result row.,30,00:38.9203
2023,Rinus VeeKay,rinus veekay,21,234.171,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2023_fast_friday_practice5_results.pdf,PDFTOTEXT,CORE_DEVELOPMENT,Deterministically parsed from official Fast Friday session result row.,3,00:38.4334
2023,Romain Grosjean,romain grosjean,28,232.942,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2023_fast_friday_practice5_results.pdf,PDFTOTEXT,CORE_DEVELOPMENT,Deterministically parsed from official Fast Friday session result row.,19,00:38.6363
2023,Ryan Hunter-Reay,ryan hunter reay,23,232.861,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2023_fast_friday_practice5_results.pdf,PDFTOTEXT,CORE_DEVELOPMENT,Deterministically parsed from official Fast Friday session result row.,22,00:38.6497
2023,Santino Ferrucci,santino ferrucci,14,233.758,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2023_fast_friday_practice5_results.pdf,PDFTOTEXT,CORE_DEVELOPMENT,Deterministically parsed from official Fast Friday session result row.,7,00:38.5013
2023,Scott Dixon,scott dixon,9,233.506,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2023_fast_friday_practice5_results.pdf,PDFTOTEXT,CORE_DEVELOPMENT,Deterministically parsed from official Fast Friday session result row.,10,00:38.5429
2023,Scott McLaughlin,scott mclaughlin,3,233.347,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2023_fast_friday_practice5_results.pdf,PDFTOTEXT,CORE_DEVELOPMENT,Deterministically parsed from official Fast Friday session result row.,13,00:38.5691
