year,driver_name,driver_key,qualifying_attempt_index,qualifying_speed_mph,fast_friday_reference_mph,reference_type,actual_minus_reference_mph,frozen_prior_calibrated_prediction_mph,raw_reference_absolute_error_mph,frozen_prior_absolute_error_mph,validation_role
2022,Alex Palou,alexpalou,1,232.774,231.085,GENERAL_FAST_FRIDAY_BEST_SPEED,1.688999999999993,230.39924038461538,1.688999999999993,2.374759615384619,DEGRADED_CHRONOLOGY_TRANSFER_ROBUSTNESS
2022,Alexander Rossi,alexanderrossi,1,231.341,231.883,GENERAL_FAST_FRIDAY_BEST_SPEED,-0.5420000000000016,231.19724038461538,0.5420000000000016,0.14375961538462434,DEGRADED_CHRONOLOGY_TRANSFER_ROBUSTNESS
2022,Callum Ilott,callumilott,1,230.212,230.147,GENERAL_FAST_FRIDAY_BEST_SPEED,0.06499999999999773,229.46124038461537,0.06499999999999773,0.7507596153846237,DEGRADED_CHRONOLOGY_TRANSFER_ROBUSTNESS
2022,Christian Lundgaard,christianlundgaard,1,227.053,225.883,GENERAL_FAST_FRIDAY_BEST_SPEED,1.1699999999999875,225.19724038461538,1.1699999999999875,1.8557596153846134,DEGRADED_CHRONOLOGY_TRANSFER_ROBUSTNESS
2022,Colton Herta,coltonherta,1,230.235,220.64,GENERAL_FAST_FRIDAY_BEST_SPEED,9.595000000000027,219.95424038461536,9.595000000000027,10.280759615384653,DEGRADED_CHRONOLOGY_TRANSFER_ROBUSTNESS
2022,Conor Daly,conordaly,1,230.999,230.589,GENERAL_FAST_FRIDAY_BEST_SPEED,0.4099999999999966,229.90324038461537,0.4099999999999966,1.0957596153846225,DEGRADED_CHRONOLOGY_TRANSFER_ROBUSTNESS
2022,Dalton Kellett,daltonkellett,1,228.916,227.157,GENERAL_FAST_FRIDAY_BEST_SPEED,1.7589999999999861,226.47124038461538,1.7589999999999861,2.444759615384612,DEGRADED_CHRONOLOGY_TRANSFER_ROBUSTNESS
2022,David Malukas,davidmalukas,1,231.233,230.287,FOUR_LAP_QUALIFYING_SIM,0.945999999999998,229.60124038461538,0.945999999999998,1.6317596153846239,DEGRADED_CHRONOLOGY_TRANSFER_ROBUSTNESS
2022,Devlin DeFrancesco,devlindefrancesco,1,230.326,226.697,GENERAL_FAST_FRIDAY_BEST_SPEED,3.6289999999999907,226.01124038461538,3.6289999999999907,4.314759615384617,DEGRADED_CHRONOLOGY_TRANSFER_ROBUSTNESS
2022,Ed Carpenter,edcarpenter,1,232.397,228.334,GENERAL_FAST_FRIDAY_BEST_SPEED,4.062999999999988,227.64824038461538,4.062999999999988,4.748759615384614,DEGRADED_CHRONOLOGY_TRANSFER_ROBUSTNESS
