file,rows,direct_attempt_join,target_attempt_rows,relevant_columns,continuous_numeric_features,boolean_or_availability_features
r4p5_decision_safe_forecast_scenarios_v1.csv,40,False,,99,92,4
r4p6_decision_safe_conditional_dataset_v1.csv,5,False,,43,39,1
r4p8_track_temperature_training_dataset_v1.csv,312,False,,28,24,0
r4p2_environment_linked_transitions_v1.csv,39,False,,27,22,1
r4p2_multi_run_transitions_v1.csv,92,False,,27,22,1
r4f4_decision_window_residual_context_v1.csv,50,False,,29,1,10
r4f3b_shared_state_linkage_thermal_fixed_v1.csv,50,False,,11,1,5
r4p1_attempt_four_lap_panel_v1.csv,329,True,110,15,4,2
r4p1_first_run_order_panel_v1.csv,150,True,75,18,6,2
r4p1_multi_run_four_lap_panel_v1.csv,162,True,59,15,4,2
r4f6h_repeat_window_validation_rows_v1.csv,13,False,,12,10,0
r4f3a_shared_state_linkage_repaired_v1.csv,50,False,,9,0,4
r4p0_cross_car_data_inventory_v1.csv,6,False,,12,8,1
r4f3_shared_state_linkage_audit_v1.csv,50,False,,7,0,4
r4p2_transition_environment_summary_v1.csv,5,False,,8,6,0
r4p10_thermal_conditioned_repeat_dataset_v1.csv,39,False,,10,9,0
r4f7a_latent_window_input_readiness_rows_v1.csv,329,True,110,4,0,4
r4p2_past_only_cross_car_signal_v1.csv,40,False,,9,8,0
r4f7a_v2_expanded_latent_window_input_readiness_rows.csv,329,True,110,4,0,4
r4f7b_latent_window_training_manifest_v1.csv,329,True,110,4,0,4
r4p0_time_window_coverage_v1.csv,20,False,,10,5,1
r4f7a_b_latent_readiness_ceiling_rows_v1.csv,329,True,110,4,0,4
r4f6i_reference_type_repeat_window_rows_v1.csv,43,False,,7,1,0
r4f6j_strict_repeat_support_pairs_v1.csv,92,False,,13,1,2
r4p7_forecast_horizon_window_scores_v1.csv,40,False,,5,1,1
r4p11_stochastic_wait_performance_mc_results_v1.csv,9,False,,6,3,0
r4f6h_repeat_window_validation_metrics_v1.csv,9,False,,5,0,0
r4f6h_v2_repeat_window_validation_rows.csv,55,False,,4,4,0
r4f7a_b_latent_readiness_ceiling_by_year_v1.csv,5,False,,6,1,3
r4f5b_partial_pooled_latent_window_target_v1.csv,540,False,,4,1,0
r4p4_improvement_probability_predictions_v1.csv,186,True,166,1,1,0
r4f7a_latent_window_input_readiness_by_year_v1.csv,5,False,,3,2,0
r4f7a_v2_expanded_latent_window_input_readiness_by_year.csv,5,False,,3,3,0
r4p10_thermal_conditioned_repeat_predictions_v1.csv,195,False,,3,3,0
r4f3_shared_state_linkage_summary_v1.csv,3,False,,2,0,0
r4f3a_shared_state_linkage_summary_v1.csv,3,False,,2,0,0
r4f3b_shared_state_linkage_summary_v1.csv,3,False,,2,0,0
r4p9_track_temp_delta_direction_predictions_v1.csv,2628,False,,3,2,0
r4f5a_offline_repeat_latent_window_target_v1.csv,540,False,,2,0,0
r4p1_four_lap_shape_summary_v1.csv,15,False,,2,2,0
r4f6h_v2_repeat_window_validation_metrics.csv,9,False,,2,0,0
r4f6j_b_temporal_support_potential_pairs_v1.csv,43,False,,7,1,2
r4lc4_last_chance_attempt_candidates_v1.csv,15,False,,3,1,0
r4p11_stochastic_wait_performance_mc_draws_sample_v1.csv,1500,False,,2,2,0
r4p9_track_temp_delta_regression_metrics_v1.csv,10,False,,2,2,0
r4f4_window_residual_context_summary_v1.csv,3,False,,1,0,1
r4f5c_cross_car_window_anchor_metrics_v1.csv,9,False,,1,0,0
r4f5c_cross_car_window_anchor_metrics_v2.csv,18,False,,1,0,0
r4f6i_reference_type_repeat_window_metrics_v1.csv,9,False,,1,0,0
r4p0_baseline_feasibility_v1.csv,4,False,,2,0,0
