year,canonical_entries,four_lap,no_tow,general,quarantined,model_role
2020,33,0,1,32,0,CORE_DEVELOPMENT
2021,35,0,3,32,0,CORE_DEVELOPMENT
2022,33,5,0,28,0,DEGRADED_CHRONOLOGY_VALIDATION
2023,34,4,0,30,0,CORE_DEVELOPMENT
2024,34,6,0,28,0,VALIDATION_ONLY
2025,33,2,0,31,1,TECHNICAL_REGIME_TRANSFER
