target,model_name,test_year,test_rows,mae,rmse,sign_accuracy
y_speed,ZERO_DELTA,2020,11,0.459182,0.768315,0.000000
y_speed,ZERO_DELTA,2021,16,0.658250,1.291246,0.000000
y_speed,ZERO_DELTA,2023,12,0.570917,1.062465,0.000000
y_speed,ZERO_DELTA,2024,1,0.107000,0.107000,0.000000
y_speed,PAST3_SPEED,2020,10,0.450132,0.646526,0.900000
y_speed,PAST3_SPEED,2021,15,0.896260,1.377156,0.466667
y_speed,PAST3_SPEED,2023,11,0.607086,1.085168,0.909091
y_speed,PAST5_SPEED,2020,10,0.471460,0.651400,0.900000
y_speed,PAST5_SPEED,2021,15,0.877562,1.361125,0.466667
y_speed,PAST5_SPEED,2023,11,0.621212,1.098997,0.909091
y_speed,PAST3_SPEED_FADE,2020,10,0.437416,0.558897,0.600000
y_speed,PAST3_SPEED_FADE,2021,15,0.872429,1.343881,0.466667
y_speed,PAST3_SPEED_FADE,2023,11,0.621675,0.938012,0.909091
y_speed,PAST5_SPEED_FADE,2020,10,0.427942,0.654058,0.800000
y_speed,PAST5_SPEED_FADE,2021,15,0.795047,1.299743,0.466667
y_speed,PAST5_SPEED_FADE,2023,11,0.509445,0.809226,0.818182
y_speed,PAST3_PLUS_ENV,2020,10,0.754552,0.847764,0.700000
y_speed,PAST3_PLUS_ENV,2021,14,1.320038,1.695948,0.500000
y_speed,PAST3_PLUS_ENV,2023,11,0.596896,0.916392,0.818182
y_speed,ENV_ONLY,2020,11,0.745564,0.906284,0.727273
y_speed,ENV_ONLY,2021,15,0.854438,1.290601,0.466667
y_speed,ENV_ONLY,2023,12,0.528757,0.881118,0.833333
y_speed,ENV_ONLY,2024,1,0.068678,0.068678,1.000000
y_fade,ZERO_DELTA,2020,11,0.616455,0.827018,0.000000
y_fade,ZERO_DELTA,2021,16,0.637875,0.973733,0.000000
y_fade,ZERO_DELTA,2023,12,0.482792,0.590239,0.000000
y_fade,ZERO_DELTA,2024,1,0.209500,0.209500,0.000000
y_fade,PAST3_SPEED,2020,10,0.619701,0.816081,0.700000
y_fade,PAST3_SPEED,2021,15,0.651245,0.980603,0.533333
y_fade,PAST3_SPEED,2023,11,0.430921,0.509968,0.636364
y_fade,PAST5_SPEED,2020,10,0.642274,0.818885,0.700000
y_fade,PAST5_SPEED,2021,15,0.650630,0.982257,0.533333
y_fade,PAST5_SPEED,2023,11,0.432532,0.513569,0.636364
y_fade,PAST3_SPEED_FADE,2020,10,0.586236,0.788520,0.900000
y_fade,PAST3_SPEED_FADE,2021,15,0.642233,0.960716,0.533333
y_fade,PAST3_SPEED_FADE,2023,11,0.469466,0.515333,0.818182
y_fade,PAST5_SPEED_FADE,2020,10,0.582921,0.798364,0.800000
y_fade,PAST5_SPEED_FADE,2021,15,0.646847,0.965564,0.533333
y_fade,PAST5_SPEED_FADE,2023,11,0.528507,0.591234,0.727273
y_fade,PAST3_PLUS_ENV,2020,10,0.618307,0.778513,0.800000
y_fade,PAST3_PLUS_ENV,2021,14,0.882566,1.132143,0.571429
y_fade,PAST3_PLUS_ENV,2023,11,0.332627,0.471574,0.727273
y_fade,ENV_ONLY,2020,11,0.585394,0.814271,0.636364
y_fade,ENV_ONLY,2021,15,0.604222,0.898992,0.600000
y_fade,ENV_ONLY,2023,12,0.454580,0.613817,0.666667
y_fade,ENV_ONLY,2024,1,0.463696,0.463696,0.000000
y_speed,ZERO_DELTA,POOLED_LOYO,40,0.563525,1.080832,0.000000
y_speed,PAST3_SPEED,POOLED_LOYO,36,0.683977,1.125238,0.722222
y_speed,PAST5_SPEED,POOLED_LOYO,36,0.686427,1.121988,0.722222
y_speed,PAST3_SPEED_FADE,POOLED_LOYO,36,0.674973,1.052674,0.638889
y_speed,PAST5_SPEED_FADE,POOLED_LOYO,36,0.605806,1.011341,0.666667
y_speed,PAST3_PLUS_ENV,POOLED_LOYO,35,0.931197,1.272702,0.657143
y_speed,ENV_ONLY,POOLED_LOYO,39,0.703373,1.054183,0.666667
y_fade,ZERO_DELTA,POOLED_LOYO,40,0.574750,0.820344,0.000000
y_fade,PAST3_SPEED,POOLED_LOYO,36,0.575162,0.815550,0.611111
y_fade,PAST5_SPEED,POOLED_LOYO,36,0.581668,0.817847,0.611111
y_fade,PAST3_SPEED_FADE,POOLED_LOYO,36,0.573888,0.799019,0.722222
y_fade,PAST5_SPEED_FADE,POOLED_LOYO,36,0.592930,0.819954,0.666667
y_fade,PAST3_PLUS_ENV,POOLED_LOYO,35,0.634226,0.869343,0.685714
y_fade,ENV_ONLY,POOLED_LOYO,39,0.549265,0.786953,0.615385
