test_year,training_years,prior_mean_residual_mph,prior_empirical_sd_mph,selected_ewma_half_life_minutes,ewma_inner_cv_mae,selected_shrinkage_k,shrink_inner_cv_mae,kalman_prior_sd,kalman_process_sd_per_sqrt_min,kalman_observation_sd,kalman_inner_cv_mae
2020,"2021,2023",-0.5679846153846164,0.9455440149113153,60.0,0.6758427291861232,8.0,0.6191175571330764,0.3,0.02,2.0,0.6155310282071018
2021,"2020,2023",-0.6768928571428573,0.8403222039750631,60.0,0.6170711973861032,1.0,0.6074344794783053,0.3,0.05,1.25,0.5863769909216546
2023,"2020,2021",-0.7794597701149434,0.8974433169196068,60.0,0.6553794024163656,12.0,0.6412542496112524,0.3,0.02,2.0,0.6399893746291369
