year,rows,STOP,REATTEMPT,WITHDRAW_AND_REATTEMPT,protected_rows,outside_rows,policy_fit_rows
2021,5,3,2,0,3,2,3
2023,4,3,1,0,3,1,4
2024,1,0,1,0,0,1,1
