field,nonempty,parsed_datetime,parse_fraction,name_bonus,score,parsed_years,sample_values
utc_datetime,168,168,1.0,105,273,2020:32;2021:33;2022:31;2023:36;2024:36,2020-08-15 12:15:00+00:00 | 2020-08-15 12:30:00+00:00 | 2020-08-15 12:45:00+00:00 | 2020-08-15 13:00:00+00:00 | 2020-08-15 13:15:00+00:00
local_datetime,168,168,1.0,55,223,2020:32;2021:33;2022:31;2023:36;2024:36,2020-08-15 08:15:00-04:00 | 2020-08-15 08:30:00-04:00 | 2020-08-15 08:45:00-04:00 | 2020-08-15 09:00:00-04:00 | 2020-08-15 09:15:00-04:00
utc_offset_hours,168,0,0.0,50,50,,-4.0 | -4.0 | -4.0 | -4.0 | -4.0
local_time,168,0,0.0,20,20,,08:15:00 | 08:30:00 | 08:45:00 | 09:00:00 | 09:15:00
timezone_name,168,0,0.0,20,20,,America/Indiana/Indianapolis | America/Indiana/Indianapolis | America/Indiana/Indianapolis | America/Indiana/Indianapolis | America/Indiana/Indianapolis
session_date,168,0,0.0,10,10,,2020-08-15 | 2020-08-15 | 2020-08-15 | 2020-08-15 | 2020-08-15
ambient_c,168,0,0.0,0,0,,21.11111111111111 | 21.666666666666668 | 22.22222222222222 | 23.333333333333332 | 23.88888888888889
ambient_f,168,0,0.0,0,0,,70.0 | 71.0 | 72.0 | 74.0 | 75.0
humidity,168,0,0.0,0,0,,0.87 | 0.85 | 0.82 | 0.79 | 0.77
pressure,167,0,0.0,0,0,,29.17 | 29.17 | 29.16 | 29.16 | 29.17
pressure_quality,168,0,0.0,0,0,,VALID | VALID | VALID | VALID | VALID
pressure_raw,168,0,0.0,0,0,,29.17 | 29.17 | 29.16 | 29.16 | 29.17
sensor_1_f,168,0,0.0,0,0,,79.0 | 80.6 | 83.3 | 85.8 | 88.3
sensor_1_name,168,0,0.0,0,0,,SF | SF | SF | SF | SF
sensor_2_f,168,0,0.0,0,0,,77.9 | 78.1 | 78.3 | 78.3 | 78.4
sensor_2_name,168,0,0.0,0,0,,I6 | I6 | I6 | I6 | I6
sensor_3_f,168,0,0.0,0,0,,79.0 | 79.3 | 80.4 | 81.3 | 84.2
sensor_3_name,168,0,0.0,0,0,,I10 | I10 | I10 | I10 | I10
sensor_4_f,168,0,0.0,0,0,,82.9 | 85.3 | 87.3 | 89.8 | 92.1
sensor_4_name,168,0,0.0,0,0,,I15 | I15 | I15 | I15 | I15
sensor_avg_f,168,0,0.0,0,0,,79.7 | 80.825 | 82.325 | 83.8 | 85.75
source_block_occurrence,168,0,0.0,0,0,,1 | 1 | 1 | 1 | 1
source_row_index,168,0,0.0,0,0,,325 | 326 | 327 | 328 | 329
source_sheet,168,0,0.0,0,0,,2020 Temp Archive | 2020 Temp Archive | 2020 Temp Archive | 2020 Temp Archive | 2020 Temp Archive
track_c,168,0,0.0,0,0,,26.666666666666668 | 27.22222222222222 | 27.77777777777778 | 28.88888888888889 | 30.0
track_f,168,0,0.0,0,0,,80.0 | 81.0 | 82.0 | 84.0 | 86.0
wind,168,0,0.0,0,0,,0.0 | 0.0 | 4.0 | 2.0 | 2.0
wind_direction,168,0,0.0,0,0,,E | E | SE | SE | ESE
wind_raw,168,0,0.0,0,0,,0.0 | 0.0 | 4.0 | 2.0 | 2.0
year,168,0,0.0,0,0,,2020 | 2020 | 2020 | 2020 | 2020
