year,event_id,session_id,session_name,target_last_chance,first_driver_id_seen,first_driver_name_seen,drivers_exposing_session,drivers_exposing_count
2021,5365,5848,Qualifications - Fast 9,False,3608,Marco Andretti,Alex Palou;Alexander Rossi;Charlie Kimball;Colton Herta;Conor Daly;Dalton Kellett;Ed Carpenter;Ed Jones;Felix Rosenqvist;Graham Rahal;Helio Castroneves;JR Hildebrand;Jack Harvey;James Hinchcliffe;Josef Newgarden;Juan Pablo Montoya;Marco Andretti;Marcus Ericsson;Max Chilton;Pato O'Ward;Pietro Fittipaldi;RC Enerson;Rinus VeeKay;Ryan Hunter-Reay;Sage Karam;Santino Ferrucci;Scott Dixon;Scott McLaughlin;Sebastien Bourdais;Simon Pagenaud;Simona De Silvestro;Stefan Wilson;Takuma Sato;Tony Kanaan;Will Power,35
2021,5365,5847,Qualifications - Last Row,True,3813,Simona De Silvestro,Charlie Kimball;RC Enerson;Sage Karam;Simona De Silvestro;Will Power,5
2021,5365,5807,Race,False,3608,Marco Andretti,Alex Palou;Alexander Rossi;Colton Herta;Conor Daly;Dalton Kellett;Ed Carpenter;Ed Jones;Felix Rosenqvist;Graham Rahal;Helio Castroneves;JR Hildebrand;Jack Harvey;James Hinchcliffe;Josef Newgarden;Juan Pablo Montoya;Marco Andretti;Marcus Ericsson;Max Chilton;Pato O'Ward;Pietro Fittipaldi;Rinus VeeKay;Ryan Hunter-Reay;Sage Karam;Santino Ferrucci;Scott Dixon;Scott McLaughlin;Sebastien Bourdais;Simon Pagenaud;Simona De Silvestro;Stefan Wilson;Takuma Sato;Tony Kanaan;Will Power,33
2023,5431,6208,Final Practice,False,3608,Marco Andretti,Agustin Canapino;Alex Palou;Alexander Rossi;Benjamin Pedersen;Callum Ilott;Christian Lundgaard;Colton Herta;Conor Daly;David Malukas;Devlin DeFrancesco;Ed Carpenter;Felix Rosenqvist;Graham Rahal;Helio Castroneves;Jack Harvey;Josef Newgarden;Katherine Legge;Kyle Kirkwood;Marco Andretti;Marcus Ericsson;Pato O'Ward;RC Enerson;Rinus VeeKay;Romain Grosjean;Ryan Hunter-Reay;Santino Ferrucci;Scott Dixon;Scott McLaughlin;Simon Pagenaud;Sting Ray Robb;Takuma Sato;Tony Kanaan;Will Power,33
2023,5431,6198,Practice 3,False,3608,Marco Andretti,Agustin Canapino;Alex Palou;Alexander Rossi;Benjamin Pedersen;Callum Ilott;Christian Lundgaard;Colton Herta;Conor Daly;David Malukas;Devlin DeFrancesco;Ed Carpenter;Felix Rosenqvist;Graham Rahal;Helio Castroneves;Jack Harvey;Josef Newgarden;Katherine Legge;Kyle Kirkwood;Marco Andretti;Marcus Ericsson;Pato O'Ward;RC Enerson;Rinus VeeKay;Romain Grosjean;Ryan Hunter-Reay;Santino Ferrucci;Scott Dixon;Scott McLaughlin;Simon Pagenaud;Sting Ray Robb;Takuma Sato;Tony Kanaan;Will Power,33
2023,5431,6199,Practice 4,False,3608,Marco Andretti,Agustin Canapino;Alex Palou;Alexander Rossi;Benjamin Pedersen;Callum Ilott;Christian Lundgaard;Colton Herta;Conor Daly;David Malukas;Devlin DeFrancesco;Ed Carpenter;Felix Rosenqvist;Graham Rahal;Helio Castroneves;Jack Harvey;Josef Newgarden;Katherine Legge;Kyle Kirkwood;Marco Andretti;Marcus Ericsson;Pato O'Ward;RC Enerson;Rinus VeeKay;Romain Grosjean;Ryan Hunter-Reay;Santino Ferrucci;Scott Dixon;Scott McLaughlin;Simon Pagenaud;Sting Ray Robb;Takuma Sato;Tony Kanaan;Will Power,33
2023,5431,6200,Practice 5,False,3608,Marco Andretti,Agustin Canapino;Alex Palou;Alexander Rossi;Benjamin Pedersen;Callum Ilott;Christian Lundgaard;Colton Herta;Conor Daly;David Malukas;Devlin DeFrancesco;Ed Carpenter;Felix Rosenqvist;Graham Rahal;Helio Castroneves;Jack Harvey;Josef Newgarden;Katherine Legge;Kyle Kirkwood;Marco Andretti;Marcus Ericsson;Pato O'Ward;RC Enerson;Rinus VeeKay;Romain Grosjean;Ryan Hunter-Reay;Santino Ferrucci;Scott Dixon;Scott McLaughlin;Simon Pagenaud;Sting Ray Robb;Takuma Sato;Tony Kanaan;Will Power,33
2023,5431,6201,Practice 6,False,4218,Conor Daly,Alex Palou;Alexander Rossi;Callum Ilott;Colton Herta;Conor Daly;Devlin DeFrancesco;Jack Harvey;Kyle Kirkwood;Scott Dixon;Tony Kanaan,10
2023,5431,6203,Practice 7,False,3628,Scott Dixon,Alex Palou;Alexander Rossi;Benjamin Pedersen;Christian Lundgaard;Felix Rosenqvist;Graham Rahal;Jack Harvey;Marcus Ericsson;Pato O'Ward;Rinus VeeKay;Santino Ferrucci;Scott Dixon;Sting Ray Robb;Takuma Sato;Will Power,15
2023,5431,6207,Practice 8,False,3608,Marco Andretti,Agustin Canapino;Alex Palou;Alexander Rossi;Benjamin Pedersen;Callum Ilott;Christian Lundgaard;Colton Herta;Conor Daly;David Malukas;Devlin DeFrancesco;Ed Carpenter;Felix Rosenqvist;Helio Castroneves;Jack Harvey;Josef Newgarden;Katherine Legge;Kyle Kirkwood;Marco Andretti;Marcus Ericsson;Pato O'Ward;RC Enerson;Rinus VeeKay;Romain Grosjean;Ryan Hunter-Reay;Santino Ferrucci;Scott Dixon;Scott McLaughlin;Simon Pagenaud;Sting Ray Robb;Takuma Sato;Tony Kanaan;Will Power,32
