fused_decision_id,source_decision_id,regime,year,car_number,driver_name,decision_time_utc,source_attempt_id,source_attempt_id_status,source_attempt_link_status,source_entry_key,source_car_attempt_index,observed_action,observed_action_resolved,observed_action_quality,current_result_speed_mph,benchmark_type,benchmark_rank,benchmark_speed_mph,later_attempt_count,next_attempt_exists,next_attempt_id,next_attempt_index,next_attempt_class,next_attempt_result_status,next_attempt_time_utc,next_attempt_time_evidence_class,next_attempt_complete_four_lap,next_attempt_speed_mph,next_attempt_speed_delta_vs_current_mph,next_attempt_improved_current,next_attempt_met_decision_time_benchmark,any_later_complete_attempt_exists,best_later_complete_speed_mph,best_later_complete_met_decision_time_benchmark,session_end_counted_result_from_later_attempt,r4p5_crosscheck_available,r4p5_after_attempt_id,r4p5_match_next_attempt_id,historical_outcome_evaluable,historical_outcome_status,future_information_used_for_r4f8h,queue_wait_claimed
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,DAY1_2020_10_POST_FIRST_ATTEMPT,DAY1,2020,10,Felix Rosenqvist,2020-08-15T16:22:25+00:00,6041dd38-4b6d-5e38-81fd-8006cbe0bafd,RESOLVED_CANONICAL_ATTEMPT_ID,RESOLVED_CANONICAL_ATTEMPT,INDY500_DAY1_2020|CAR_10|1,1,STOP,True,HIGH,230.254,FAST_NINE_ADVANCEMENT,9.0,230.254,0,False,,,,,,,False,,,,,False,,,False,False,,,True,OBSERVED_NO_LATER_CANONICAL_ATTEMPT,False,False
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,DAY1_2020_14_POST_FIRST_ATTEMPT,DAY1,2020,14,Tony Kanaan,2020-08-15T17:19:05+00:00,cbdbf766-10d3-516e-83ad-3cb56f8c02fb,RESOLVED_CANONICAL_ATTEMPT_ID,RESOLVED_CANONICAL_ATTEMPT,INDY500_DAY1_2020|CAR_14|1,1,STOP,True,HIGH,229.154,FAST_NINE_ADVANCEMENT,9.0,230.539,0,False,,,,,,,False,,,,,False,,,False,False,,,True,OBSERVED_NO_LATER_CANONICAL_ATTEMPT,False,False
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,DAY1_2020_20_POST_FIRST_ATTEMPT,DAY1,2020,20,Ed Carpenter,2020-08-15T16:27:25+00:00,9a2e168d-3dda-5e76-8daf-588c20d91341,RESOLVED_CANONICAL_ATTEMPT_ID,RESOLVED_CANONICAL_ATTEMPT,INDY500_DAY1_2020|CAR_20|1,1,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,229.811,FAST_NINE_ADVANCEMENT,9.0,230.254,1,True,893c5471-df02-55c0-946f-0af9d0a835d9,2,A_COMPLETE,VALID_RETAINED,2020-08-15T18:47:30Z,APPROXIMATE_POINT,True,230.211,0.4000000000000057,True,False,True,230.211,False,True,True,893c5471-df02-55c0-946f-0af9d0a835d9,True,True,NEXT_ATTEMPT_COMPLETE_SPEED_OBSERVED,False,False
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,DAY1_2020_22_POST_FIRST_ATTEMPT,DAY1,2020,22,Simon Pagenaud,2020-08-15T17:09:06+00:00,2fb75f25-92ad-5b41-90a1-3a1457ae8012,RESOLVED_CANONICAL_ATTEMPT_ID,RESOLVED_CANONICAL_ATTEMPT,INDY500_DAY1_2020|CAR_22|1,1,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,228.836,FAST_NINE_ADVANCEMENT,9.0,230.472,1,True,63886d30-e3e7-575f-a896-d317da3b03c2,2,B_PARTIAL_COMPLETE_LAPS,UNKNOWN,2020-08-15T19:58:20Z,APPROXIMATE_POINT,False,,,,,False,,,False,False,,,True,NEXT_ATTEMPT_EXISTS_BUT_NOT_COMPLETE_FOUR_LAP,False,False
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,DAY1_2020_24_POST_FIRST_ATTEMPT,DAY1,2020,24,Sage Karam,2020-08-15T15:49:55+00:00,3e1d9fad-3db2-5b32-b9c1-8802e1467bbe,RESOLVED_CANONICAL_ATTEMPT_ID,RESOLVED_CANONICAL_ATTEMPT,INDY500_DAY1_2020|CAR_24|1,1,STOP,True,HIGH,227.099,FAST_NINE_ADVANCEMENT,9.0,227.099,0,False,,,,,,,False,,,,,False,,,False,False,,,True,OBSERVED_NO_LATER_CANONICAL_ATTEMPT,False,False
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,DAY1_2020_27_POST_FIRST_ATTEMPT,DAY1,2020,27,Alexander Rossi,2020-08-15T15:54:05+00:00,81f0c457-15fb-5f7f-9649-8663a142764d,RESOLVED_CANONICAL_ATTEMPT_ID,RESOLVED_CANONICAL_ATTEMPT,INDY500_DAY1_2020|CAR_27|1,1,STOP,True,HIGH,231.268,FAST_NINE_ADVANCEMENT,9.0,228.88,0,False,,,,,,,False,,,,,False,,,False,False,,,True,OBSERVED_NO_LATER_CANONICAL_ATTEMPT,False,False
DAY1::DAY1_2020_28_POST_FIRST_ATTEMPT,DAY1_2020_28_POST_FIRST_ATTEMPT,DAY1,2020,28,Ryan Hunter-Reay,2020-08-15T16:04:05+00:00,d155ad85-3d5c-5b55-95d6-40ba696a0bde,RESOLVED_CANONICAL_ATTEMPT_ID,RESOLVED_CANONICAL_ATTEMPT,INDY500_DAY1_2020|CAR_28|1,1,STOP,True,HIGH,231.33,FAST_NINE_ADVANCEMENT,9.0,229.861,0,False,,,,,,,False,,,,,False,,,False,False,,,True,OBSERVED_NO_LATER_CANONICAL_ATTEMPT,False,False
DAY1::DAY1_2020_29_POST_FIRST_ATTEMPT,DAY1_2020_29_POST_FIRST_ATTEMPT,DAY1,2020,29,James Hinchcliffe,2020-08-15T16:32:25+00:00,917d4c7e-5c5e-5976-aa32-50a7bc958440,RESOLVED_CANONICAL_ATTEMPT_ID,RESOLVED_CANONICAL_ATTEMPT,INDY500_DAY1_2020|CAR_29|1,1,STOP,True,HIGH,231.195,FAST_NINE_ADVANCEMENT,9.0,230.296,0,False,,,,,,,False,,,,,False,,,False,False,,,True,OBSERVED_NO_LATER_CANONICAL_ATTEMPT,False,False
DAY1::DAY1_2020_3_POST_FIRST_ATTEMPT,DAY1_2020_3_POST_FIRST_ATTEMPT,DAY1,2020,3,Helio Castroneves,2020-08-15T17:34:05+00:00,f2f5d37e-6270-5e2d-8ae0-2e63cea098b3,RESOLVED_CANONICAL_ATTEMPT_ID,RESOLVED_CANONICAL_ATTEMPT,INDY500_DAY1_2020|CAR_3|1,1,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,228.115,FAST_NINE_ADVANCEMENT,9.0,230.56,1,True,7799cc62-18bb-568d-9de2-16cb3622a0de,2,A_COMPLETE,VALID_RETAINED,2020-08-15T19:39:10Z,APPROXIMATE_POINT,True,228.373,0.25799999999998136,True,False,True,228.373,False,True,True,7799cc62-18bb-568d-9de2-16cb3622a0de,True,True,NEXT_ATTEMPT_COMPLETE_SPEED_OBSERVED,False,False
DAY1::DAY1_2020_47_POST_FIRST_ATTEMPT,DAY1_2020_47_POST_FIRST_ATTEMPT,DAY1,2020,47,Conor Daly,2020-08-15T16:58:15+00:00,a7f0ef57-a971-5870-9606-1fe1cd378e2a,RESOLVED_CANONICAL_ATTEMPT_ID,RESOLVED_CANONICAL_ATTEMPT,INDY500_DAY1_2020|CAR_47|1,1,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,229.884,FAST_NINE_ADVANCEMENT,9.0,230.472,1,True,df3c02a3-9655-512c-a2e6-4ffe9eadc505,2,A_COMPLETE,VALID_RETAINED,2020-08-15T19:00:50Z,APPROXIMATE_POINT,True,229.955,0.07100000000002638,True,False,True,229.955,False,True,True,df3c02a3-9655-512c-a2e6-4ffe9eadc505,True,True,NEXT_ATTEMPT_COMPLETE_SPEED_OBSERVED,False,False
