year,token,match_count,sample_context
2021,NEXT_DATA,0,
2021,NEXT_STATIC,0,
2021,API,1,"ateElement('script');              script.async = true;              script.src = ""https://platform-api.sharethis.com/js/sharethis.js#property=675c8c247b87400012b95ba7&product=inline-share-buttons"";              document.head.appendChild(script);          }            function load_"
2021,GRAPHQL,0,
2021,RESULTS,77," -->        <title>          2021 105th Running of the Indianapolis 500 - Qualifications - Last Row Results      </title>        <meta name=""description"" content=""Race results, qualifying results, practice results and standings for the 2024 NTT INDYCAR SERIES season."">      <meta name="" || 500 - Qualifications - Last Row Results      </title>        <meta name=""description"" content=""Race results, qualifying results, practice results and standings for the 2024 NTT INDYCAR SERIES season."">      <meta name=""keywords"" content="""">      <meta property=""og:title"" content=""2021 1 ||  - Last Row Results      </title>        <meta name=""description"" content=""Race results, qualifying results, practice results and standings for the 2024 NTT INDYCAR SERIES season."">      <meta name=""keywords"" content="""">      <meta property=""og:title"" content=""2021 105th Running of the  || s      </title>        <meta name=""description"" content=""Race results, qualifying results, practice results and standings for the 2024 NTT INDYCAR SERIES season."">      <meta name=""keywords"" content="""">      <meta property=""og:title"" content=""2021 105th Running of the Indianapolis 500 - || property=""og:title"" content=""2021 105th Running of the Indianapolis 500 - Qualifications - Last Row Results"" />      <meta property=""og:type"" content=""website"" />      <meta property=""og:url"" content=""http://www.indycar.com/results/ntt-indycar-series/2021/105th-running-of-the-indianapol"
2021,SECTION_RESULTS,2,"           role=""menuitem""                                                     aria-label=""Download Section Results"">                                                      <svg aria-hidden=""true"" height=""16"" width=""16"">                                                          <use xlink:href=""#i ||                                      </svg>                                                      <p>Section Results</p>                                                  </a>                                                  <a href=""#""                                                     target="""
2021,TOP_SECTION_TIMES,2,"                    role=""menuitem""                                                     aria-label=""Top Section Times Download Link"">                                                      <svg aria-hidden=""true"" height=""16"" width=""16"">                                                          <use  ||                                      </svg>                                                      <p>Top Section Times</p>                                                  </a>                                              </div>                                          </div>                      "
2021,SESSION,2,"nEvent"" value=""105th-running-of-the-indianapolis-500"">                  <input type=""hidden"" id=""hdnSession"" value=""qualifications---last-row"">                  <input type=""hidden"" id=""hdnActiveTab"" value=""race"">                    <section id=""race-filters"" class=""actions actions-gray ||                                   </svg>                                  <p class=""accordion-text"">Session Reports</p>                                  <div class=""btn btn-secondary accordion-button"">                                      <div class=""accordion-chevron-container"" style="""
2021,EVENT,178," = w[l] || []; w[l].push({                  'gtm.start':                      new Date().getTime(), event: 'gtm.js'              }); var f = d.getElementsByTagName(s)[0],                  j = d.createElement(s), dl = l != 'dataLayer' ? '&l=' + l : ''; j.async = true; j.src =           || /p>              <div class=""mm-card-wrapper mm-one-small-card"">                        <div class=""event-card event-card-small event-card-completed event-card-collapsed"">      <div class=""event-card-background"" style=""background: linear-gradient(265deg, #F4F2CC 0%, #CFAE4D 50%, #3359 ||       <div class=""mm-card-wrapper mm-one-small-card"">                        <div class=""event-card event-card-small event-card-completed event-card-collapsed"">      <div class=""event-card-background"" style=""background: linear-gradient(265deg, #F4F2CC 0%, #CFAE4D 50%, #335994 100%);""> || ""mm-card-wrapper mm-one-small-card"">                        <div class=""event-card event-card-small event-card-completed event-card-collapsed"">      <div class=""event-card-background"" style=""background: linear-gradient(265deg, #F4F2CC 0%, #CFAE4D 50%, #335994 100%);"">      </div>      || ne-small-card"">                        <div class=""event-card event-card-small event-card-completed event-card-collapsed"">      <div class=""event-card-background"" style=""background: linear-gradient(265deg, #F4F2CC 0%, #CFAE4D 50%, #335994 100%);"">      </div>      <button class=""event"
2021,QUALIFICATIONS,5," Protected Loading of Tags -->        <title>          2021 105th Running of the Indianapolis 500 - Qualifications - Last Row Results      </title>        <meta name=""description"" content=""Race results, qualifying results, practice results and standings for the 2024 NTT INDYCAR SERIES season."" || s"" content="""">      <meta property=""og:title"" content=""2021 105th Running of the Indianapolis 500 - Qualifications - Last Row Results"" />      <meta property=""og:type"" content=""website"" />      <meta property=""og:url"" content=""http://www.indycar.com/results/ntt-indycar-series/2021/105th-runnin || ntent=""http://www.indycar.com/results/ntt-indycar-series/2021/105th-running-of-the-indianapolis-500/qualifications---last-row?&amp;year=2021"" />      <meta property=""og:image"" content=""https://www.indycar.com/-/media/IndyCar/Logos/logo.png?vs=1&amp;d=20251006T231226Z"" />      <meta property=""o ||  href=""http://www.indycar.com/results/ntt-indycar-series/2021/105th-running-of-the-indianapolis-500/qualifications---last-row"" />        <meta name=""SKYPE_TOOLBAR"" content=""SKYPE_TOOLBAR_PARSER_COMPATIBLE"">      <meta property=""fb:app_id"" content=""371698759518520"" />      <meta property=""fb:pa || 05th-running-of-the-indianapolis-500"">                  <input type=""hidden"" id=""hdnSession"" value=""qualifications---last-row"">                  <input type=""hidden"" id=""hdnActiveTab"" value=""race"">                    <section id=""race-filters"" class=""actions actions-gray"">                     "
2021,LAST_CHANCE,0,
2021,LAST_ROW,2,"g of Tags -->        <title>          2021 105th Running of the Indianapolis 500 - Qualifications - Last Row Results      </title>        <meta name=""description"" content=""Race results, qualifying results, practice results and standings for the 2024 NTT INDYCAR SERIES season."">      <met ||    <meta property=""og:title"" content=""2021 105th Running of the Indianapolis 500 - Qualifications - Last Row Results"" />      <meta property=""og:type"" content=""website"" />      <meta property=""og:url"" content=""http://www.indycar.com/results/ntt-indycar-series/2021/105th-running-of-the-in"
2021,PDF,4,"ef=""https://epaddock.indycar.com/docs/default-source/rules-regulations-and-policies/indycar-rulebook.pdf"" target=""_blank"" role=""menuitem"" class=""btn btn-secondary"">                                      Official Rulebook                                  </a>                          < ||                   <li>                                      <a href=""/-/media/Files/Current-Schedule.pdf""                                         target=""_blank"" role=""menuitem"">                                              <svg aria-hidden=""true"" height=""16"" width=""16"" class=""icon-l ||                       <li>                                  <a href=""/-/media/Files/Current-Schedule.pdf""                                     target=""_blank"">                                          <svg aria-hidden=""true"" height=""16"" width=""16"" class=""icon-left"">                    || ef=""https://epaddock.indycar.com/docs/default-source/rules-regulations-and-policies/indycar-rulebook.pdf"" target=""_blank"">                                      Official Rulebook                                  </a>                              </li>                      </ul>       "
2021,JSON,0,
2023,NEXT_DATA,0,
2023,NEXT_STATIC,0,
2023,API,1,"ateElement('script');              script.async = true;              script.src = ""https://platform-api.sharethis.com/js/sharethis.js#property=675c8c247b87400012b95ba7&product=inline-share-buttons"";              document.head.appendChild(script);          }            function load_"
2023,GRAPHQL,0,
2023,RESULTS,77,">        <title>          2023 107th Running of the Indianapolis 500 - Qualifications - Last Chance Results      </title>        <meta name=""description"" content=""Race results, qualifying results, practice results and standings for the 2024 NTT INDYCAR SERIES season."">      <meta name="" ||  - Qualifications - Last Chance Results      </title>        <meta name=""description"" content=""Race results, qualifying results, practice results and standings for the 2024 NTT INDYCAR SERIES season."">      <meta name=""keywords"" content="""">      <meta property=""og:title"" content=""2023 1 || Last Chance Results      </title>        <meta name=""description"" content=""Race results, qualifying results, practice results and standings for the 2024 NTT INDYCAR SERIES season."">      <meta name=""keywords"" content="""">      <meta property=""og:title"" content=""2023 107th Running of the  || s      </title>        <meta name=""description"" content=""Race results, qualifying results, practice results and standings for the 2024 NTT INDYCAR SERIES season."">      <meta name=""keywords"" content="""">      <meta property=""og:title"" content=""2023 107th Running of the Indianapolis 500 - || perty=""og:title"" content=""2023 107th Running of the Indianapolis 500 - Qualifications - Last Chance Results"" />      <meta property=""og:type"" content=""website"" />      <meta property=""og:url"" content=""http://www.indycar.com/results/ntt-indycar-series/2023/107th-running-of-the-indianapol"
2023,SECTION_RESULTS,2,"           role=""menuitem""                                                     aria-label=""Download Section Results"">                                                      <svg aria-hidden=""true"" height=""16"" width=""16"">                                                          <use xlink:href=""#i ||                                      </svg>                                                      <p>Section Results</p>                                                  </a>                                                  <a href=""#""                                                     target="""
2023,TOP_SECTION_TIMES,2,"                    role=""menuitem""                                                     aria-label=""Top Section Times Download Link"">                                                      <svg aria-hidden=""true"" height=""16"" width=""16"">                                                          <use  ||                                      </svg>                                                      <p>Top Section Times</p>                                                  </a>                                              </div>                                          </div>                      "
2023,SESSION,2,"nEvent"" value=""107th-running-of-the-indianapolis-500"">                  <input type=""hidden"" id=""hdnSession"" value=""qualifications---last-chance"">                  <input type=""hidden"" id=""hdnActiveTab"" value=""race"">                    <section id=""race-filters"" class=""actions actions-g ||                                   </svg>                                  <p class=""accordion-text"">Session Reports</p>                                  <div class=""btn btn-secondary accordion-button"">                                      <div class=""accordion-chevron-container"" style="""
2023,EVENT,178," = w[l] || []; w[l].push({                  'gtm.start':                      new Date().getTime(), event: 'gtm.js'              }); var f = d.getElementsByTagName(s)[0],                  j = d.createElement(s), dl = l != 'dataLayer' ? '&l=' + l : ''; j.async = true; j.src =           || /p>              <div class=""mm-card-wrapper mm-one-small-card"">                        <div class=""event-card event-card-small event-card-completed event-card-collapsed"">      <div class=""event-card-background"" style=""background: linear-gradient(265deg, #F4F2CC 0%, #CFAE4D 50%, #3359 ||       <div class=""mm-card-wrapper mm-one-small-card"">                        <div class=""event-card event-card-small event-card-completed event-card-collapsed"">      <div class=""event-card-background"" style=""background: linear-gradient(265deg, #F4F2CC 0%, #CFAE4D 50%, #335994 100%);""> || ""mm-card-wrapper mm-one-small-card"">                        <div class=""event-card event-card-small event-card-completed event-card-collapsed"">      <div class=""event-card-background"" style=""background: linear-gradient(265deg, #F4F2CC 0%, #CFAE4D 50%, #335994 100%);"">      </div>      || ne-small-card"">                        <div class=""event-card event-card-small event-card-completed event-card-collapsed"">      <div class=""event-card-background"" style=""background: linear-gradient(265deg, #F4F2CC 0%, #CFAE4D 50%, #335994 100%);"">      </div>      <button class=""event"
2023,QUALIFICATIONS,5," Protected Loading of Tags -->        <title>          2023 107th Running of the Indianapolis 500 - Qualifications - Last Chance Results      </title>        <meta name=""description"" content=""Race results, qualifying results, practice results and standings for the 2024 NTT INDYCAR SERIES seaso || s"" content="""">      <meta property=""og:title"" content=""2023 107th Running of the Indianapolis 500 - Qualifications - Last Chance Results"" />      <meta property=""og:type"" content=""website"" />      <meta property=""og:url"" content=""http://www.indycar.com/results/ntt-indycar-series/2023/107th-run || ntent=""http://www.indycar.com/results/ntt-indycar-series/2023/107th-running-of-the-indianapolis-500/qualifications---last-chance?&amp;year=2023"" />      <meta property=""og:image"" content=""https://www.indycar.com/-/media/IndyCar/Logos/logo.png?vs=1&amp;d=20251006T231226Z"" />      <meta property ||  href=""http://www.indycar.com/results/ntt-indycar-series/2023/107th-running-of-the-indianapolis-500/qualifications---last-chance"" />        <meta name=""SKYPE_TOOLBAR"" content=""SKYPE_TOOLBAR_PARSER_COMPATIBLE"">      <meta property=""fb:app_id"" content=""371698759518520"" />      <meta property=""fb || 07th-running-of-the-indianapolis-500"">                  <input type=""hidden"" id=""hdnSession"" value=""qualifications---last-chance"">                  <input type=""hidden"" id=""hdnActiveTab"" value=""race"">                    <section id=""race-filters"" class=""actions actions-gray"">                  "
