window_minutes,model,n,mae_mph,rmse_mph,pearson,sign_accuracy
20,ZERO_BASELINE,40,0.572075,1.084194,,0.000000
20,OTHER_CAR_FIRST_RUN_ONLY,4,1.289467,1.306955,0.908736,0.250000
20,OTHER_CAR_FIRST_PLUS_REPEAT,36,0.604233,1.087365,0.033043,0.750000
30,ZERO_BASELINE,40,0.572075,1.084194,,0.000000
30,OTHER_CAR_FIRST_RUN_ONLY,7,1.897584,2.421033,0.445235,0.428571
30,OTHER_CAR_FIRST_PLUS_REPEAT,38,0.628588,1.118067,0.015465,0.736842
45,ZERO_BASELINE,40,0.572075,1.084194,,0.000000
45,OTHER_CAR_FIRST_RUN_ONLY,8,1.452324,2.107264,0.071766,0.375000
45,OTHER_CAR_FIRST_PLUS_REPEAT,39,0.612592,1.116505,-0.048284,0.794872
