test_year,time_utc,prior_mean_residual_mph,prior_sd_mph,observed_field_residual_mph,observed_driver_count,kalman_gain,posterior_mean_residual_mph,posterior_sd_mph
2020,2020-08-15T15:00:45Z,-0.5679846153846164,0.3,-0.4170000000000016,1,0.022004889975550123,-0.5646622155350772,0.29668090586048923
2020,2020-08-15T15:11:35Z,-0.5646622155350772,0.3038961882543672,-0.2189999999999941,1,0.022567187054710943,-0.5568615916593512,0.30044757981858294
2020,2020-08-15T15:16:35Z,-0.5568615916593512,0.30375771301951127,0.7830000000000155,1,0.022547089132160164,-0.5266516129274496,0.3003137634685441
2020,2020-08-15T15:20:45Z,-0.5266516129274496,0.3030759363514486,-1.7390000000000043,1,0.02244825945069242,-0.5538667240650827,0.29965486447373035
2020,2020-08-15T15:25:45Z,-0.5538667240650827,0.3029736585955447,-1.195999999999998,1,0.022433450801329177,-0.568271989318665,0.29955601013052086
2020,2020-08-15T15:29:55Z,-0.568271989318665,0.302325106254812,-1.5770000000000266,1,0.022339653755488575,-0.5908066238107493,0.29892911370750475
2020,2020-08-15T15:34:55Z,-0.5908066238107493,0.3022558767368375,-0.679000000000002,1,0.022329652230073226,-0.5927759512300513,0.29886219051645346
2020,2020-08-15T15:39:55Z,-0.5927759512300513,0.30218969029451176,-0.28700000000000614,1,0.022320092285453192,-0.5859510037799245,0.2987982080632559
2020,2020-08-15T15:49:55Z,-0.5859510037799245,0.30541835102333453,-1.0880000000000223,1,0.022788658662384692,-0.5973920269865771,0.3019182582248692
2020,2020-08-15T15:54:05Z,-0.5973920269865771,0.3046658847265401,-0.5910000000000082,1,0.022679050582138816,-0.5972470618832263,0.30119130520078974
2020,2020-08-15T15:59:05Z,-0.5972470618832263,0.304493353504728,-1.0200000000000102,1,0.02265395344925316,-0.606824087263859,0.3010246066304425
2020,2020-08-15T16:04:05Z,-0.606824087263859,0.3043284636655149,-0.7939999999999827,1,0.022629979947002728,-0.6110598744156394,0.30086528511613114
2020,2020-08-15T16:13:15Z,-0.6110598744156394,0.30689833244036624,-1.2909999999999968,1,0.02300495702034859,-0.6267018677811179,0.3033477016253698
2020,2020-08-15T16:18:15Z,-0.6267018677811179,0.30662652866540163,-0.7470000000000141,1,0.022965161877453694,-0.6294645338610801,0.3030852149310731
2020,2020-08-15T16:22:25Z,-0.6294645338610801,0.3058223572214455,-0.17799999999999727,1,0.02284760965258073,-0.6191496484194378,0.30230851561000216
2020,2020-08-15T16:27:25Z,-0.6191496484194378,0.30559849248699333,0.24800000000001887,1,0.02281493544554922,-0.5993656851691171,0.3020922736221449
2020,2020-08-15T16:32:25Z,-0.5993656851691171,0.30538458013167086,-0.7720000000000198,1,0.02278373415452785,-0.6032989395041735,0.3018856349979432
