year,model,n,mae_mph,rmse_mph,bias_mph,correlation
2020,FAST_FRIDAY_REFERENCE_ONLY,39,1.0107692307692333,1.1790343941395884,0.8820512820512822,0.9458129983678725
2020,FAST_FRIDAY_PLUS_CONSTANT_OFFSET,39,0.6838399245243963,0.8566935645282708,-0.003331291356491379,0.9368587133342039
2020,FAST_FRIDAY_PLUS_WITHIN_YEAR_THERMAL_RIDGE,39,0.6341656850125995,0.837525905102743,-0.013869556026559137,0.9391022108942192
2021,FAST_FRIDAY_REFERENCE_ONLY,48,0.8443125000000009,1.1894285304996945,0.6961041666666681,0.6593252177527879
2021,FAST_FRIDAY_PLUS_CONSTANT_OFFSET,48,0.6646433591992764,1.0027020419800692,-0.0038826754385983264,0.6425334532424803
2021,FAST_FRIDAY_PLUS_WITHIN_YEAR_THERMAL_RIDGE,48,0.71177923211029,1.0364782339177712,0.0036595445798592863,0.6357986330399098
2023,FAST_FRIDAY_REFERENCE_ONLY,17,0.5608235294117625,0.7776781430113883,0.20623529411764707,0.8740749008886584
2023,FAST_FRIDAY_PLUS_CONSTANT_OFFSET,17,0.507092436974788,0.7697299252745308,-0.0075268261150574075,0.8711387917559514
2023,FAST_FRIDAY_PLUS_WITHIN_YEAR_THERMAL_RIDGE,17,0.6802885687666108,0.9473538017852438,0.06625156184098306,0.8295844220838781
