year,states,states_with_1plus_residual_car_10m,states_with_2plus_residual_cars_10m,states_with_3plus_residual_cars_10m,states_with_1plus_residual_car_20m,states_with_2plus_residual_cars_20m,states_with_3plus_residual_cars_20m,states_with_1plus_residual_car_30m,states_with_2plus_residual_cars_30m,states_with_3plus_residual_cars_30m,states_with_1plus_residual_car_45m,states_with_2plus_residual_cars_45m,states_with_3plus_residual_cars_45m,primary_residual_window_ready
2020,20,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,25,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,5,0,0,0,0,0,0,0,0,0,0,0,0,0
