policy_id,assumed_time_remaining_minutes,scenario_class,time_remaining_semantics,historical_exact_time_claim,allowed_for_final_mc_sensitivity,allowed_as_historical_ground_truth,completion_rule,existing_grid_support_rows,existing_grid_completion_true,existing_grid_completion_false,existing_grid_completion_rate,existing_grid_margin_min_minutes,existing_grid_margin_max_minutes,policy_status
CUTOFF_SENSITIVITY_05MIN,5,EXTREME_CUTOFF_PRESSURE,STRUCTURAL_SENSITIVITY_SCENARIO,False,True,False,sampled_wait_minutes + sampled_run_duration_minutes <= assumed_time_remaining_minutes,16,0,16,0.0,-42.7156,-2.596314166666667,FROZEN_STRUCTURAL_SENSITIVITY
CUTOFF_SENSITIVITY_10MIN,10,VERY_LOW_TIME_REMAINING,STRUCTURAL_SENSITIVITY_SCENARIO,False,True,False,sampled_wait_minutes + sampled_run_duration_minutes <= assumed_time_remaining_minutes,16,4,12,0.25,-37.7156,2.403685833333333,FROZEN_STRUCTURAL_SENSITIVITY
CUTOFF_SENSITIVITY_15MIN,15,LOW_TIME_REMAINING,STRUCTURAL_SENSITIVITY_SCENARIO,False,True,False,sampled_wait_minutes + sampled_run_duration_minutes <= assumed_time_remaining_minutes,16,4,12,0.25,-32.7156,7.403685833333332,FROZEN_STRUCTURAL_SENSITIVITY
CUTOFF_SENSITIVITY_20MIN,20,LOW_TO_MODERATE_TIME_REMAINING,STRUCTURAL_SENSITIVITY_SCENARIO,False,True,False,sampled_wait_minutes + sampled_run_duration_minutes <= assumed_time_remaining_minutes,16,8,8,0.5,-27.715600000000002,12.403685833333332,FROZEN_STRUCTURAL_SENSITIVITY
CUTOFF_SENSITIVITY_30MIN,30,MODERATE_TIME_REMAINING,STRUCTURAL_SENSITIVITY_SCENARIO,False,True,False,sampled_wait_minutes + sampled_run_duration_minutes <= assumed_time_remaining_minutes,16,8,8,0.5,-17.715600000000002,22.40368583333333,FROZEN_STRUCTURAL_SENSITIVITY
CUTOFF_SENSITIVITY_45MIN,45,HIGH_TIME_REMAINING,STRUCTURAL_SENSITIVITY_SCENARIO,False,True,False,sampled_wait_minutes + sampled_run_duration_minutes <= assumed_time_remaining_minutes,16,12,4,0.75,-2.7156000000000025,37.403685833333334,FROZEN_STRUCTURAL_SENSITIVITY
CUTOFF_SENSITIVITY_60MIN,60,VERY_HIGH_TIME_REMAINING,STRUCTURAL_SENSITIVITY_SCENARIO,False,True,False,sampled_wait_minutes + sampled_run_duration_minutes <= assumed_time_remaining_minutes,16,16,0,1.0,12.284399999999998,52.403685833333334,FROZEN_STRUCTURAL_SENSITIVITY
