year,driver_name,driver_key,car_number,attempt_id,attempt_index,speed_mph,time_utc,complete,valid,reference_speed_mph,reference_type,reference_model_role,reference_residual_mph
2023,Stefan Wilson,stefan wilson,24,111ee81b-a11a-5ab8-b5a4-9eadb4f12a70,3,231.648,,True,True,232.57,GENERAL_FAST_FRIDAY_BEST_SPEED,CORE_DEVELOPMENT,-0.921999999999997
2023,Colton Herta,colton herta,26,a0403bbb-d597-5780-bb01-764b8a6d60c9,1,231.951,,True,True,233.555,GENERAL_FAST_FRIDAY_BEST_SPEED,CORE_DEVELOPMENT,-1.6040000000000134
2023,Colton Herta,colton herta,26,3982bfeb-b062-5d85-ac65-0ba52f189ec5,2,231.288,,True,True,233.555,GENERAL_FAST_FRIDAY_BEST_SPEED,CORE_DEVELOPMENT,-2.266999999999996
2023,Colton Herta,colton herta,26,94ddc0d9-ad14-53ef-acdc-7dbbb9f2ac67,3,231.675,,True,True,233.555,GENERAL_FAST_FRIDAY_BEST_SPEED,CORE_DEVELOPMENT,-1.8799999999999955
2023,Colton Herta,colton herta,26,d0b7a0c6-086c-53e9-8b7a-ef2ad8f92578,,231.828,,True,True,233.555,GENERAL_FAST_FRIDAY_BEST_SPEED,CORE_DEVELOPMENT,-1.7270000000000039
2023,Kyle Kirkwood,kyle kirkwood,27,dda33fdd-49c8-5082-a03d-252bf1a6fa49,1,232.39,2023-05-20T17:14:58+00:00,True,True,233.608,GENERAL_FAST_FRIDAY_BEST_SPEED,CORE_DEVELOPMENT,-1.2180000000000177
2023,Kyle Kirkwood,kyle kirkwood,27,f9f206a7-b2ab-5eb9-8805-0d279c65164d,2,232.617,2023-05-20T19:17:10+00:00,True,True,233.608,GENERAL_FAST_FRIDAY_BEST_SPEED,CORE_DEVELOPMENT,-0.9910000000000139
2023,Kyle Kirkwood,kyle kirkwood,27,970e09d9-9783-53a2-ac70-f2117bee1d09,3,232.662,2023-05-20T20:10:26+00:00,True,True,233.608,GENERAL_FAST_FRIDAY_BEST_SPEED,CORE_DEVELOPMENT,-0.945999999999998
2023,Romain Grosjean,romain grosjean,28,19a014d1-8e9c-5310-a9ef-9ea6b3e3f3cf,1,231.997,,True,True,232.942,GENERAL_FAST_FRIDAY_BEST_SPEED,CORE_DEVELOPMENT,-0.9449999999999932
2023,Devlin DeFrancesco,devlin defrancesco,29,f10d3a91-6f0d-59f0-9ea9-4db5cf6e44b9,1,231.273,2023-05-20T16:23:23+00:00,True,True,232.323,GENERAL_FAST_FRIDAY_BEST_SPEED,CORE_DEVELOPMENT,-1.0500000000000114
2023,Devlin DeFrancesco,devlin defrancesco,29,ab6f7ab5-b6ba-5e02-9560-f89bd35b575c,2,231.353,2023-05-20T19:04:53+00:00,True,True,232.323,GENERAL_FAST_FRIDAY_BEST_SPEED,CORE_DEVELOPMENT,-0.9699999999999989
2023,Scott McLaughlin,scott mclaughlin,3,506daaba-7e0d-53d8-b6ec-c466d0af30b3,1,232.503,,True,True,233.347,GENERAL_FAST_FRIDAY_BEST_SPEED,CORE_DEVELOPMENT,-0.8440000000000225
2023,Scott McLaughlin,scott mclaughlin,3,d208b8e3-e26b-5e24-9235-a7bc3437ab10,2,232.677,,True,True,233.347,GENERAL_FAST_FRIDAY_BEST_SPEED,CORE_DEVELOPMENT,-0.6700000000000159
2023,Jack Harvey,jack harvey,30,eddc7e1d-b0e2-52e1-a6c1-a4f18d0682dc,1,230.098,,True,True,231.166,GENERAL_FAST_FRIDAY_BEST_SPEED,CORE_DEVELOPMENT,-1.0679999999999836
2023,Ed Carpenter,ed carpenter,33,04dd64f3-9175-537b-b611-47d98856e4b7,1,232.62,2023-05-20T16:05:13+00:00,True,True,232.916,GENERAL_FAST_FRIDAY_BEST_SPEED,CORE_DEVELOPMENT,-0.29599999999999227
2023,Ed Carpenter,ed carpenter,33,2b14c17d-769c-504e-819b-55270bb93b13,2,232.511,2023-05-20T19:25:49+00:00,True,True,232.916,GENERAL_FAST_FRIDAY_BEST_SPEED,CORE_DEVELOPMENT,-0.40500000000000114
2023,Ed Carpenter,ed carpenter,33,55035890-97e8-57a3-a2e1-4845f4b05eb9,3,232.689,2023-05-20T20:47:30+00:00,True,True,232.916,GENERAL_FAST_FRIDAY_BEST_SPEED,CORE_DEVELOPMENT,-0.22700000000000387
2023,Katherine Legge,katherine legge,44,939cb422-2442-550d-9cc5-80f8c372c5d7,1,231.07,2023-05-20T17:19:59+00:00,True,True,231.42,GENERAL_FAST_FRIDAY_BEST_SPEED,CORE_DEVELOPMENT,-0.3499999999999943
