model_name,test_year,test_rows,brier_score,log_loss,accuracy,roc_auc
BASE_RATE,2020,1,0.062500,0.287682,1.000000,
BASE_RATE,2021,1,1.000000,36.043653,0.000000,
BASE_RATE,2023,3,0.250000,0.693147,1.000000,
BASE_RATE,POOLED_LOYO,5,0.362500,7.682155,0.800000,0.000000
