validation_scheme,fold,model,n,mae_mph,rmse_mph,bias_mph,correlation
DRIVER_GROUPED_5FOLD,FOLD_1,YEAR_INTERCEPT_ONLY,21,1.0409391534391546,1.2604369761361736,-0.18853174603177353,0.5645893406368345
DRIVER_GROUPED_5FOLD,FOLD_1,FAST_FRIDAY_REFERENCE_ONLY,21,0.9001904761904733,1.034191011186541,0.7119999999999972,0.8942851222124476
DRIVER_GROUPED_5FOLD,FOLD_1,FAST_FRIDAY_PLUS_THERMAL_RIDGE,21,0.6001095350044962,0.779307979183019,0.09477727611789126,0.9053348730723908
DRIVER_GROUPED_5FOLD,FOLD_1,FAST_FRIDAY_PLUS_THERMAL_HUBER,21,0.6430175858508453,0.7453746671886048,0.10839987254825749,0.9056956368690517
DRIVER_GROUPED_5FOLD,FOLD_2,YEAR_INTERCEPT_ONLY,21,1.3994416971916972,1.9556162956468912,0.45310409035408294,0.40717002258281443
DRIVER_GROUPED_5FOLD,FOLD_2,FAST_FRIDAY_REFERENCE_ONLY,21,1.0900952380952433,1.554598432301502,0.7360952380952421,0.7342999506057577
DRIVER_GROUPED_5FOLD,FOLD_2,FAST_FRIDAY_PLUS_THERMAL_RIDGE,21,0.8223277499050087,1.345311250571549,0.13374064113926243,0.7511771943916653
DRIVER_GROUPED_5FOLD,FOLD_2,FAST_FRIDAY_PLUS_THERMAL_HUBER,21,0.8012598513359651,1.3177516833878953,0.15842103230557264,0.7623458732687111
DRIVER_GROUPED_5FOLD,FOLD_3,YEAR_INTERCEPT_ONLY,21,1.4139477062619898,2.6796994452496423,0.9078825745682805,0.5331885352865762
DRIVER_GROUPED_5FOLD,FOLD_3,FAST_FRIDAY_REFERENCE_ONLY,21,0.6170476190476203,0.7644869428016975,0.38380952380952393,0.9731562241884075
DRIVER_GROUPED_5FOLD,FOLD_3,FAST_FRIDAY_PLUS_THERMAL_RIDGE,21,0.6534723873731829,0.8552810386248356,-0.4123043914031081,0.9698542617706237
DRIVER_GROUPED_5FOLD,FOLD_3,FAST_FRIDAY_PLUS_THERMAL_HUBER,21,0.5645191203530382,0.78044936303178,-0.32843163442090006,0.9723012287270794
DRIVER_GROUPED_5FOLD,FOLD_4,YEAR_INTERCEPT_ONLY,21,0.968861424177699,1.066974576945789,-0.6795426139556658,0.8196646620978709
DRIVER_GROUPED_5FOLD,FOLD_4,FAST_FRIDAY_REFERENCE_ONLY,21,0.7589047619047639,1.0139247412665195,0.684428571428575,0.8619032935929001
DRIVER_GROUPED_5FOLD,FOLD_4,FAST_FRIDAY_PLUS_THERMAL_RIDGE,21,0.5324292507150254,0.7070372419408154,0.045480876056329646,0.9011549721744987
DRIVER_GROUPED_5FOLD,FOLD_4,FAST_FRIDAY_PLUS_THERMAL_HUBER,21,0.5797463214027151,0.7184748350692148,-0.016606932983091297,0.8894324841840995
DRIVER_GROUPED_5FOLD,FOLD_5,YEAR_INTERCEPT_ONLY,20,1.1643493243243328,1.3496875203193797,-0.4637725675676009,-0.05665497591097619
DRIVER_GROUPED_5FOLD,FOLD_5,FAST_FRIDAY_REFERENCE_ONLY,20,0.9394999999999996,1.1253572321711895,0.9237999999999985,0.8647340369498292
DRIVER_GROUPED_5FOLD,FOLD_5,FAST_FRIDAY_PLUS_THERMAL_RIDGE,20,0.4907800026717325,0.6564404517387586,0.18622951508023106,0.8672639598875514
DRIVER_GROUPED_5FOLD,FOLD_5,FAST_FRIDAY_PLUS_THERMAL_HUBER,20,0.48763933847412205,0.6440866428521688,0.13355082161973542,0.8653580133718303
