year,event_id,session_id,session_name,session_type,event_name,http_status,bytes,top_level_keys,list_containers,raw_json_path
2021,5365,5847,Qualifications - Last Row,Q,105th Running of the Indianapolis 500,200,5189,EventName;SessionDate;SessionDateFormatted;SessionName;SessionReports;SessionType;TrackType;records,records[7];SessionReports[0],weather/evidence/last_chance_official/2021_last_chance_session_5847_v2.json
2023,5431,6205,Qualifications - Last Chance,Q,107th Running of the Indianapolis 500,200,4073,EventName;SessionDate;SessionDateFormatted;SessionName;SessionReports;SessionType;TrackType;records,records[4];SessionReports[3],weather/evidence/last_chance_official/2023_last_chance_session_6205_v2.json
2024,5465,6385,Qualifications - Last Chance,Q,108th Running of the Indianapolis 500,200,4038,EventName;SessionDate;SessionDateFormatted;SessionName;SessionReports;SessionType;TrackType;records,records[4];SessionReports[3],weather/evidence/last_chance_official/2024_last_chance_session_6385_v2.json
