file,sample_rows,column_count,thermal_score,identity_score,total_score,track_temp_cols,forecast_cols,trend_cols,time_cols,attempt_id_cols,attempt_overlap_sample,sample_unique_attempt_ids
r4p5_decision_safe_forecast_scenarios_v1.csv,40,109,481,8,489,0,95,28,3,0,0,0
r4p6_decision_safe_conditional_dataset_v1.csv,5,56,192,8,200,0,38,11,3,0,0,0
r4p8_track_temperature_training_dataset_v1.csv,312,35,114,7,121,0,20,9,3,0,0,0
r4p2_environment_linked_transitions_v1.csv,39,54,94,6,100,0,12,20,2,0,0,0
r4p2_multi_run_transitions_v1.csv,92,54,94,6,100,0,12,20,2,0,0,0
r4f4_decision_window_residual_context_v1.csv,50,52,65,8,73,3,4,0,3,0,0,0
r4f3b_shared_state_linkage_thermal_fixed_v1.csv,50,34,29,8,37,3,4,0,3,0,0,0
r4p1_attempt_four_lap_panel_v1.csv,329,42,16,19,35,1,1,4,6,1,110,329
r4p1_first_run_order_panel_v1.csv,150,47,16,19,35,1,1,4,6,1,75,150
r4p1_multi_run_four_lap_panel_v1.csv,162,45,16,19,35,1,1,4,6,1,59,162
r4f6h_repeat_window_validation_rows_v1.csv,13,28,26,6,32,0,0,4,2,0,0,0
r4f3a_shared_state_linkage_repaired_v1.csv,50,32,19,8,27,1,4,0,3,0,0,0
r4p0_cross_car_data_inventory_v1.csv,6,23,12,15,27,1,1,0,7,0,0,0
r4f3_shared_state_linkage_audit_v1.csv,50,29,19,6,25,1,4,0,2,0,0,0
r4p2_transition_environment_summary_v1.csv,5,12,24,1,25,2,0,7,0,0,0,0
r4p10_thermal_conditioned_repeat_dataset_v1.csv,39,27,18,4,22,0,0,6,1,0,0,0
r4f7a_latent_window_input_readiness_rows_v1.csv,329,19,11,10,21,1,2,0,1,1,110,329
r4p2_past_only_cross_car_signal_v1.csv,40,24,16,4,20,0,0,8,1,0,0,0
r4f7a_v2_expanded_latent_window_input_readiness_rows.csv,329,17,11,8,19,1,2,0,0,1,110,329
