interval_nominal_coverage,interval_label,n,hits,observed_coverage,coverage_minus_nominal,wilson_95_lower,wilson_95_upper,interpretation
0.5,PI50,19,11,0.5789473684210527,0.07894736842105265,0.3627590353425504,0.7685810871754576,RETROSPECTIVE_REPLAY_SMALL_SAMPLE
0.8,PI80,19,14,0.7368421052631579,-0.06315789473684219,0.5120844910218489,0.8819358765321748,RETROSPECTIVE_REPLAY_SMALL_SAMPLE
0.9,PI90,19,17,0.8947368421052632,-0.0052631578947368585,0.6860591728889099,0.9706414397011299,RETROSPECTIVE_REPLAY_SMALL_SAMPLE
0.95,PI95,19,19,1.0,0.050000000000000044,0.8318207759473837,1.0,RETROSPECTIVE_REPLAY_SMALL_SAMPLE
