year,event_id,driver_id,driver_name,http_status,session_count,target_session_count,status
2021,5365,3608,Marco Andretti,200,15,0,EVENT_OBJECT_NO_TARGET
2021,5365,4616,Oliver Askew,200,0,0,NO_SESSIONS
2021,5365,4021,Sebastien Bourdais,200,10,0,EVENT_OBJECT_NO_TARGET
2021,5365,3620,Ed Carpenter,200,11,0,EVENT_OBJECT_NO_TARGET
2021,5365,3622,Helio Castroneves,200,14,0,EVENT_OBJECT_NO_TARGET
2021,5365,4558,Max Chilton,200,10,0,EVENT_OBJECT_NO_TARGET
2021,5365,4218,Conor Daly,200,12,0,EVENT_OBJECT_NO_TARGET
2021,5365,3813,Simona De Silvestro,200,17,1,TARGET_SESSION_FOUND
2021,5365,3628,Scott Dixon,200,11,0,EVENT_OBJECT_NO_TARGET
2021,5365,4442,RC Enerson,200,11,2,TARGET_SESSION_FOUND
2021,5365,4905,Marcus Ericsson,200,11,0,EVENT_OBJECT_NO_TARGET
2021,5365,4897,Santino Ferrucci,200,12,0,EVENT_OBJECT_NO_TARGET
2021,5365,4882,Pietro Fittipaldi,200,10,0,EVENT_OBJECT_NO_TARGET
2021,5365,4935,Romain Grosjean,200,0,0,NO_SESSIONS
2021,5365,4505,Jack Harvey,200,12,0,EVENT_OBJECT_NO_TARGET
2021,5365,4511,Colton Herta,200,13,0,EVENT_OBJECT_NO_TARGET
2021,5365,3736,JR Hildebrand,200,9,0,EVENT_OBJECT_NO_TARGET
2021,5365,4216,James Hinchcliffe,200,10,0,EVENT_OBJECT_NO_TARGET
2021,5365,3645,Ryan Hunter-Reay,200,13,0,EVENT_OBJECT_NO_TARGET
2021,5365,4939,Callum Ilott,200,0,0,NO_SESSIONS
2021,5365,4934,Jimmie Johnson,200,0,0,NO_SESSIONS
2021,5365,4542,Ed Jones,200,12,0,EVENT_OBJECT_NO_TARGET
2021,5365,3648,Tony Kanaan,200,11,0,EVENT_OBJECT_NO_TARGET
2021,5365,4247,Sage Karam,200,16,1,TARGET_SESSION_FOUND
2021,5365,4416,Dalton Kellett,200,12,0,EVENT_OBJECT_NO_TARGET
2021,5365,4144,Charlie Kimball,200,14,2,TARGET_SESSION_FOUND
2021,5365,4938,Christian Lundgaard,200,0,0,NO_SESSIONS
2021,5365,4937,Kevin Magnussen,200,0,0,NO_SESSIONS
2021,5365,4932,Scott McLaughlin,200,11,0,EVENT_OBJECT_NO_TARGET
2021,5365,4002,Juan Pablo Montoya,200,12,0,EVENT_OBJECT_NO_TARGET
2021,5365,4215,Josef Newgarden,200,13,0,EVENT_OBJECT_NO_TARGET
2021,5365,4611,Ryan Norman,200,0,0,NO_SESSIONS
2021,5365,4559,Pato O'Ward,200,10,0,EVENT_OBJECT_NO_TARGET
2021,5365,4276,Simon Pagenaud,200,11,0,EVENT_OBJECT_NO_TARGET
2021,5365,4931,Alex Palou,200,14,0,EVENT_OBJECT_NO_TARGET
2021,5365,3667,Will Power,200,15,1,TARGET_SESSION_FOUND
2021,5365,3668,Graham Rahal,200,10,0,EVENT_OBJECT_NO_TARGET
2021,5365,4588,Felix Rosenqvist,200,12,0,EVENT_OBJECT_NO_TARGET
2021,5365,4587,Alexander Rossi,200,10,0,EVENT_OBJECT_NO_TARGET
2021,5365,3811,Takuma Sato,200,13,0,EVENT_OBJECT_NO_TARGET
2021,5365,4614,Rinus VeeKay,200,13,0,EVENT_OBJECT_NO_TARGET
2021,5365,4936,Cody Ware,200,0,0,NO_SESSIONS
2021,5365,3803,Stefan Wilson,200,13,0,EVENT_OBJECT_NO_TARGET
2023,5431,3608,Marco Andretti,200,7,0,EVENT_OBJECT_NO_TARGET
2023,5431,4948,Marcus Armstrong,200,0,0,NO_SESSIONS
2023,5431,4954,Tom Blomqvist,200,0,0,NO_SESSIONS
2023,5431,4946,Agustin Canapino,200,7,0,EVENT_OBJECT_NO_TARGET
2023,5431,3620,Ed Carpenter,200,7,0,EVENT_OBJECT_NO_TARGET
2023,5431,3622,Helio Castroneves,200,7,0,EVENT_OBJECT_NO_TARGET
2023,5431,4218,Conor Daly,200,8,0,EVENT_OBJECT_NO_TARGET
2023,5431,4940,Devlin DeFrancesco,200,8,0,EVENT_OBJECT_NO_TARGET
2023,5431,3628,Scott Dixon,200,11,0,EVENT_OBJECT_NO_TARGET
2023,5431,4442,RC Enerson,200,7,0,EVENT_OBJECT_NO_TARGET
2023,5431,4905,Marcus Ericsson,200,9,0,EVENT_OBJECT_NO_TARGET
2023,5431,4897,Santino Ferrucci,200,10,0,EVENT_OBJECT_NO_TARGET
2023,5431,4935,Romain Grosjean,200,7,0,EVENT_OBJECT_NO_TARGET
2023,5431,4505,Jack Harvey,200,10,1,TARGET_SESSION_FOUND
2023,5431,4511,Colton Herta,200,8,0,EVENT_OBJECT_NO_TARGET
2023,5431,3645,Ryan Hunter-Reay,200,7,0,EVENT_OBJECT_NO_TARGET
2023,5431,4939,Callum Ilott,200,8,0,EVENT_OBJECT_NO_TARGET
2023,5431,3648,Tony Kanaan,200,9,0,EVENT_OBJECT_NO_TARGET
2023,5431,4623,Kyle Kirkwood,200,8,0,EVENT_OBJECT_NO_TARGET
2023,5431,4401,Katherine Legge,200,7,0,EVENT_OBJECT_NO_TARGET
2023,5431,4938,Christian Lundgaard,200,9,1,TARGET_SESSION_FOUND
2023,5431,4941,Linus Lundqvist,200,0,0,NO_SESSIONS
2023,5431,4636,David Malukas,200,7,0,EVENT_OBJECT_NO_TARGET
2023,5431,4932,Scott McLaughlin,200,7,0,EVENT_OBJECT_NO_TARGET
2023,5431,4215,Josef Newgarden,200,7,0,EVENT_OBJECT_NO_TARGET
2023,5431,4559,Pato O'Ward,200,10,0,EVENT_OBJECT_NO_TARGET
2023,5431,4276,Simon Pagenaud,200,7,0,EVENT_OBJECT_NO_TARGET
2023,5431,4931,Alex Palou,200,11,0,EVENT_OBJECT_NO_TARGET
2023,5431,4942,Benjamin Pedersen,200,9,0,EVENT_OBJECT_NO_TARGET
2023,5431,3667,Will Power,200,9,0,EVENT_OBJECT_NO_TARGET
2023,5431,3668,Graham Rahal,200,8,1,TARGET_SESSION_FOUND
2023,5431,4613,Sting Ray Robb,200,9,1,TARGET_SESSION_FOUND
2023,5431,4588,Felix Rosenqvist,200,10,0,EVENT_OBJECT_NO_TARGET
2023,5431,4587,Alexander Rossi,200,10,0,EVENT_OBJECT_NO_TARGET
2023,5431,3811,Takuma Sato,200,9,0,EVENT_OBJECT_NO_TARGET
2023,5431,4614,Rinus VeeKay,200,10,0,EVENT_OBJECT_NO_TARGET
2023,5431,4957,Juri Vips,200,0,0,NO_SESSIONS
2024,5465,3608,Marco Andretti,200,8,0,EVENT_OBJECT_NO_TARGET
2024,5465,4948,Marcus Armstrong,200,8,0,EVENT_OBJECT_NO_TARGET
2024,5465,4954,Tom Blomqvist,200,8,0,EVENT_OBJECT_NO_TARGET
2024,5465,4969,Colin Braun,200,0,0,NO_SESSIONS
2024,5465,4946,Agustin Canapino,200,8,0,EVENT_OBJECT_NO_TARGET
2024,5465,3620,Ed Carpenter,200,8,0,EVENT_OBJECT_NO_TARGET
2024,5465,3622,Helio Castroneves,200,8,0,EVENT_OBJECT_NO_TARGET
2024,5465,4218,Conor Daly,200,9,0,EVENT_OBJECT_NO_TARGET
2024,5465,3628,Scott Dixon,200,9,0,EVENT_OBJECT_NO_TARGET
2024,5465,4905,Marcus Ericsson,200,10,1,TARGET_SESSION_FOUND
2024,5465,4897,Santino Ferrucci,200,11,0,EVENT_OBJECT_NO_TARGET
2024,5465,4882,Pietro Fittipaldi,200,8,0,EVENT_OBJECT_NO_TARGET
2024,5465,4972,Luca Ghiotto,200,0,0,NO_SESSIONS
2024,5465,4935,Romain Grosjean,200,9,0,EVENT_OBJECT_NO_TARGET
2024,5465,4505,Jack Harvey,200,0,0,NO_SESSIONS
2024,5465,4511,Colton Herta,200,8,0,EVENT_OBJECT_NO_TARGET
2024,5465,3645,Ryan Hunter-Reay,200,10,0,EVENT_OBJECT_NO_TARGET
2024,5465,4939,Callum Ilott,200,8,0,EVENT_OBJECT_NO_TARGET
2024,5465,4623,Kyle Kirkwood,200,10,0,EVENT_OBJECT_NO_TARGET
2024,5465,4958,Kyle Larson,200,11,0,EVENT_OBJECT_NO_TARGET
2024,5465,4401,Katherine Legge,200,10,1,TARGET_SESSION_FOUND
2024,5465,4938,Christian Lundgaard,200,8,0,EVENT_OBJECT_NO_TARGET
2024,5465,4941,Linus Lundqvist,200,8,0,EVENT_OBJECT_NO_TARGET
2024,5465,4636,David Malukas,200,0,0,NO_SESSIONS
2024,5465,4914,Hunter McElrea,200,0,0,NO_SESSIONS
2024,5465,4932,Scott McLaughlin,200,11,0,EVENT_OBJECT_NO_TARGET
2024,5465,4215,Josef Newgarden,200,11,0,EVENT_OBJECT_NO_TARGET
2024,5465,4559,Pato O'Ward,200,10,0,EVENT_OBJECT_NO_TARGET
2024,5465,4931,Alex Palou,200,8,0,EVENT_OBJECT_NO_TARGET
2024,5465,4971,Theo Pourchaire,200,0,0,NO_SESSIONS
2024,5465,3667,Will Power,200,11,0,EVENT_OBJECT_NO_TARGET
2024,5465,3668,Graham Rahal,200,10,1,TARGET_SESSION_FOUND
2024,5465,4920,Christian Rasmussen,200,8,0,EVENT_OBJECT_NO_TARGET
2024,5465,4613,Sting Ray Robb,200,8,0,EVENT_OBJECT_NO_TARGET
2024,5465,4588,Felix Rosenqvist,200,10,0,EVENT_OBJECT_NO_TARGET
2024,5465,4587,Alexander Rossi,200,11,0,EVENT_OBJECT_NO_TARGET
2024,5465,3811,Takuma Sato,200,10,0,EVENT_OBJECT_NO_TARGET
2024,5465,4915,Nolan Siegel,200,8,1,TARGET_SESSION_FOUND
2024,5465,4944,Kyffin Simpson,200,8,0,EVENT_OBJECT_NO_TARGET
2024,5465,4631,Toby Sowery,200,0,0,NO_SESSIONS
2024,5465,4257,Tristan Vautier,200,0,0,NO_SESSIONS
2024,5465,4614,Rinus VeeKay,200,9,0,EVENT_OBJECT_NO_TARGET
2024,5465,4957,Juri Vips,200,0,0,NO_SESSIONS
