path,rows,field,nonempty_count,unique_nonempty_count,examples
canonical_year_summary.csv,5,attempt_count,5,5,63 | 60 | 44 | 85 | 77
canonical_year_summary.csv,5,repeated_attempt_count_where_supportable,5,5,25 | 23 | 8 | 34 | 4
2024_inter_attempt_gap_diagnostics.csv,0,next_attempt_id,0,0,
year_coverage_audit.csv,5,withdrawal_coverage,5,5,status direct; exact withdrawal times unknown | partial; Power withdrawal bracketed before 17:33 next attempt | Newgarden withdrawal/reinstatement known; timing incomplete | withdrawn status direct; exact times mostly unknown | partial; selected forfeiture timed
year_coverage_audit.csv,5,pit_requeue_coverage,5,5,partial pit/out state; requeue not identified | partial pit entry/exit; queue/requeue identity not systematic | unavailable | unknown | unavailable systematically; replay exposes no reliable queue/route field
r4/output/r4f1_day1_fused_interface_v1.csv,138,later_attempt_count,138,4,1 | 0 | 2 | 3
r4/output/r4f1_day1_fused_interface_v1.csv,138,action_mask_RETAIN_AND_REATTEMPT,138,2,True | False
r4/output/r4f1_day1_fused_interface_v1.csv,138,action_mask_WITHDRAW_AND_REATTEMPT,138,1,False
r4/output/r4f1_day1_fused_interface_v1.csv,138,action_mask_WITHDRAW_AND_PRIORITY_REATTEMPT,138,2,True | False
r4/output/r4f1_day1_fused_interface_v1.csv,138,observed_action_unified,138,2,REATTEMPT_SEMANTICS_UNRESOLVED | STOP
r4/output/r4f1_day1_fused_interface_v1.csv,138,observed_action_quality,138,2,PARTIAL | HIGH
r4/output/r4f1_day1_fused_interface_v1.csv,138,observed_action_evidence,138,7,|  | UNKNOWN | NO_LATER_ATTEMPT_OBSERVED | LATER_SECOND_RUN | UNKNOWN | UNKNOWN | REPEAT_ATTEMPT_IMPROVED | UNKNOWN | UNKNOWN | SECOND_ATTEMPT | UNKNOWN | UNKNOWN | REQUIRED_REATTEMPT_AFTER_INVALIDATION | UNKNOWN | UNKNOWN
r4/output/r4f8h_g_action_mc_scenario_results_v1.csv,1183,current_result_speed_mph,1141,57,230.254 | 229.154 | 229.811 | 228.836 | 227.099 | 231.268
r4/output/r4f8h_g_action_mc_scenario_results_v1.csv,1183,expected_final_result_speed_conditional_mph,1103,724,230.254 | 230.2959399515034 | 230.29617473116596 | 230.34418728361828 | 230.34140585088227 | 230.3822101448261
r4/output/r4f8h_g_action_mc_scenario_results_v1.csv,1183,final_speed_q05_mph,1103,413,230.254 | 227.97000109747952 | 227.98704461718808 | 228.04199146557318 | 227.99311902232532 | 228.00361567767837
r4/output/r4f8h_g_action_mc_scenario_results_v1.csv,1183,final_speed_q25_mph,1103,418,230.254 | 228.98380506340678 | 228.96225315470073 | 229.02482075443336 | 228.97128635882336 | 228.9993560513778
r4/output/r4f8h_g_action_mc_scenario_results_v1.csv,1183,final_speed_q50_mph,1103,454,230.254 | 229.65084601530003 | 229.66179812737943 | 229.68447251779975 | 229.64305167089083 | 229.68444043160073
r4/output/r4f8h_g_action_mc_scenario_results_v1.csv,1183,final_speed_q75_mph,1103,549,230.254 | 230.36310772089308 | 230.36378102713417 | 230.32771635541638 | 230.37143058389577 | 230.33729349581867
r4/output/r4f8h_g_action_mc_scenario_results_v1.csv,1183,final_speed_q95_mph,1103,696,230.254 | 230.47985019777406 | 230.49451644643216 | 230.98492084994916 | 230.96592173847856 | 231.16332528035468
r4/output/r4f8h_h_priority_break_even_summary_v1.csv,350,current_result_speed_mph,350,50,230.254 | 229.154 | 229.811 | 228.836 | 227.099 | 231.268
r4/output/r4f8h_h_priority_break_even_summary_v1.csv,350,withdraw_downside_probability_at_crossover,145,145,0.8834 | 0.76165 | 0.76635 | 0.6422 | 0.64955 | 0.5341
r4/output/r4f8h_h_priority_break_even_summary_v1.csv,350,withdraw_no_result_probability_at_crossover,145,110,0.75235 | 0.496 | 0.49865 | 0.245 | 0.24935 | 0.0
r4/output/r4f1_day1_fused_interface_summary_v1.csv,5,RETAIN_AND_REATTEMPT,5,1,0
r4/output/r4f1_day1_fused_interface_summary_v1.csv,5,WITHDRAW_AND_PRIORITY_REATTEMPT,5,1,0
r4/output/r4f4_decision_window_residual_context_v1.csv,50,historical_action_required_for_engine,50,1,False
r4/output/r4f8h_h_priority_benefit_sensitivity_results_v1.csv,1400,current_result_speed_mph,1400,50,230.254 | 229.154 | 229.811 | 228.836 | 227.099 | 231.268
r4/output/r4f8h_h_priority_benefit_sensitivity_results_v1.csv,1400,retain_p_completed,1400,215,0.0 | 0.2516 | 0.2493 | 0.503 | 0.4961 | 0.74855
r4/output/r4f8h_h_priority_benefit_sensitivity_results_v1.csv,1400,retain_p_final_result_exists,1400,1,1.0
r4/output/r4f8h_h_priority_benefit_sensitivity_results_v1.csv,1400,retain_p_final_meets_benchmark,1400,140,1.0 | 0.0 | 0.018 | 0.0159 | 0.03335 | 0.0309
r4/output/r4f8h_h_priority_benefit_sensitivity_results_v1.csv,1400,retain_p_final_improves_current,1400,296,0.0 | 0.07155 | 0.0682 | 0.1417 | 0.1376 | 0.21345
r4/output/r4f8h_h_priority_benefit_sensitivity_results_v1.csv,1400,retain_p_final_worse_than_current,1400,1,0.0
r4/output/r4f8h_h_priority_benefit_sensitivity_results_v1.csv,1400,retain_expected_final_speed_mph,1400,350,230.254 | 230.29816782866368 | 230.29600235374943 | 230.34356188218868 | 230.33928275756975 | 230.38838879801622
r4/output/r4f8h_h_priority_benefit_sensitivity_results_v1.csv,1400,withdraw_p_completed,1400,357,0.0 | 0.24755 | 0.2516 | 0.5 | 0.2493 | 0.5033
r4/output/r4f8h_h_priority_benefit_sensitivity_results_v1.csv,1400,withdraw_p_final_result_exists,1400,357,0.0 | 0.24755 | 0.2516 | 0.5 | 0.2493 | 0.5033
r4/output/r4f8h_h_priority_benefit_sensitivity_results_v1.csv,1400,withdraw_p_no_final_result,1400,357,1.0 | 0.75245 | 0.7484 | 0.5 | 0.7507 | 0.4967
r4/output/r4f8h_h_priority_benefit_sensitivity_results_v1.csv,1400,withdraw_p_final_meets_benchmark,1400,658,0.0 | 0.06895 | 0.07155 | 0.1398 | 0.0682 | 0.1383
r4/output/r4f8h_h_priority_benefit_sensitivity_results_v1.csv,1400,withdraw_p_final_beats_current,1400,718,0.0 | 0.06895 | 0.07155 | 0.1398 | 0.0682 | 0.1383
r4/output/r4f8h_h_priority_benefit_sensitivity_results_v1.csv,1400,withdraw_p_final_worse_than_current,1400,718,1.0 | 0.93105 | 0.92845 | 0.8602 | 0.9318 | 0.8617
