endpoint,position,parameter_tokens,context
/api/results/YearsBySeries,484837,id;series;year,"wBy = r(this).data(""tab-value""), n.Session = r(this).data(""tab-value""), t.UpdateSession() })), r("".driver-tabs"").on(""click"", "".tab"", (function () { r("".driver-tabs .tab"").removeClass(""active"").attr(""aria-selected"", ""false""), r(this).addClass(""active"").attr(""aria-selected"", ""true""), i(r(this).data(""tab-value"")) })) }, a.prototype.BuildDriversDropDowns = function () { r(""#season-dropdown-driver .custom-select-menu"").empty(), r.ajax({ type: ""GET"", async: !1, dataType: ""json"", url: n.Environment + ""/api/results/YearsBySeries?series="" + r(""#hdnSeries"").val(), success: function (t) { t.forEach((function (t) { var e = t === n.Season ? ' aria-selected=""true""' : """"; r(""#season-dropdown-driver .custom-select-menu"").append('<a href=""#"" role=""option"" '.concat(e, "">"").concat(t, ""</a>"")) })), t.length > 0 && r(""#season-select-button-driver"").text(n.Season) }, error: this.ErrorHandler }), BuildDriverNamesDropDown(), BuildDriverEventsDropDown() }, BuildDriverNamesDropDown = function () { var t = r(""#season-select-button-driver"").text().trim(); r.ajax({ type: ""GET"", dataType: ""json"", url: n.Environment + ""/api/results/DriversByYear?year="" + t + ""&id="" + r(""#hdnSeries"").val(), success: function (t) { r(""#driver-dropdown .custom-select-menu"").empty(), r(""#driver-dropdown .custom-select-menu"").append('<a href=""#"" role=""option"" aria-selected=""true"">All Drivers</a>'), t.forEach((function (t) { r(""#driver-dropdown .custom-select-menu"").append('<a href=""#"" role=""option"" data-driverid=""'.concat(t.DriverOverrideID, '"">').concat(t.LastName, "", "").concat(t.FirstName, ""</a>"")) })), t.length > 0 && r(""#"
/api/results/YearsBySeries,491536,id;series,"n Race Results""), r(""#driver-results .tabs-details-descriptor"").text(e.text())) : console.warn(""No sessions available for this event."") }, error: function (t) { console.error(""Error fetching driver event details:"", t) } }) }, a.prototype.BuildAllTimeDropDowns = function () { var t = r(""#hdnSeries"").val(); ""09341e09-3216-4f89-a45f-db697d72ee13"" === t.toLowerCase() ? (r(""#season-dropdown-season .custom-select-menu"").empty(), r.ajax({ type: ""GET"", async: !1, dataType: ""json"", url: n.Environment + ""/api/results/YearsBySeries?series="" + t, success: function (t) { t.forEach((function (t) { var e = t === n.Season ? ' aria-selected=""true""' : """"; r(""#season-dropdown-season .custom-select-menu"").append('<a href=""#"" role=""option"" '.concat(e, "">"").concat(t, ""</a>"")) })), t.length > 0 && r(""#season-select-button-season"").text(n.Season) }, error: this.ErrorHandler })) : (r(""#season-dropdown-season .custom-select-menu"").empty(), r.ajax({ type: ""GET"", async: !1, dataType: ""json"", url: n.Environment + ""/api/results/AllTimeWinnerYears"", success: function (t) { t.forEach((function (t) { var e = t === n.Season ? ' aria-selected=""true""' : """"; r(""#season-dropdown-season .custom-select-menu"").append('<a href=""#"" role=""option""'.concat(e, "">"").concat(t, ""</a>"")) })), t.length > 0 && r(""#season-select-button-season"").text(n.Season) }, error: this.ErrorHandler })), BuildAllTimeSeriesDropDown() }, a.prototype.PopulateSeasonsDropdown = function () { console.log(n.Series); var t = this; r.ajax({ type: ""GET"", dataType: ""json"", url: n.Environment + ""/api/results/SeasonDropDown?id="" + n.Series, success: fu"
/api/results/YearsBySeries,484838,id;series;year,"By = r(this).data(""tab-value""), n.Session = r(this).data(""tab-value""), t.UpdateSession() })), r("".driver-tabs"").on(""click"", "".tab"", (function () { r("".driver-tabs .tab"").removeClass(""active"").attr(""aria-selected"", ""false""), r(this).addClass(""active"").attr(""aria-selected"", ""true""), i(r(this).data(""tab-value"")) })) }, a.prototype.BuildDriversDropDowns = function () { r(""#season-dropdown-driver .custom-select-menu"").empty(), r.ajax({ type: ""GET"", async: !1, dataType: ""json"", url: n.Environment + ""/api/results/YearsBySeries?series="" + r(""#hdnSeries"").val(), success: function (t) { t.forEach((function (t) { var e = t === n.Season ? ' aria-selected=""true""' : """"; r(""#season-dropdown-driver .custom-select-menu"").append('<a href=""#"" role=""option"" '.concat(e, "">"").concat(t, ""</a>"")) })), t.length > 0 && r(""#season-select-button-driver"").text(n.Season) }, error: this.ErrorHandler }), BuildDriverNamesDropDown(), BuildDriverEventsDropDown() }, BuildDriverNamesDropDown = function () { var t = r(""#season-select-button-driver"").text().trim(); r.ajax({ type: ""GET"", dataType: ""json"", url: n.Environment + ""/api/results/DriversByYear?year="" + t + ""&id="" + r(""#hdnSeries"").val(), success: function (t) { r(""#driver-dropdown .custom-select-menu"").empty(), r(""#driver-dropdown .custom-select-menu"").append('<a href=""#"" role=""option"" aria-selected=""true"">All Drivers</a>'), t.forEach((function (t) { r(""#driver-dropdown .custom-select-menu"").append('<a href=""#"" role=""option"" data-driverid=""'.concat(t.DriverOverrideID, '"">').concat(t.LastName, "", "").concat(t.FirstName, ""</a>"")) })), t.length > 0 && r(""#d"
/api/results/YearsBySeries,491537,id;series," Race Results""), r(""#driver-results .tabs-details-descriptor"").text(e.text())) : console.warn(""No sessions available for this event."") }, error: function (t) { console.error(""Error fetching driver event details:"", t) } }) }, a.prototype.BuildAllTimeDropDowns = function () { var t = r(""#hdnSeries"").val(); ""09341e09-3216-4f89-a45f-db697d72ee13"" === t.toLowerCase() ? (r(""#season-dropdown-season .custom-select-menu"").empty(), r.ajax({ type: ""GET"", async: !1, dataType: ""json"", url: n.Environment + ""/api/results/YearsBySeries?series="" + t, success: function (t) { t.forEach((function (t) { var e = t === n.Season ? ' aria-selected=""true""' : """"; r(""#season-dropdown-season .custom-select-menu"").append('<a href=""#"" role=""option"" '.concat(e, "">"").concat(t, ""</a>"")) })), t.length > 0 && r(""#season-select-button-season"").text(n.Season) }, error: this.ErrorHandler })) : (r(""#season-dropdown-season .custom-select-menu"").empty(), r.ajax({ type: ""GET"", async: !1, dataType: ""json"", url: n.Environment + ""/api/results/AllTimeWinnerYears"", success: function (t) { t.forEach((function (t) { var e = t === n.Season ? ' aria-selected=""true""' : """"; r(""#season-dropdown-season .custom-select-menu"").append('<a href=""#"" role=""option""'.concat(e, "">"").concat(t, ""</a>"")) })), t.length > 0 && r(""#season-select-button-season"").text(n.Season) }, error: this.ErrorHandler })), BuildAllTimeSeriesDropDown() }, a.prototype.PopulateSeasonsDropdown = function () { console.log(n.Series); var t = this; r.ajax({ type: ""GET"", dataType: ""json"", url: n.Environment + ""/api/results/SeasonDropDown?id="" + n.Series, success: fun"
/api/results/DriversByYear,485443,id;year,"t) { var e = t === n.Season ? ' aria-selected=""true""' : """"; r(""#season-dropdown-driver .custom-select-menu"").append('<a href=""#"" role=""option"" '.concat(e, "">"").concat(t, ""</a>"")) })), t.length > 0 && r(""#season-select-button-driver"").text(n.Season) }, error: this.ErrorHandler }), BuildDriverNamesDropDown(), BuildDriverEventsDropDown() }, BuildDriverNamesDropDown = function () { var t = r(""#season-select-button-driver"").text().trim(); r.ajax({ type: ""GET"", dataType: ""json"", url: n.Environment + ""/api/results/DriversByYear?year="" + t + ""&id="" + r(""#hdnSeries"").val(), success: function (t) { r(""#driver-dropdown .custom-select-menu"").empty(), r(""#driver-dropdown .custom-select-menu"").append('<a href=""#"" role=""option"" aria-selected=""true"">All Drivers</a>'), t.forEach((function (t) { r(""#driver-dropdown .custom-select-menu"").append('<a href=""#"" role=""option"" data-driverid=""'.concat(t.DriverOverrideID, '"">').concat(t.LastName, "", "").concat(t.FirstName, ""</a>"")) })), t.length > 0 && r(""#driver-select-button"").text(""All Drivers""), BuildAllDriversDisplay() }, error: this.ErrorHandler }) }, BuildDriverEventsDropDown = function () { var t = r(""#season-select-button-driver"").text().trim(); r(""#driver-dropdown .custom-select-menu a[aria-selected='true']"").data(""driverid""), r.ajax({ type: ""GET"", dataType: ""json"", url: n.Environment + ""/api/results/EventsByYearSeries?year="" + t + ""&id="" + r(""#hdnSeries"").val(), success: function (t) { n.DriverEvents = t, r(""#race-dropdown-driver .custom-select-menu"").empty(), r(""#race-dropdown-driver .custom-select-menu"").append('<a href=""#"" role=""option"" "
/api/results/DriversByYear,485444,id;year,") { var e = t === n.Season ? ' aria-selected=""true""' : """"; r(""#season-dropdown-driver .custom-select-menu"").append('<a href=""#"" role=""option"" '.concat(e, "">"").concat(t, ""</a>"")) })), t.length > 0 && r(""#season-select-button-driver"").text(n.Season) }, error: this.ErrorHandler }), BuildDriverNamesDropDown(), BuildDriverEventsDropDown() }, BuildDriverNamesDropDown = function () { var t = r(""#season-select-button-driver"").text().trim(); r.ajax({ type: ""GET"", dataType: ""json"", url: n.Environment + ""/api/results/DriversByYear?year="" + t + ""&id="" + r(""#hdnSeries"").val(), success: function (t) { r(""#driver-dropdown .custom-select-menu"").empty(), r(""#driver-dropdown .custom-select-menu"").append('<a href=""#"" role=""option"" aria-selected=""true"">All Drivers</a>'), t.forEach((function (t) { r(""#driver-dropdown .custom-select-menu"").append('<a href=""#"" role=""option"" data-driverid=""'.concat(t.DriverOverrideID, '"">').concat(t.LastName, "", "").concat(t.FirstName, ""</a>"")) })), t.length > 0 && r(""#driver-select-button"").text(""All Drivers""), BuildAllDriversDisplay() }, error: this.ErrorHandler }) }, BuildDriverEventsDropDown = function () { var t = r(""#season-select-button-driver"").text().trim(); r(""#driver-dropdown .custom-select-menu a[aria-selected='true']"").data(""driverid""), r.ajax({ type: ""GET"", dataType: ""json"", url: n.Environment + ""/api/results/EventsByYearSeries?year="" + t + ""&id="" + r(""#hdnSeries"").val(), success: function (t) { n.DriverEvents = t, r(""#race-dropdown-driver .custom-select-menu"").empty(), r(""#race-dropdown-driver .custom-select-menu"").append('<a href=""#"" role=""option"" a"
/api/results/EventsByYearSeries,486285,EventID;id;year,"href=""#"" role=""option"" data-driverid=""'.concat(t.DriverOverrideID, '"">').concat(t.LastName, "", "").concat(t.FirstName, ""</a>"")) })), t.length > 0 && r(""#driver-select-button"").text(""All Drivers""), BuildAllDriversDisplay() }, error: this.ErrorHandler }) }, BuildDriverEventsDropDown = function () { var t = r(""#season-select-button-driver"").text().trim(); r(""#driver-dropdown .custom-select-menu a[aria-selected='true']"").data(""driverid""), r.ajax({ type: ""GET"", dataType: ""json"", url: n.Environment + ""/api/results/EventsByYearSeries?year="" + t + ""&id="" + r(""#hdnSeries"").val(), success: function (t) { n.DriverEvents = t, r(""#race-dropdown-driver .custom-select-menu"").empty(), r(""#race-dropdown-driver .custom-select-menu"").append('<a href=""#"" role=""option"" aria-selected=""true"">All Races</a>'), t.forEach((function (t) { r(""#race-dropdown-driver .custom-select-menu"").append('<a href=""#"" role=""option"" data-eventid=""'.concat(t.EventID, '"">').concat(t.EventName, ""</a>"")) })), t.length > 0 && r(""#race-select-button-driver"").text(""All Races"") }, error: this.ErrorHandler }) }, BuildAllDriversDisplay = function () { var t = r(""#season-select-button-driver"").text().trim(); r.ajax({ type: ""GET"", dataType: ""json"", url: n.Environment + ""/api/results/YearPointSummary?year="" + t + ""&id="" + r(""#hdnSeries"").val(), success: function (t) { if (!t || !t.DriverList) return console.error(""Error: No driver data available."", t), void r(""#all-drivers-results-table"").DataTable().clear().draw(); c(), r(""#all-drivers-results-table-container"").show(), r(""#all-drivers-results-table-container"").empty(), r(""#all-d"
/api/results/EventsByYearSeries,486286,EventID;id;year,"ref=""#"" role=""option"" data-driverid=""'.concat(t.DriverOverrideID, '"">').concat(t.LastName, "", "").concat(t.FirstName, ""</a>"")) })), t.length > 0 && r(""#driver-select-button"").text(""All Drivers""), BuildAllDriversDisplay() }, error: this.ErrorHandler }) }, BuildDriverEventsDropDown = function () { var t = r(""#season-select-button-driver"").text().trim(); r(""#driver-dropdown .custom-select-menu a[aria-selected='true']"").data(""driverid""), r.ajax({ type: ""GET"", dataType: ""json"", url: n.Environment + ""/api/results/EventsByYearSeries?year="" + t + ""&id="" + r(""#hdnSeries"").val(), success: function (t) { n.DriverEvents = t, r(""#race-dropdown-driver .custom-select-menu"").empty(), r(""#race-dropdown-driver .custom-select-menu"").append('<a href=""#"" role=""option"" aria-selected=""true"">All Races</a>'), t.forEach((function (t) { r(""#race-dropdown-driver .custom-select-menu"").append('<a href=""#"" role=""option"" data-eventid=""'.concat(t.EventID, '"">').concat(t.EventName, ""</a>"")) })), t.length > 0 && r(""#race-select-button-driver"").text(""All Races"") }, error: this.ErrorHandler }) }, BuildAllDriversDisplay = function () { var t = r(""#season-select-button-driver"").text().trim(); r.ajax({ type: ""GET"", dataType: ""json"", url: n.Environment + ""/api/results/YearPointSummary?year="" + t + ""&id="" + r(""#hdnSeries"").val(), success: function (t) { if (!t || !t.DriverList) return console.error(""Error: No driver data available."", t), void r(""#all-drivers-results-table"").DataTable().clear().draw(); c(), r(""#all-drivers-results-table-container"").show(), r(""#all-drivers-results-table-container"").empty(), r(""#all-dr"
/api/results/YearPointSummary,487020,EventID;id;year,"href=""#"" role=""option"" aria-selected=""true"">All Races</a>'), t.forEach((function (t) { r(""#race-dropdown-driver .custom-select-menu"").append('<a href=""#"" role=""option"" data-eventid=""'.concat(t.EventID, '"">').concat(t.EventName, ""</a>"")) })), t.length > 0 && r(""#race-select-button-driver"").text(""All Races"") }, error: this.ErrorHandler }) }, BuildAllDriversDisplay = function () { var t = r(""#season-select-button-driver"").text().trim(); r.ajax({ type: ""GET"", dataType: ""json"", url: n.Environment + ""/api/results/YearPointSummary?year="" + t + ""&id="" + r(""#hdnSeries"").val(), success: function (t) { if (!t || !t.DriverList) return console.error(""Error: No driver data available."", t), void r(""#all-drivers-results-table"").DataTable().clear().draw(); c(), r(""#all-drivers-results-table-container"").show(), r(""#all-drivers-results-table-container"").empty(), r(""#all-drivers-results-table-container"").append(r(""<table/>"", { id: ""all-drivers-results-table"", class: ""row-border nowrap hover dataTable"" }).append(r(""<thead/>"").append(r(""<tr/>""))).append(r(""<tbody/>""))); var e = r(""#all-drivers-results-table""), n = e.find(""thead tr""), a = e.find(""tbody""); if (s(""#all-drivers-results-table""), n.empty(), a.empty(), n.append('<th class=""data-table-align-center data-table-padding-fit"">Rank</th>'), n.append('<th class=""data-table-align-left data-table-driver-width"">Driver</th>'), t.RaceAbbreviations && 0 !== t.RaceAbbreviations.length) { t.RaceAbbreviations.filter((function (t) { return ""Total"" !== t.Track })).forEach((function (t) { n.append('<th class=""generic-table__header"">'.concat(t.Track, ""</th>"
/api/results/YearPointSummary,487021,EventID;id;year,"ref=""#"" role=""option"" aria-selected=""true"">All Races</a>'), t.forEach((function (t) { r(""#race-dropdown-driver .custom-select-menu"").append('<a href=""#"" role=""option"" data-eventid=""'.concat(t.EventID, '"">').concat(t.EventName, ""</a>"")) })), t.length > 0 && r(""#race-select-button-driver"").text(""All Races"") }, error: this.ErrorHandler }) }, BuildAllDriversDisplay = function () { var t = r(""#season-select-button-driver"").text().trim(); r.ajax({ type: ""GET"", dataType: ""json"", url: n.Environment + ""/api/results/YearPointSummary?year="" + t + ""&id="" + r(""#hdnSeries"").val(), success: function (t) { if (!t || !t.DriverList) return console.error(""Error: No driver data available."", t), void r(""#all-drivers-results-table"").DataTable().clear().draw(); c(), r(""#all-drivers-results-table-container"").show(), r(""#all-drivers-results-table-container"").empty(), r(""#all-drivers-results-table-container"").append(r(""<table/>"", { id: ""all-drivers-results-table"", class: ""row-border nowrap hover dataTable"" }).append(r(""<thead/>"").append(r(""<tr/>""))).append(r(""<tbody/>""))); var e = r(""#all-drivers-results-table""), n = e.find(""thead tr""), a = e.find(""tbody""); if (s(""#all-drivers-results-table""), n.empty(), a.empty(), n.append('<th class=""data-table-align-center data-table-padding-fit"">Rank</th>'), n.append('<th class=""data-table-align-left data-table-driver-width"">Driver</th>'), t.RaceAbbreviations && 0 !== t.RaceAbbreviations.length) { t.RaceAbbreviations.filter((function (t) { return ""Total"" !== t.Track })).forEach((function (t) { n.append('<th class=""generic-table__header"">'.concat(t.Track, ""</th>"""
