year,line_no,extraction_method,mph_values,full_name_match_count,surname_match_count,matched_driver_count,matched_drivers,numeric_tokens_1to2_digits,raw_line
2023,6,PDFTOTEXT,234.753,0,1,1,Takuma Sato,1;11;00;38;2;18,"  1      11   Sato, Takuma                    D/H/F     00:38.3382       234.753 --.----          --.----            2            18"
2023,7,PDFTOTEXT,234.202,1,1,2,"Andretti, Marco;Marco Andretti",2;98;00;38;0;0;31;32,"  2      98   Andretti, Marco                 D/H/F     00:38.4283       234.202 0.0901           0.0901            31            32"
2023,8,PDFTOTEXT,234.171,0,1,1,Rinus VeeKay,3;21;00;38;0;0;3;15,"  3      21   VeeKay, Rinus                   D/C/F     00:38.4334       234.171 0.0952           0.0051             3            15"
2023,9,PDFTOTEXT,234.029,0,1,1,Marcus Ericsson,4;8;00;38;0;0;16;20,"  4       8   Ericsson, Marcus                D/H/F     00:38.4568       234.029 0.1186           0.0234            16            20"
2023,10,PDFTOTEXT,233.796,0,1,1,Pato O'Ward,5;5;00;38;0;0;12;26,"  5       5   O'Ward, Pato                    D/C/F     00:38.4951       233.796 0.1569           0.0383            12            26"
2023,11,PDFTOTEXT,233.767,0,1,1,Josef Newgarden,6;2;00;38;0;0;14;20,"  6       2   Newgarden, Josef                D/C/F     00:38.4999       233.767 0.1617           0.0048            14            20"
2023,12,PDFTOTEXT,233.758,0,1,1,Santino Ferrucci,7;14;00;38;0;0;23;32,"  7      14   Ferrucci, Santino               D/C/F     00:38.5013       233.758 0.1631           0.0014            23            32"
2023,13,PDFTOTEXT,233.608,0,1,1,Kyle Kirkwood,8;27;00;38;0;0;10;33,"  8      27   Kirkwood, Kyle                  D/H/F     00:38.5260       233.608 0.1878           0.0247            10            33"
2023,14,PDFTOTEXT,233.555,0,1,1,Colton Herta,9;26;00;38;0;0;16;27,"  9      26   Herta, Colton                   D/H/F     00:38.5348       233.555 0.1966           0.0088            16            27"
2023,15,PDFTOTEXT,233.506,0,1,1,Scott Dixon,10;9;00;38;0;0;14;17," 10       9   Dixon, Scott                    D/H/F     00:38.5429       233.506 0.2047           0.0081            14            17"
2023,16,PDFTOTEXT,233.458,0,1,1,Felix Rosenqvist,11;6;00;38;0;0;23;26," 11       6   Rosenqvist, Felix               D/C/F     00:38.5509       233.458 0.2127           0.0080            23            26"
2023,17,PDFTOTEXT,233.394,0,1,1,Will Power,12;12;00;38;0;0;18;22," 12      12   Power, Will                     D/C/F     00:38.5614       233.394 0.2232           0.0105            18            22"
