test_year,model,n,mae_mph,rmse_mph,bias_mph,correlation
2020,FAST_FRIDAY_REFERENCE_ONLY,39,1.0107692307692333,1.1790343941395884,0.8820512820512822,0.9458129983678725
2020,CROSS_YEAR_PRIOR_CALIBRATION,39,0.6800059171597709,0.8430572397571324,0.3140666666666793,0.9458129983678724
2020,ONLINE_RUNNING_FIELD_MEAN,39,0.6351164990065825,0.8251859675680472,0.12159754909719257,0.9431795739474302
2020,ONLINE_SHRUNK_FIELD_MEAN,39,0.6379158960915612,0.8138375384061868,0.15764861962749677,0.9448862650913952
2020,ONLINE_EWMA,39,0.6146947038143177,0.8208860689444667,0.06999125907787355,0.942784944992045
2020,ONLINE_KALMAN_LATENT_WINDOW,39,0.6476167321100252,0.8170931667542892,0.20718316073971904,0.9455804204899348
2021,FAST_FRIDAY_REFERENCE_ONLY,48,0.8443125000000009,1.1894285304996945,0.6961041666666681,0.6593252177527879
2021,CROSS_YEAR_PRIOR_CALIBRATION,48,0.6331696428571417,0.9646493107495522,0.019211309523807785,0.6593252177527879
2021,ONLINE_RUNNING_FIELD_MEAN,48,0.6736825839153049,1.0036861477522727,0.013803950327125373,0.6369145658109283
2021,ONLINE_SHRUNK_FIELD_MEAN,48,0.6580342568049152,0.9949705018833759,0.026479163385292992,0.6412286532884834
2021,ONLINE_EWMA,48,0.6900406965644125,1.0150684626004796,0.006335709031298246,0.6334380178256291
2021,ONLINE_KALMAN_LATENT_WINDOW,48,0.6650348284507756,0.9975683867613636,0.02367220783470536,0.6445027228171794
2023,FAST_FRIDAY_REFERENCE_ONLY,17,0.5608235294117625,0.7776781430113883,0.20623529411764707,0.8740749008886584
2023,CROSS_YEAR_PRIOR_CALIBRATION,17,0.6672974983096768,0.94384140482405,-0.5732244759973071,0.8740749008886584
2023,ONLINE_RUNNING_FIELD_MEAN,17,0.5765741508913673,0.8373128009389285,-0.02848640579332716,0.8475436436738092
2023,ONLINE_SHRUNK_FIELD_MEAN,17,0.5787365365593407,0.851034162913729,-0.37914073447731933,0.8716772279632142
2023,ONLINE_EWMA,17,0.6129718824958408,0.8912746805256591,0.021456083181026785,0.8332343235100536
2023,ONLINE_KALMAN_LATENT_WINDOW,17,0.6188751863176395,0.8918684521705457,-0.46700490480946777,0.8728319576140015
ALL_LOYO,CROSS_YEAR_PRIOR_CALIBRATION,104,0.656311837477292,0.9174044441888435,0.032941603511433146,0.8890181172878481
ALL_LOYO,FAST_FRIDAY_REFERENCE_ONLY,104,0.8603942307692318,1.1283224827149367,0.685759615384616,0.8952101582326827
ALL_LOYO,ONLINE_EWMA,104,0.649188162368072,0.9263351811997648,0.03267813991939269,0.8966678428678659
ALL_LOYO,ONLINE_KALMAN_LATENT_WINDOW,104,0.6509577162050777,0.9163428362846902,0.012281979453403343,0.8913703977686984
ALL_LOYO,ONLINE_RUNNING_FIELD_MEAN,104,0.6433468082148519,0.9137277941496397,0.04731370319236506,0.8978985489177347
ALL_LOYO,ONLINE_SHRUNK_FIELD_MEAN,104,0.6375277441895731,0.9075628707247947,0.009364456940884698,0.8943904699181341
