attempt_id,year,driver_key,driver_name,performance_time_utc,actual_speed_mph,reference_speed_mph,reference_residual_mph,session_elapsed_minutes,past_other_count,past_other_mean_residual_mph,past_other_median_residual_mph,past_other_ewma_10m_residual_mph,past_other_ewma_20m_residual_mph,past_other_ewma_30m_residual_mph,past_other_ewma_45m_residual_mph,past_other_recent_10m_count,past_other_recent_20m_count,past_other_recent_30m_count,past_other_recent_45m_count,own_prior_available,own_previous_residual_mph,own_previous_age_minutes,past_state_supported,past_state_n_ge_3,past_state_n_ge_5,ptsc_track_temp_c_past_safe,ptsc_track_temp_slope_c_per_min_past_safe,forecast_temp_c,forecast_relative_humidity_pct,forecast_wind_speed_10m_ms,forecast_pressure_hpa,forecast_gust_ms,forecast_cloud_cover_pct,forecast_shortwave_radiation_wm2,forecast_wind_direction_sin,forecast_wind_direction_cos
16cb7863-a6d0-5895-93e4-a76ac2c6c71f,2020,graham rahal,Graham Rahal,2020-08-15T15:00:45Z,230.822,231.239,-0.4170000000000016,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,False,False,False,38.333333333333336,0.07407407407407428,25.455096817016624,68.61784187502553,0.6490487115754121,988.085,1.887120992038399,0.0,683.1475,-0.6009696950270463,0.7992718096236717
a6295479-1996-5baa-b116-ab56a03c118d,2020,dalton kellett,Dalton Kellett,2020-08-15T15:11:35Z,228.88,229.099,-0.2189999999999941,10.833333333333334,1,-0.4170000000000016,-0.4170000000000016,-0.4170000000000016,-0.4170000000000016,-0.4170000000000016,-0.41700000000000165,0,1,1,1,0.0,0.0,0.0,True,False,False,38.333333333333336,0.07407407407407428,25.72743441263837,67.32986967526107,0.6517341175997935,987.8683333333332,1.8230235740025011,0.0,708.3891666666667,-0.47769973304591723,0.8785231727438152
e132bf44-6808-5d6b-819c-a993af279439,2020,rinus veekay,Rinus VeeKay,2020-08-15T15:16:35Z,231.114,230.331,0.7830000000000155,15.833333333333334,2,-0.31799999999999784,-0.31799999999999784,-0.2824833875569647,-0.2996302784869754,-0.3056742792962125,-0.3097591096560699,1,2,2,2,0.0,0.0,0.0,True,False,False,39.44444444444444,0.0740740740740738,25.85312868754071,66.73542096767746,0.6529735357648926,987.7683333333332,1.793440150293625,0.0,720.0391666666667,-0.4171765405890188,0.9088254694836511
954d29f8-6770-5c41-9322-b23c885935ef,2020,jack harvey,Jack Harvey,2020-08-15T15:20:45Z,229.861,231.6,-1.7390000000000043,20.0,3,0.049000000000006594,-0.2189999999999941,0.23960336536138044,0.1480016037290866,0.11555436018972247,0.09355453630127687,2,3,3,3,0.0,0.0,0.0,True,True,False,39.44444444444444,0.0740740740740738,25.957873916626,66.24004704469112,0.6540063842358085,987.685,1.768787297202895,0.0,729.7475000000001,-0.36526855924062773,0.930902185855354
25f997a4-1a33-565b-b2b0-1c30d3a0f19c,2020,scott dixon,Scott Dixon,2020-08-15T15:25:45Z,231.094,232.29,-1.195999999999998,25.0,4,-0.39799999999999613,-0.31799999999999784,-0.5427980876005953,-0.4620145860119845,-0.43848893363282887,-0.4239668738942324,2,3,4,4,0.0,0.0,0.0,True,True,False,39.44444444444444,0.0740740740740738,26.083568191528343,65.64559833710751,0.6552458024009076,987.585,1.7392038734940192,0.0,741.3975,-0.3014596534247562,0.9534789338821419
e2df4919-a45f-5b41-916e-55908e4f1abb,2020,spencer pigot,Spencer Pigot,2020-08-15T15:29:55Z,230.539,232.116,-1.5770000000000266,29.166666666666668,5,-0.5575999999999965,-0.4170000000000016,-0.7770724707570795,-0.6658315982536966,-0.6287173202665122,-0.6044098957734284,2,4,5,5,0.0,0.0,0.0,True,True,True,39.44444444444444,0.0740740740740738,26.188313420613632,65.15022441412118,0.6562786508718235,987.5016666666668,1.7145510204032892,0.0,751.1058333333334,-0.24721797343330743,0.968959892674371
194c9baa-3297-571e-82bf-ac3ba81e07fc,2020,pato o ward,Pato O'Ward,2020-08-15T15:34:55Z,229.902,230.581,-0.679000000000002,34.166666666666664,6,-0.7275000000000015,-0.8064999999999998,-1.0360506300066474,-0.8871518238666213,-0.8341231958898503,-0.7984400981248623,2,4,5,6,0.0,0.0,0.0,True,True,True,40.55555555555556,0.07407407407407428,26.46430146959095,67.62613474733031,0.9136247043160302,987.0090277777778,2.3131063434554058,0.0,762.0102777777778,0.14880784933470595,0.9888661304627535
00d1c34a-f916-5fa9-803b-2cc6962f2595,2020,josef newgarden,Josef Newgarden,2020-08-15T15:39:55Z,230.296,230.583,-0.28700000000000614,39.166666666666664,7,-0.7205714285714302,-0.679000000000002,-0.9239151325449642,-0.8405013458278382,-0.8037839130658557,-0.7772665766361175,2,4,6,7,0.0,0.0,0.0,True,True,True,40.55555555555556,0.07407407407407428,26.595654212103973,66.90970743549279,0.9240947719811894,986.967361111111,2.232794188578717,0.0,772.3936111111111,0.20298299627357266,0.9791822625149021
3e1d9fad-3db2-5b32-b9c1-8802e1467bbe,2020,sage karam,Sage Karam,2020-08-15T15:49:55Z,227.099,228.187,-1.0880000000000223,49.166666666666664,8,-0.6663750000000022,-0.5480000000000018,-0.728031572335058,-0.7240245932111466,-0.7107555055700796,-0.6984819457580992,1,3,5,7,0.0,0.0,0.0,True,True,True,41.666666666666664,0.0740740740740738,26.858359697130012,65.47685281181774,0.945034907311508,986.8840277777778,2.0721698788253384,0.0,793.1602777777778,0.30932673226676616,0.9509558205853542
81f0c457-15fb-5f7f-9649-8663a142764d,2020,alexander rossi,Alexander Rossi,2020-08-15T15:54:05Z,231.268,231.859,-0.5910000000000082,53.333333333333336,9,-0.7132222222222266,-0.679000000000002,-0.8651232679892847,-0.8075014652955599,-0.7804980524570779,-0.7599732892238958,1,3,5,8,0.0,0.0,0.0,True,True,True,41.666666666666664,0.0740740740740738,26.967820315890865,64.87983005195314,0.9537599636991404,986.8493055555556,2.005243083094764,0.0,801.8130555555556,0.35260391423492077,0.9357726645217911
c9ee13fe-3b9e-555c-9a7d-a078015b8b91,2020,fernando alonso,Fernando Alonso,2020-08-15T15:59:05Z,228.768,229.788,-1.0200000000000102,58.333333333333336,10,-0.7010000000000047,-0.6350000000000051,-0.7727353311731597,-0.7621504713876011,-0.7484484281073196,-0.7356281449261736,2,3,5,8,0.0,0.0,0.0,True,True,True,41.666666666666664,0.0740740740740738,27.099173058403885,64.1634027401156,0.9642300313642996,986.8076388888888,1.924930928218075,0.0,812.1963888888889,0.40354960914647364,0.9149577656688468
d155ad85-3d5c-5b55-95d6-40ba696a0bde,2020,ryan hunter reay,Ryan Hunter-Reay,2020-08-15T16:04:05Z,231.33,232.124,-0.7939999999999827,63.333333333333336,11,-0.7300000000000053,-0.679000000000002,-0.8525483573838459,-0.8135726721036883,-0.7917748948926113,-0.7739209143462522,2,3,5,8,0.0,0.0,0.0,True,True,True,43.333333333333336,0.11111111111111142,27.22733569675024,63.46321268362337,0.9569228744814556,986.8136111111112,1.8753133288481172,0.0,819.5376388888889,0.45870911922227975,0.8885864864729377
