year,n,zero_mae,pooled_mae,pooled_corr,actual_improve_rate,pooled_direction_accuracy
2020,11,0.455455,0.555288,0.193798,0.818182,0.909091
2021,16,0.683563,0.748116,-0.069717,0.562500,0.500000
2023,11,0.592273,0.528028,-0.301183,0.909091,0.909091
2024,0,,,,,
