year,car_number,driver_name,official_record_count,repeat_candidate,speeds_mph,events_sessions_details_ids,position_finish_values,chronology_status,interpretation
2021,11,Charlie Kimball,2,True,227.811;227.584,101341;101342,72;73,UNRESOLVED,OFFICIAL_REPEAT_RECORD_EVIDENCE
2021,12,Will Power,1,False,228.876,101339,32,UNRESOLVED,SINGLE_RESULT_ONLY
2021,16,Simona De Silvestro,1,False,228.353,101340,33,UNRESOLVED,SINGLE_RESULT_ONLY
2021,24,Sage Karam,1,False,229.156,101338,31,UNRESOLVED,SINGLE_RESULT_ONLY
2021,75,RC Enerson,2,True,227.298;226.813,101343;101344,74;75,UNRESOLVED,OFFICIAL_REPEAT_RECORD_EVIDENCE
2023,15,Graham Rahal,1,False,229.159,108670,4,UNRESOLVED,SINGLE_RESULT_ONLY
2023,30,Jack Harvey,1,False,229.166,108669,3,UNRESOLVED,SINGLE_RESULT_ONLY
2023,45,Christian Lundgaard,1,False,229.649,108667,1,UNRESOLVED,SINGLE_RESULT_ONLY
2023,51,Sting Ray Robb,1,False,229.549,108668,2,UNRESOLVED,SINGLE_RESULT_ONLY
2024,15,Graham Rahal,1,False,229.974,113316,3,UNRESOLVED,SINGLE_RESULT_ONLY
2024,18,Nolan Siegel,1,False,229.566,113317,4,UNRESOLVED,SINGLE_RESULT_ONLY
2024,28,Marcus Ericsson,1,False,230.027,113315,2,UNRESOLVED,SINGLE_RESULT_ONLY
2024,51,Katherine Legge,1,False,230.092,113314,1,UNRESOLVED,SINGLE_RESULT_ONLY
