file,group,field
weather/output/unified_attempt_action_lane_ledger_v4.csv,lane,lane
weather/output/unified_attempt_action_lane_ledger_v4.csv,action,action
weather/output/unified_attempt_action_lane_ledger_v5.csv,year,year
weather/output/unified_attempt_action_lane_ledger_v5.csv,car,car_number
weather/output/unified_attempt_action_lane_ledger_v5.csv,driver,driver_name
weather/output/unified_attempt_action_lane_ledger_v5.csv,lane,lane
weather/output/unified_attempt_action_lane_ledger_v5.csv,action,action
weather/output/queue_requeue_evidence_ledger_v1.csv,year,year
weather/output/queue_requeue_evidence_ledger_v1.csv,driver,driver_name
weather/output/queue_requeue_evidence_ledger_v1.csv,lane,queue_lane
weather/output/queue_requeue_evidence_ledger_v1.csv,time_quality,time_quality
weather/output/final_realized_environment_2024_overlap_audit.csv,attempt_id,attempt_id
weather/output/final_realized_environment_2024_overlap_audit.csv,time,performance_time_utc
weather/output/chronology_rescue_2022_sato_required_reattempt_adjudication_v1.csv,year,year
weather/output/chronology_rescue_2022_sato_required_reattempt_adjudication_v1.csv,driver,driver_name
weather/output/chronology_rescue_2022_sato_required_reattempt_adjudication_v1.csv,lane,lane
weather/output/chronology_rescue_2022_sato_required_reattempt_adjudication_v1.csv,time_quality,time_quality
weather/output/official_indy500_day1_session_candidates_v1.csv,year,year
weather/output/official_indy500_day1_session_candidates_v1.csv,session,session_name
weather/output/official_dynamic_script_inventory_v1.csv,year,year
weather/output/chronology_rescue_2022_high_priority_editorial_candidates_v1.csv,driver,driver_name
weather/output/lane_rescue_2022_rossi_lane1_evidence_v2.csv,year,year
weather/output/lane_rescue_2022_rossi_lane1_evidence_v2.csv,driver,driver_name
weather/output/lane_rescue_2022_rossi_lane1_evidence_v2.csv,lane,lane
weather/output/lane_rescue_2022_rossi_lane1_evidence_v2.csv,action,action
weather/output/official_report_endpoint_fetch_audit_v1.csv,year,year
weather/output/official_day1_session_field_inventory_v1.csv,year,year
weather/output/pit_service_rescue_2022_candidate_adjudication_v1.csv,driver,driver_name
weather/output/unified_attempt_chronology_constraint_summary_v4.csv,year,year
weather/output/unified_attempt_action_lane_ledger_v8.csv,year,year
weather/output/unified_attempt_action_lane_ledger_v8.csv,car,car_number
weather/output/unified_attempt_action_lane_ledger_v8.csv,driver,driver_name
weather/output/unified_attempt_action_lane_ledger_v8.csv,lane,lane
weather/output/unified_attempt_action_lane_ledger_v8.csv,action,action
weather/output/chronology_rescue_2022_result_to_canonical_attempt_matches_v1.csv,year,year
weather/output/chronology_rescue_2022_result_to_canonical_attempt_matches_v1.csv,attempt_id,attempt_id
weather/output/chronology_rescue_2022_result_to_canonical_attempt_matches_v1.csv,car,car_number
weather/output/chronology_rescue_2022_result_to_canonical_attempt_matches_v1.csv,driver,driver_name
weather/output/global_car_number_script_risk_audit_v1.csv,action,action
weather/output/official_dynamic_page_audit_v1.csv,year,year
weather/output/chronology_rescue_2022_ilott_autosport_retake_adjudication_v2.csv,time_quality,time_quality
weather/output/global_car_number_canonical_collision_audit_v1.csv,year,year
weather/output/official_day1_api_record_field_inventory_v1.csv,year,year
weather/output/chronology_rescue_2022_car06_car6_official_raw_schema_audit_v1.csv,attempt_id,attempt_id
weather/output/r3c_action_historical_applicability_v1.csv,driver,driver_name
weather/output/chronology_rescue_2022_secondary_editorial_candidates_v1.csv,driver,driver_name
