year,session,source_type,reference_role,local_file,extraction_method,text_length,four_lap_hits,qualifying_sim_hits,no_tow_hits,mph_numeric_hits,driver_context_score,semantic_grade,sample_mph_values,four_lap_context_1,four_lap_context_2,no_tow_context_1
2020,Practice 3 (Fast Friday),OFFICIAL_RESULTS_HTML,GENERAL_FAST_FRIDAY_NUMERIC_REFERENCE,r4/evidence/fast_friday/2020_fast_friday_practice3_results.html,HTML_VISIBLE_TEXT,3360,0,0,0,0,4,NO_NUMERIC_REFERENCE_CONTENT,,,,
2021,Fast Friday Editorial,OFFICIAL_EDITORIAL_HTML,NO_TOW_REFERENCE_EVIDENCE,r4/evidence/fast_friday/2021_fast_friday_official_editorial.html,HTML_VISIBLE_TEXT,7140,1,4,4,10,2,HIGH_FOUR_LAP_OR_QUAL_SIM_NUMERIC,233.302 mph;231.598 mph;232.784 ;232.690 ;232.531 ;232.155 ;231.518 ;231.510 ;232.034;231.863,"Rossi was the fastest driver running alone on the 2.5-mile oval, marking him as a favorite to win the NTT P1 Award for pole Sunday. Rossi’s best no-tow lap today was 231.598 mph in the No. 27 NAPA AUTO PARTS/AutoNation Honda. “I only I think (I got) just one four-lap (qualifying simulation) run because people kept jumping out or whatever,” Rossi said. “It's always interesting on days like this when you have an unfriendly wind in Turn 2. For whatever reason, Turn 2 is hard. I don’t know if the air is different over there.”","in the qualifying order. “I think any time one of the Ganassi cars went out, they improved and improved in a big way. “It was really tough out there today. Just really tough to get a clear track. I know it's difficult. I know everybody wants to try to get a (qualifying simulation) run.” Qualifying takes place from noon-5:50 p.m. (ET) Saturday, with positions 1-30 secured (noon-6 p.m., Peacock; 2-3 p.m., NBC; 3-6 p.m., NBCSN). On Sunday, the Fast Nine Shootout will determine the NTT P1 Award for pole and the order of the first three ro","an aerodynamic tow, which drivers won’t get in single-car qualifying this weekend. 2016 Indy 500 winner Alexander Rossi was the fastest driver running alone on the 2.5-mile oval, marking him as a favorite to win the NTT P1 Award for pole Sunday. Rossi’s best no-tow lap today was 231.598 mph in the No. 27 NAPA AUTO PARTS/AutoNation Honda. “I only I think (I got) just one four-lap (qualifying simulation) run because people kept jumping out or whatever,” Rossi said. “It's always interesting on days like this when you have"
2021,Practice 5 (Fast Friday),OFFICIAL_RESULTS_HTML,FAST_FRIDAY_SESSION_REFERENCE,r4/evidence/fast_friday/2021_fast_friday_practice5_results.html,HTML_VISIBLE_TEXT,3373,0,0,0,0,4,NO_NUMERIC_REFERENCE_CONTENT,,,,
2022,Practice 5 (Fast Friday),OFFICIAL_RESULTS_HTML,GENERAL_FAST_FRIDAY_NUMERIC_REFERENCE,r4/evidence/fast_friday/2022_fast_friday_practice5_results.html,HTML_VISIBLE_TEXT,3360,0,0,0,0,4,NO_NUMERIC_REFERENCE_CONTENT,,,,
2023,Fast Friday Editorial,OFFICIAL_EDITORIAL_HTML,FOUR_LAP_SIM_CONTEXT_EVIDENCE,r4/evidence/fast_friday/2023_fast_friday_official_editorial.html,HTML_VISIBLE_TEXT,6824,5,5,0,11,2,HIGH_FOUR_LAP_OR_QUAL_SIM_NUMERIC,234.753 mph;239.260;229.439;234.202 ;234.171 ;234.029 ;233.796 ;233.412 ;233.112;233.085 ;233.070 ,"cing, the ninth-fastest practice lap in Indy 500 history. The eight fastest practice laps at Indy were turned in 1996, led by Arie Luyendyk’s speed of 239.260. SEE: Practice Results | Saturday Qualifying Order | Qualifying Format Sato’s best lap came during a four-lap qualifying simulation early in the six-hour session that he had to abandon after coming within a hair’s width of touching the SAFER Barrier in Turn 4. “The beginning of the run, first time today, was really too light,” Sato said. “The middle run, we had more","Ericsson took the fourth spot at 234.029 in the No. 8 Huski Ice Spritz Honda fielded by Chip Ganassi Racing. Pato O’Ward rounded out the top five at 233.796 in the No. 5 Arrow McLaren Chevrolet. All 34 drivers spent the entire session on the 2.5-mile oval in four-lap qualifying simulations to prepare for two days of pressure-packed qualifying. Sato also drove to the fastest four-lap average speed of 233.412 during the sims. Three other drivers produced four-lap qualifying sim average speeds of 233 mph, with Ericsson at 23",
2023,Practice 5 (Fast Friday),OFFICIAL_RESULTS_HTML,FAST_FRIDAY_SESSION_REFERENCE,r4/evidence/fast_friday/2023_fast_friday_practice5_results.html,HTML_VISIBLE_TEXT,3373,0,0,0,0,4,NO_NUMERIC_REFERENCE_CONTENT,,,,
2023,Practice 5 (Fast Friday),OFFICIAL_RESULTS_PDF,FOUR_LAP_QUALIFYING_SIM_HIGH_PRIORITY,r4/evidence/fast_friday/2023_fast_friday_practice5_results.pdf,PDFTOTEXT,5467,0,0,0,34,2,MEDIUM_SESSION_NUMERIC,234.753;234.202 ;234.171 ;234.029 ;233.796 ;233.767 ;233.758 ;233.608 ;233.555 ;233.506 ;233.458 ;233.394 ;233.347 ;233.268 ;233.197 ;233.134 ;233.097 ;232.987 ;232.942 ;232.920 ,,,
2024,Fast Friday Editorial,OFFICIAL_EDITORIAL_HTML,VALIDATION_FOUR_LAP_SIM_CONTEXT,r4/evidence/fast_friday/2024_fast_friday_official_editorial.html,HTML_VISIBLE_TEXT,7355,2,9,0,10,2,HIGH_FOUR_LAP_OR_QUAL_SIM_NUMERIC,234.063 mph;234.217 ;233.623 ;233.451 ;233.355 ;233.043 ;234.974 ;234.271 ;232.549;234.260,reatest Spectacle in Racing” as the focus shifted toward PPG Presents Armed Forces Qualifying on Saturday and Sunday on the 2.5-mile oval. SEE: Practice Results | Qualifying Procedure Reigning Indianapolis 500 winner Newgarden averaged 234.063 mph in his best four-lap qualifying sim in the No. 2 Shell Powering Progress Team Penske Chevrolet. Reigning NTT INDYCAR SERIES champion Alex Palou set the event record last year with an average speed of 234.217 en route to his first career “500” pole. Speeds soared Friday because th,"e qualifying sim speed chart at 232.549. 2021 NASCAR Cup Series champion Larson is attempting the “double” of racing in the “500” and the NASCAR Coca-Cola 600 at Charlotte Motor Speedway on Sunday, May 26. Newgarden’s lap of 234.260 – the first on his fastest four-lap qualifying sim – ended up as the third-fastest single lap overall. All 34 drivers attempting to earn one of the 33 starting spots combined to turn 990 laps today, a significant reduction from Wednesday and Thursday as teams focused mainly on solo runs in qual",
2024,Practice 5 (Fast Friday),OFFICIAL_RESULTS_HTML,VALIDATION_FAST_FRIDAY_SESSION_REFERENCE,r4/evidence/fast_friday/2024_fast_friday_practice5_results.html,HTML_VISIBLE_TEXT,3373,0,0,0,0,4,NO_NUMERIC_REFERENCE_CONTENT,,,,
2024,Practice 5 (Fast Friday),OFFICIAL_RESULTS_PDF,VALIDATION_FOUR_LAP_QUALIFYING_SIM,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,5510,0,0,0,34,2,MEDIUM_SESSION_NUMERIC,234.974;234.271       ;234.260       ;234.102       ;234.006       ;233.864       ;233.748       ;233.705       ;233.679       ;233.412       ;233.341       ;233.252       ;233.193       ;233.136       ;233.080       ;233.042       ;232.901       ;232.570       ;232.547       ;232.495       ,,,
