year,driver_name,car_number,first_attempt_id,repeat_attempt_id,first_status,repeat_status,first_speed_mph,repeat_speed_mph,repeat_delta_mph,reference_available,reference_type,both_primary_status,both_point_time,both_interval_time,both_any_temporal,first_point_utc,repeat_point_utc,first_lower_utc,first_upper_utc,repeat_lower_utc,repeat_upper_utc,first_interval_width_min,repeat_interval_width_min,first_time_quality,repeat_time_quality,first_time_evidence_class,repeat_time_evidence_class,first_chronology_usable,repeat_chronology_usable,loss_reasons
2020,Ed Carpenter,20,9a2e168d-3dda-5e76-8daf-588c20d91341,893c5471-df02-55c0-946f-0af9d0a835d9,VALID_RETAINED,VALID_RETAINED,229.811,230.211,0.4000000000000057,False,,True,True,False,True,2020-08-15T16:27:25+00:00,2020-08-15T18:47:30+00:00,,,,,,,UNKNOWN,UNKNOWN,APPROXIMATE_POINT,APPROXIMATE_POINT,False,False,NO_FAST_FRIDAY_REFERENCE;NO_INTERVAL_TIME_BOTH_SIDES
2020,Helio Castroneves,3,f2f5d37e-6270-5e2d-8ae0-2e63cea098b3,7799cc62-18bb-568d-9de2-16cb3622a0de,VALID_RETAINED,VALID_RETAINED,228.115,228.373,0.25799999999998136,False,,True,True,False,True,2020-08-15T17:34:05+00:00,2020-08-15T19:39:10+00:00,,,,,,,UNKNOWN,UNKNOWN,APPROXIMATE_POINT,APPROXIMATE_POINT,False,False,NO_FAST_FRIDAY_REFERENCE;NO_INTERVAL_TIME_BOTH_SIDES
2020,Takuma Sato,30,d5a2b4ee-b067-59ca-8f42-44e0bc51b5c8,64cc9d51-f91b-503f-8164-1a91d9713df9,VALID_RETAINED,VALID_RETAINED,230.792,229.852,-0.9399999999999977,False,,True,False,False,False,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False,False,NO_FAST_FRIDAY_REFERENCE;NO_POINT_TIME_BOTH_SIDES;NO_INTERVAL_TIME_BOTH_SIDES
2020,Takuma Sato,30,d5a2b4ee-b067-59ca-8f42-44e0bc51b5c8,ec187739-e976-517d-8f35-e70210af7a42,VALID_RETAINED,VALID_RETAINED,230.792,230.307,-0.48500000000001364,False,,True,False,False,False,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False,False,NO_FAST_FRIDAY_REFERENCE;NO_POINT_TIME_BOTH_SIDES;NO_INTERVAL_TIME_BOTH_SIDES
2020,Conor Daly,47,a7f0ef57-a971-5870-9606-1fe1cd378e2a,df3c02a3-9655-512c-a2e6-4ffe9eadc505,VALID_RETAINED,VALID_RETAINED,229.884,229.955,0.07100000000002638,False,,True,True,False,True,2020-08-15T16:58:15+00:00,2020-08-15T19:00:50+00:00,,,,,,,UNKNOWN,UNKNOWN,APPROXIMATE_POINT,APPROXIMATE_POINT,False,False,NO_FAST_FRIDAY_REFERENCE;NO_INTERVAL_TIME_BOTH_SIDES
2020,Pato O'Ward,5,194c9baa-3297-571e-82bf-ac3ba81e07fc,757828a3-822d-5bd8-b9f0-681a6918b48b,VALID_RETAINED,VALID_RETAINED,229.902,230.213,0.31100000000000705,False,,True,True,False,True,2020-08-15T15:34:55+00:00,2020-08-15T20:22:30+00:00,,,,,,,UNKNOWN,UNKNOWN,APPROXIMATE_POINT,APPROXIMATE_POINT,False,False,NO_FAST_FRIDAY_REFERENCE;NO_INTERVAL_TIME_BOTH_SIDES
2020,Max Chilton,59,75519828-93ba-5485-a4bf-a06b93f7cec3,fb65c8cf-d1c6-583e-9563-6c22e29bb081,VALID_RETAINED,VALID_RETAINED,225.819,227.303,1.4840000000000089,False,,True,True,False,True,2020-08-15T17:29:05+00:00,2020-08-15T20:10:00+00:00,,,,,,,UNKNOWN,UNKNOWN,APPROXIMATE_POINT,APPROXIMATE_POINT,False,False,NO_FAST_FRIDAY_REFERENCE;NO_INTERVAL_TIME_BOTH_SIDES
2020,Jack Harvey,60,954d29f8-6770-5c41-9322-b23c885935ef,e7089fb7-0048-5bb8-8589-cc5bbc59a6cd,VALID_RETAINED,VALID_RETAINED,229.861,229.757,-0.103999999999985,False,,True,True,False,True,2020-08-15T15:20:45+00:00,2020-08-15T17:55:45+00:00,,,,,,,UNKNOWN,UNKNOWN,APPROXIMATE_POINT,APPROXIMATE_POINT,False,False,NO_FAST_FRIDAY_REFERENCE;NO_INTERVAL_TIME_BOTH_SIDES
2020,Marcus Ericsson,8,518373d9-25de-58cf-8315-f6c215b6f672,25ddda12-052a-5d71-ac52-6e96cf8edab9,VALID_RETAINED,VALID_RETAINED,230.472,230.566,0.09399999999999409,False,,True,True,False,True,2020-08-15T16:13:15+00:00,2020-08-15T18:16:35+00:00,,,,,,,UNKNOWN,UNKNOWN,APPROXIMATE_POINT,APPROXIMATE_POINT,False,False,NO_FAST_FRIDAY_REFERENCE;NO_INTERVAL_TIME_BOTH_SIDES
2020,Ben Hanley,81,a3016f3b-449e-576c-bf0f-284c71eddb34,b58b5c13-1a21-50cf-ab5b-8962cc4486f0,VALID_RETAINED,VALID_RETAINED,220.946,222.917,1.9710000000000036,False,,True,True,False,True,2020-08-15T16:36:35+00:00,2020-08-15T19:30:50+00:00,,,,,,,UNKNOWN,UNKNOWN,APPROXIMATE_POINT,APPROXIMATE_POINT,False,False,NO_FAST_FRIDAY_REFERENCE;NO_INTERVAL_TIME_BOTH_SIDES
