fused_decision_id,regime,protected_result_exists,feasible_action,current_result_retained_before_attempt,requires_new_attempt,priority_lane_semantics,year,car_number,driver_name,source_decision_id,source_attempt_id,decision_time_utc,decision_time_quality,session_remaining_seconds,protected_result_speed_before_action_mph,current_best_speed_mph,current_rank,benchmark_type,benchmark_rank,benchmark_speed_mph,margin_to_benchmark_mph,qualification_state,decision_state_leaderboard_context,numeric_state_join_status,numeric_state_unresolved_fields,numeric_state_source_interface,leakage_safe
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,DAY1,True,RETAIN_AND_REATTEMPT,True,True,DAY1_LANE2_RETAIN,2020,22,Simon Pagenaud,DAY1_2020_22_POST_FIRST_ATTEMPT,2fb75f25-92ad-5b41-90a1-3a1457ae8012,2020-08-15T17:09:06+00:00,APPROXIMATE_POINT,,228.836000,228.836000,18,FAST_NINE_ADVANCEMENT,9,230.472000,-1.636000,CURRENTLY_OUTSIDE_ADVANCEMENT,DAY1|CURRENT_RANK=18|CURRENT_BEST_MPH=228.836|BENCHMARK=FAST_NINE_ADVANCEMENT|BENCHMARK_RANK=9|BENCHMARK_MPH=230.472|QUALIFICATION_STATE=CURRENTLY_OUTSIDE_ADVANCEMENT,COMPLETE_EXCEPT_EXPLICIT_UNRESOLVED_FIELDS,session_remaining_seconds,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,True
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,DAY1,True,WITHDRAW_AND_PRIORITY_REATTEMPT,False,True,DAY1_LANE1_WITHDRAW_PRIORITY,2020,22,Simon Pagenaud,DAY1_2020_22_POST_FIRST_ATTEMPT,2fb75f25-92ad-5b41-90a1-3a1457ae8012,2020-08-15T17:09:06+00:00,APPROXIMATE_POINT,,228.836000,228.836000,18,FAST_NINE_ADVANCEMENT,9,230.472000,-1.636000,CURRENTLY_OUTSIDE_ADVANCEMENT,DAY1|CURRENT_RANK=18|CURRENT_BEST_MPH=228.836|BENCHMARK=FAST_NINE_ADVANCEMENT|BENCHMARK_RANK=9|BENCHMARK_MPH=230.472|QUALIFICATION_STATE=CURRENTLY_OUTSIDE_ADVANCEMENT,COMPLETE_EXCEPT_EXPLICIT_UNRESOLVED_FIELDS,session_remaining_seconds,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,True
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,DAY1,True,STOP,True,False,NONE,2020,24,Sage Karam,DAY1_2020_24_POST_FIRST_ATTEMPT,3e1d9fad-3db2-5b32-b9c1-8802e1467bbe,2020-08-15T15:49:55+00:00,APPROXIMATE_POINT,,227.099000,227.099000,9,FAST_NINE_ADVANCEMENT,9,227.099000,0.000000,CURRENTLY_INSIDE_ADVANCEMENT,DAY1|CURRENT_RANK=9|CURRENT_BEST_MPH=227.099|BENCHMARK=FAST_NINE_ADVANCEMENT|BENCHMARK_RANK=9|BENCHMARK_MPH=227.099|QUALIFICATION_STATE=CURRENTLY_INSIDE_ADVANCEMENT,COMPLETE_EXCEPT_EXPLICIT_UNRESOLVED_FIELDS,session_remaining_seconds,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,True
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,DAY1,True,RETAIN_AND_REATTEMPT,True,True,DAY1_LANE2_RETAIN,2020,24,Sage Karam,DAY1_2020_24_POST_FIRST_ATTEMPT,3e1d9fad-3db2-5b32-b9c1-8802e1467bbe,2020-08-15T15:49:55+00:00,APPROXIMATE_POINT,,227.099000,227.099000,9,FAST_NINE_ADVANCEMENT,9,227.099000,0.000000,CURRENTLY_INSIDE_ADVANCEMENT,DAY1|CURRENT_RANK=9|CURRENT_BEST_MPH=227.099|BENCHMARK=FAST_NINE_ADVANCEMENT|BENCHMARK_RANK=9|BENCHMARK_MPH=227.099|QUALIFICATION_STATE=CURRENTLY_INSIDE_ADVANCEMENT,COMPLETE_EXCEPT_EXPLICIT_UNRESOLVED_FIELDS,session_remaining_seconds,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,True
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,DAY1,True,WITHDRAW_AND_PRIORITY_REATTEMPT,False,True,DAY1_LANE1_WITHDRAW_PRIORITY,2020,24,Sage Karam,DAY1_2020_24_POST_FIRST_ATTEMPT,3e1d9fad-3db2-5b32-b9c1-8802e1467bbe,2020-08-15T15:49:55+00:00,APPROXIMATE_POINT,,227.099000,227.099000,9,FAST_NINE_ADVANCEMENT,9,227.099000,0.000000,CURRENTLY_INSIDE_ADVANCEMENT,DAY1|CURRENT_RANK=9|CURRENT_BEST_MPH=227.099|BENCHMARK=FAST_NINE_ADVANCEMENT|BENCHMARK_RANK=9|BENCHMARK_MPH=227.099|QUALIFICATION_STATE=CURRENTLY_INSIDE_ADVANCEMENT,COMPLETE_EXCEPT_EXPLICIT_UNRESOLVED_FIELDS,session_remaining_seconds,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,True
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,DAY1,True,STOP,True,False,NONE,2020,27,Alexander Rossi,DAY1_2020_27_POST_FIRST_ATTEMPT,81f0c457-15fb-5f7f-9649-8663a142764d,2020-08-15T15:54:05+00:00,APPROXIMATE_POINT,,231.268000,231.268000,1,FAST_NINE_ADVANCEMENT,9,228.880000,2.388000,CURRENTLY_INSIDE_ADVANCEMENT,DAY1|CURRENT_RANK=1|CURRENT_BEST_MPH=231.268|BENCHMARK=FAST_NINE_ADVANCEMENT|BENCHMARK_RANK=9|BENCHMARK_MPH=228.880|QUALIFICATION_STATE=CURRENTLY_INSIDE_ADVANCEMENT,COMPLETE_EXCEPT_EXPLICIT_UNRESOLVED_FIELDS,session_remaining_seconds,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,True
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,DAY1,True,RETAIN_AND_REATTEMPT,True,True,DAY1_LANE2_RETAIN,2020,27,Alexander Rossi,DAY1_2020_27_POST_FIRST_ATTEMPT,81f0c457-15fb-5f7f-9649-8663a142764d,2020-08-15T15:54:05+00:00,APPROXIMATE_POINT,,231.268000,231.268000,1,FAST_NINE_ADVANCEMENT,9,228.880000,2.388000,CURRENTLY_INSIDE_ADVANCEMENT,DAY1|CURRENT_RANK=1|CURRENT_BEST_MPH=231.268|BENCHMARK=FAST_NINE_ADVANCEMENT|BENCHMARK_RANK=9|BENCHMARK_MPH=228.880|QUALIFICATION_STATE=CURRENTLY_INSIDE_ADVANCEMENT,COMPLETE_EXCEPT_EXPLICIT_UNRESOLVED_FIELDS,session_remaining_seconds,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,True
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,DAY1,True,WITHDRAW_AND_PRIORITY_REATTEMPT,False,True,DAY1_LANE1_WITHDRAW_PRIORITY,2020,27,Alexander Rossi,DAY1_2020_27_POST_FIRST_ATTEMPT,81f0c457-15fb-5f7f-9649-8663a142764d,2020-08-15T15:54:05+00:00,APPROXIMATE_POINT,,231.268000,231.268000,1,FAST_NINE_ADVANCEMENT,9,228.880000,2.388000,CURRENTLY_INSIDE_ADVANCEMENT,DAY1|CURRENT_RANK=1|CURRENT_BEST_MPH=231.268|BENCHMARK=FAST_NINE_ADVANCEMENT|BENCHMARK_RANK=9|BENCHMARK_MPH=228.880|QUALIFICATION_STATE=CURRENTLY_INSIDE_ADVANCEMENT,COMPLETE_EXCEPT_EXPLICIT_UNRESOLVED_FIELDS,session_remaining_seconds,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,True
DAY1::DAY1_2020_28_POST_FIRST_ATTEMPT,DAY1,True,STOP,True,False,NONE,2020,28,Ryan Hunter-Reay,DAY1_2020_28_POST_FIRST_ATTEMPT,d155ad85-3d5c-5b55-95d6-40ba696a0bde,2020-08-15T16:04:05+00:00,APPROXIMATE_POINT,,231.330000,231.330000,1,FAST_NINE_ADVANCEMENT,9,229.861000,1.469000,CURRENTLY_INSIDE_ADVANCEMENT,DAY1|CURRENT_RANK=1|CURRENT_BEST_MPH=231.330|BENCHMARK=FAST_NINE_ADVANCEMENT|BENCHMARK_RANK=9|BENCHMARK_MPH=229.861|QUALIFICATION_STATE=CURRENTLY_INSIDE_ADVANCEMENT,COMPLETE_EXCEPT_EXPLICIT_UNRESOLVED_FIELDS,session_remaining_seconds,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,True
DAY1::DAY1_2020_28_POST_FIRST_ATTEMPT,DAY1,True,RETAIN_AND_REATTEMPT,True,True,DAY1_LANE2_RETAIN,2020,28,Ryan Hunter-Reay,DAY1_2020_28_POST_FIRST_ATTEMPT,d155ad85-3d5c-5b55-95d6-40ba696a0bde,2020-08-15T16:04:05+00:00,APPROXIMATE_POINT,,231.330000,231.330000,1,FAST_NINE_ADVANCEMENT,9,229.861000,1.469000,CURRENTLY_INSIDE_ADVANCEMENT,DAY1|CURRENT_RANK=1|CURRENT_BEST_MPH=231.330|BENCHMARK=FAST_NINE_ADVANCEMENT|BENCHMARK_RANK=9|BENCHMARK_MPH=229.861|QUALIFICATION_STATE=CURRENTLY_INSIDE_ADVANCEMENT,COMPLETE_EXCEPT_EXPLICIT_UNRESOLVED_FIELDS,session_remaining_seconds,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,True
