file,attempt_id_column,file_rows,unique_attempt_ids,core_overlap,core_total,core_coverage,validation_overlap,validation_total,validation_coverage,thermal_score,forecast_cols,track_temp_cols
r4p1_attempt_four_lap_panel_v1.csv,attempt_id,329,329,104,104,1.0,6,6,1.0,16,1,1
r4f7a_latent_window_input_readiness_rows_v1.csv,attempt_id,329,329,104,104,1.0,6,6,1.0,11,2,1
r4f7a_v2_expanded_latent_window_input_readiness_rows.csv,attempt_id,329,329,104,104,1.0,6,6,1.0,11,2,1
r4f7b_latent_window_training_manifest_v1.csv,attempt_id,329,329,104,104,1.0,6,6,1.0,11,2,1
r4f7a_b_latent_readiness_ceiling_rows_v1.csv,attempt_id,329,329,104,104,1.0,6,6,1.0,9,3,0
r4f6h_v2_strict_attempt_eligibility_audit.csv,attempt_id,329,329,104,104,1.0,6,6,1.0,0,0,0
r4f6i_performance_status_eligibility_audit_v1.csv,attempt_id,329,329,104,104,1.0,6,6,1.0,0,0,0
r4p1_first_run_order_panel_v1.csv,attempt_id,150,150,70,104,0.6730769230769231,5,6,0.8333333333333334,16,1,1
r4f5b_first_run_field_residuals_v1.csv,attempt_id,79,79,70,104,0.6730769230769231,1,6,0.16666666666666666,0,0,0
r4p1_multi_run_four_lap_panel_v1.csv,attempt_id,162,162,58,104,0.5576923076923077,1,6,0.16666666666666666,16,1,1
r4p4_improvement_probability_predictions_v1.csv,attempt_id,186,40,34,104,0.3269230769230769,1,6,0.16666666666666666,2,0,0
r4f4_cross_car_residual_observations_v1.csv,attempt_id,40,40,34,104,0.3269230769230769,1,6,0.16666666666666666,0,0,0
r4f4b_repeat_residual_temporal_position_audit_v1.csv,attempt_id,40,40,34,104,0.3269230769230769,1,6,0.16666666666666666,0,0,0
r4f4b_repeat_residual_temporal_position_audit_v2.csv,attempt_id,40,40,34,104,0.3269230769230769,1,6,0.16666666666666666,0,0,0
r4f5c_cross_car_window_anchor_validation_v1.csv,attempt_id,40,40,34,104,0.3269230769230769,1,6,0.16666666666666666,0,0,0
r4f6h_fast_friday_qualifying_join_v1.csv,attempt_id,126,126,20,104,0.19230769230769232,6,6,1.0,0,0,0
r4p6_decision_safe_probability_predictions_v1.csv,attempt_id,5,5,4,104,0.038461538461538464,0,6,0.0,0,0,0
