year,candidate_files,likely_numeric_files,editorial_numeric_files,mention_or_meta_only_files,local_reference_status
2020,6,4,0,2,NUMERIC_CANDIDATE_PRESENT
2021,7,1,0,6,NUMERIC_CANDIDATE_PRESENT
2022,17,6,2,9,NUMERIC_CANDIDATE_PRESENT
2023,2,0,0,2,NO_USABLE_LOCAL_FAST_FRIDAY_NUMERIC_EVIDENCE
2024,5,1,0,4,NUMERIC_CANDIDATE_PRESENT
2025,1,0,0,1,NO_USABLE_LOCAL_FAST_FRIDAY_NUMERIC_EVIDENCE
