decision_id,year,session_regime,source_session_regime,car_number,driver_name,decision_stage,qualification_state,current_rank,current_result_mph,benchmark_type,benchmark_speed_mph,margin_to_benchmark_mph,has_protected_result,outside_field,action_semantics_regime,feasible_action_set,action_mask_STOP,action_mask_REATTEMPT,action_mask_RETAIN_AND_REATTEMPT,action_mask_WITHDRAW_AND_REATTEMPT,action_mask_WITHDRAW_AND_PRIORITY_REATTEMPT,observed_action_raw,observed_action_unified,withdrawal_required_for_observed_action,outcome,state_quality,action_quality,safe_for_policy_fit,exact_timestamp,time_remaining_seconds,time_quality,thermal_state_available,performance_uncertainty_available,wait_model_available,shared_feature_link_status,evidence_role,note
2021_24_POST_GUARANTEED_BREAK,2021,LAST_CHANCE,LAST_ROW,24,Sage Karam,POST_GUARANTEED_BREAK,PROVISIONALLY_QUALIFIED,1,229.156000,LAST_CHANCE_SURVIVAL_BUBBLE,228.353000,0.803000,True,False,LAST_CHANCE,STOP|WITHDRAW_AND_REATTEMPT,True,False,False,True,False,STOP,STOP,False,QUALIFIED_P31,MEDIUM,HIGH,True,,,UNKNOWN,False,False,False,PENDING,POLICY_FIT_CANDIDATE,Karam held one of the three qualifying positions after the guaranteed pass and did not make another attempt.
2021_12_POST_GUARANTEED_BREAK,2021,LAST_CHANCE,LAST_ROW,12,Will Power,POST_GUARANTEED_BREAK,PROVISIONALLY_QUALIFIED,2,228.876000,LAST_CHANCE_SURVIVAL_BUBBLE,228.353000,0.523000,True,False,LAST_CHANCE,STOP|WITHDRAW_AND_REATTEMPT,True,False,False,True,False,STOP,STOP,False,QUALIFIED_P32,MEDIUM,HIGH,True,,,UNKNOWN,False,False,False,PENDING,POLICY_FIT_CANDIDATE,Power remained inside the qualifying three and did not make another Last Row attempt.
2021_16_POST_GUARANTEED_BREAK,2021,LAST_CHANCE,LAST_ROW,16,Simona De Silvestro,POST_GUARANTEED_BREAK,PROVISIONALLY_ON_BUBBLE,3,228.353000,LAST_CHANCE_SURVIVAL_BUBBLE,228.353000,0.000000,True,False,LAST_CHANCE,STOP|WITHDRAW_AND_REATTEMPT,True,False,False,True,False,STOP,STOP,False,QUALIFIED_P33,MEDIUM,HIGH,True,,,UNKNOWN,False,False,False,PENDING,POLICY_FIT_CANDIDATE,De Silvestro occupied the third qualifying position and did not make another attempt.
2021_75_POST_GUARANTEED_BREAK,2021,LAST_CHANCE,LAST_ROW,75,RC Enerson,POST_GUARANTEED_BREAK,OUTSIDE_FIELD,4,,LAST_CHANCE_SURVIVAL_BUBBLE,228.353000,,False,True,LAST_CHANCE,STOP|REATTEMPT,True,True,False,False,False,REATTEMPT,REATTEMPT,False,FAILED_TO_QUALIFY,LOW,HIGH,False,,,UNKNOWN,False,False,False,PENDING,ACTION_ONLY_UNTIL_FIRST_RUN_SPEED_RESOLVED,Enerson is known to have taken a second shot. His two official speeds exist but first-versus-second ordering is not yet independently resolved.
2021_11_POST_GUARANTEED_BREAK,2021,LAST_CHANCE,LAST_ROW,11,Charlie Kimball,POST_GUARANTEED_BREAK,OUTSIDE_FIELD,5,,LAST_CHANCE_SURVIVAL_BUBBLE,228.353000,,False,True,LAST_CHANCE,STOP|REATTEMPT,True,True,False,False,False,REATTEMPT,REATTEMPT,False,FAILED_TO_QUALIFY,LOW,HIGH,False,,,UNKNOWN,False,False,False,PENDING,ACTION_ONLY_UNTIL_FIRST_RUN_SPEED_RESOLVED,Kimball is known to have taken a second shot. His two official speeds exist but first-versus-second ordering is not yet independently resolved.
2023_45_POST_GUARANTEED_BREAK,2023,LAST_CHANCE,LAST_CHANCE,45,Christian Lundgaard,POST_GUARANTEED_BREAK,PROVISIONALLY_QUALIFIED,1,229.649000,LAST_CHANCE_SURVIVAL_BUBBLE,229.159000,0.490000,True,False,LAST_CHANCE,STOP|WITHDRAW_AND_REATTEMPT,True,False,False,True,False,STOP,STOP,False,QUALIFIED_P31,HIGH,HIGH,True,,,UNKNOWN,False,False,False,PENDING,POLICY_FIT_CANDIDATE,Held the fastest Last Chance result after the guaranteed pass and made no further attempt.
2023_51_POST_GUARANTEED_BREAK,2023,LAST_CHANCE,LAST_CHANCE,51,Sting Ray Robb,POST_GUARANTEED_BREAK,PROVISIONALLY_QUALIFIED,2,229.549000,LAST_CHANCE_SURVIVAL_BUBBLE,229.159000,0.390000,True,False,LAST_CHANCE,STOP|WITHDRAW_AND_REATTEMPT,True,False,False,True,False,STOP,STOP,False,QUALIFIED_P32,HIGH,HIGH,True,,,UNKNOWN,False,False,False,PENDING,POLICY_FIT_CANDIDATE,Held P32 after the guaranteed pass and made no further attempt.
2023_15_POST_GUARANTEED_BREAK,2023,LAST_CHANCE,LAST_CHANCE,15,Graham Rahal,POST_GUARANTEED_BREAK,PROVISIONALLY_ON_BUBBLE,3,229.159000,LAST_CHANCE_SURVIVAL_BUBBLE,229.159000,0.000000,True,False,LAST_CHANCE,STOP|WITHDRAW_AND_REATTEMPT,True,False,False,True,False,STOP,STOP,False,ULTIMATELY_BUMPED_BY_HARVEY,HIGH,HIGH,True,,,UNKNOWN,False,False,False,PENDING,POLICY_FIT_CANDIDATE,Rahal held the bubble after the guaranteed pass and chose not to withdraw his 229.159 mph result for another attempt.
2023_30_POST_GUARANTEED_BREAK,2023,LAST_CHANCE,LAST_CHANCE,30,Jack Harvey,POST_GUARANTEED_BREAK,OUTSIDE_FIELD,4,,LAST_CHANCE_SURVIVAL_BUBBLE,229.159000,,False,True,LAST_CHANCE,STOP|REATTEMPT,True,True,False,False,False,REATTEMPT,REATTEMPT,False,ULTIMATELY_QUALIFIED_P33,MEDIUM,HIGH,True,,,UNKNOWN,False,False,False,PENDING,POLICY_FIT_CANDIDATE_WITH_PARTIAL_NUMERIC_STATE,Harvey was the only driver making multiple attempts. His precise first-run speed is not assigned in this panel yet.
2024_18_FINAL_DECISION,2024,LAST_CHANCE,LAST_CHANCE,18,Nolan Siegel,FINAL_DECISION,OUTSIDE_FIELD_AFTER_BUMP,4,229.566000,LAST_CHANCE_SURVIVAL_BUBBLE,229.974000,-0.408000,False,True,LAST_CHANCE,STOP|REATTEMPT,True,True,False,False,False,REATTEMPT,REATTEMPT,False,CRASH_INCOMPLETE_FAILED_TO_QUALIFY,HIGH,HIGH,True,,,UNKNOWN,False,False,False,PENDING,HIGH_VALUE_REPLAY_AND_POLICY_CANDIDATE,Siegel was outside the field with a known 229.566 mph prior run. Rahal held the bubble at 229.974 mph. Siegel attempted the final run and crashed.
