year,driver_name,car_number,first_attempt_id,repeat_attempt_id,repeat_delta_mph,both_point_time,both_interval_time,both_any_temporal,both_chronology_usable,both_environment_alignment_usable,first_time_quality,repeat_time_quality,first_time_evidence_class,repeat_time_evidence_class
2021,Dalton Kellett,4,099ab32a-d351-5011-931c-148b9f3d7921,a5d8e516-48e0-58b8-ac13-213c753fc12d,-0.9269999999999925,True,False,True,False,True,APPROXIMATE_OBSERVED,APPROXIMATE_OBSERVED,APPROXIMATE_POINT,APPROXIMATE_POINT
2021,Conor Daly,47,11be8bd4-5c39-5bd2-b24f-b6c87f0d885a,fb947c1e-3d51-506f-bbbc-12ecbcdce5da,-0.15399999999999636,True,False,True,False,True,APPROXIMATE_OBSERVED,APPROXIMATE_OBSERVED,APPROXIMATE_POINT,APPROXIMATE_POINT
2021,Jack Harvey,60,7d5d82b7-9765-51c9-b149-cb7de00d3905,8ff02437-bce9-5d86-b3c7-906d93963538,4.694999999999993,True,False,True,False,True,APPROXIMATE_OBSERVED,APPROXIMATE_OBSERVED,APPROXIMATE_POINT,APPROXIMATE_POINT
2021,Felix Rosenqvist,7,4bfd7a23-3f35-5bcf-9655-c286d7ee30ed,595096e7-98a7-552c-a5f8-f2f3eeb54d68,0.24600000000000932,True,False,True,False,True,APPROXIMATE_OBSERVED,APPROXIMATE_OBSERVED,APPROXIMATE_POINT,APPROXIMATE_POINT
2021,Juan Pablo Montoya,86,11bd473d-0cf3-56e2-9aa9-fb4487870c59,f39f497a-d8a0-55e6-8bd1-ef646a4f6e71,-0.15399999999999636,True,False,True,False,True,APPROXIMATE_OBSERVED,APPROXIMATE_OBSERVED,APPROXIMATE_POINT,APPROXIMATE_POINT
2021,Marco Andretti,98,c2deab22-d3a0-5601-80f8-4cbf631c8f88,b671a083-ccd6-5511-a882-53e7bf202c19,0.6110000000000184,True,False,True,False,True,APPROXIMATE_OBSERVED,APPROXIMATE_OBSERVED,APPROXIMATE_POINT,APPROXIMATE_POINT
2021,Marco Andretti,98,c2deab22-d3a0-5601-80f8-4cbf631c8f88,cb6ab391-510a-562a-a1bc-a173959477a0,0.6090000000000089,True,False,True,False,True,APPROXIMATE_OBSERVED,APPROXIMATE_OBSERVED,APPROXIMATE_POINT,APPROXIMATE_POINT
2022,Helio Castroneves,06,01896a4f-c482-5093-a806-89bc4273641d,90eea27e-6e83-5e24-8428-811eae3ff157,4.147999999999996,False,False,False,True,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
2022,David Malukas,18,619575d3-e7eb-5cce-886f-0a8485b98eba,85c917fa-1c7a-52cb-a47f-468b4bdae9a5,0.3739999999999952,False,False,False,True,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
2022,Sage Karam,24,8e0c8731-4ddc-515a-949e-7902dd01eaeb,2c453335-3a19-5653-8d5c-79d94db93028,0.5589999999999975,False,False,False,True,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
2022,Alexander Rossi,27,1e2facfd-2c67-5b5a-9556-04ef28eeb0d8,b3147013-0fda-5982-bea1-85788019ef89,-0.5289999999999964,False,False,False,True,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
2022,Scott McLaughlin,3,d2ae8749-6312-5afd-b193-dd23dc071124,43d9c081-67f5-5d6f-8b48-9db0ac683a6c,-1.38900000000001,False,False,False,True,False,UNKNOWN,UNKNOWN,UNKNOWN,BOUNDED_INTERVAL
2022,Callum Ilott,77,3cd6d98a-da75-5822-8dae-05e83ad8457c,8fa25fec-e5a6-5844-b3d7-f67c9dc91378,0.7490000000000236,False,False,False,True,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
2022,Marco Andretti,98,c044edbc-0f6c-5aab-bdef-9c4156b50617,63982b5e-7639-5140-a6a2-702a77c2fc85,4.236999999999995,False,False,False,True,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
2023,David Malukas,18,e676cc29-ed11-5299-abcd-0696a7eb4668,4e8f59ee-2017-5f6b-870a-8398a96b4eb9,0.2510000000000048,False,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
2023,David Malukas,18,e676cc29-ed11-5299-abcd-0696a7eb4668,cf5e2385-35ca-51eb-a4d9-6ab7da79af04,0.9900000000000091,False,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
2023,Josef Newgarden,2,ba018dfd-9f05-5b0d-adf9-6fee90441a6d,100ef01c-38fa-59f4-a91f-a9a703ed7d2c,-0.14000000000001478,False,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
2023,Christian Lundgaard,45,d3cf5026-1b00-5bfb-8172-34a03ecce358,c8919a56-98b9-5688-90ea-6aa29ed080e0,0.19700000000000273,False,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
2023,Callum Ilott,77,f7e8b948-2fd0-5183-971b-aaea5c66c226,333cf68d-54d9-5559-ac70-c73c27086892,3.461999999999989,True,False,True,False,True,UNKNOWN,UNKNOWN,APPROXIMATE_POINT,APPROXIMATE_POINT
2024,Rinus VeeKay,21,135b66b6-87b3-5cb3-ba14-d2d21ed2fa92,d8d8f4a5-fd52-51ca-bdc6-e2ddbea561ca,1.2530000000000143,False,True,True,True,False,UNKNOWN,UNKNOWN,BOUNDED_INTERVAL,BOUNDED_INTERVAL
2024,Callum Ilott,6,411accca-4d36-5e24-a0fe-6db5a36714c5,fd5283e0-98dd-56b4-8731-1cdc87fbd6b9,-0.23499999999998522,False,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
