fused_decision_id,source_decision_id,regime,year,car_number,driver_name,evaluation_granularity,historical_action,historical_action_resolved,historical_action_quality,current_result_speed_mph,decision_time_benchmark_speed_mph,decision_time_benchmark_type,source_attempt_id,source_attempt_id_semantics,next_attempt_exists,next_attempt_id,next_attempt_complete_four_lap,next_attempt_speed_mph,next_attempt_improved_current,next_attempt_met_decision_time_benchmark,realized_session_outcome,realized_final_qualified,explicit_crash_incomplete,attempt_level_speed_evaluable,categorical_session_outcome_evaluable,evaluation_status,future_information_used_for_prediction,historical_action_used_as_optimal_label
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,DAY1_2020_10_POST_FIRST_ATTEMPT,DAY1,2020,10,Felix Rosenqvist,ATTEMPT_LEVEL,STOP,True,HIGH,230.254,230.254,FAST_NINE_ADVANCEMENT,6041dd38-4b6d-5e38-81fd-8006cbe0bafd,CANONICAL_DAY1_ATTEMPT_UUID,False,,False,,,,,,False,False,False,OBSERVED_NO_LATER_CANONICAL_ATTEMPT,False,False
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,DAY1_2020_14_POST_FIRST_ATTEMPT,DAY1,2020,14,Tony Kanaan,ATTEMPT_LEVEL,STOP,True,HIGH,229.154,230.539,FAST_NINE_ADVANCEMENT,cbdbf766-10d3-516e-83ad-3cb56f8c02fb,CANONICAL_DAY1_ATTEMPT_UUID,False,,False,,,,,,False,False,False,OBSERVED_NO_LATER_CANONICAL_ATTEMPT,False,False
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,DAY1_2020_20_POST_FIRST_ATTEMPT,DAY1,2020,20,Ed Carpenter,ATTEMPT_LEVEL,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,229.811,230.254,FAST_NINE_ADVANCEMENT,9a2e168d-3dda-5e76-8daf-588c20d91341,CANONICAL_DAY1_ATTEMPT_UUID,True,893c5471-df02-55c0-946f-0af9d0a835d9,True,230.211,True,False,,,False,True,False,NEXT_ATTEMPT_COMPLETE_SPEED_OBSERVED,False,False
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,DAY1_2020_22_POST_FIRST_ATTEMPT,DAY1,2020,22,Simon Pagenaud,ATTEMPT_LEVEL,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,228.836,230.472,FAST_NINE_ADVANCEMENT,2fb75f25-92ad-5b41-90a1-3a1457ae8012,CANONICAL_DAY1_ATTEMPT_UUID,True,63886d30-e3e7-575f-a896-d317da3b03c2,False,,,,,,False,False,False,NEXT_ATTEMPT_EXISTS_BUT_NOT_COMPLETE_FOUR_LAP,False,False
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,DAY1_2020_24_POST_FIRST_ATTEMPT,DAY1,2020,24,Sage Karam,ATTEMPT_LEVEL,STOP,True,HIGH,227.099,227.099,FAST_NINE_ADVANCEMENT,3e1d9fad-3db2-5b32-b9c1-8802e1467bbe,CANONICAL_DAY1_ATTEMPT_UUID,False,,False,,,,,,False,False,False,OBSERVED_NO_LATER_CANONICAL_ATTEMPT,False,False
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,DAY1_2020_27_POST_FIRST_ATTEMPT,DAY1,2020,27,Alexander Rossi,ATTEMPT_LEVEL,STOP,True,HIGH,231.268,228.88,FAST_NINE_ADVANCEMENT,81f0c457-15fb-5f7f-9649-8663a142764d,CANONICAL_DAY1_ATTEMPT_UUID,False,,False,,,,,,False,False,False,OBSERVED_NO_LATER_CANONICAL_ATTEMPT,False,False
DAY1::DAY1_2020_28_POST_FIRST_ATTEMPT,DAY1_2020_28_POST_FIRST_ATTEMPT,DAY1,2020,28,Ryan Hunter-Reay,ATTEMPT_LEVEL,STOP,True,HIGH,231.33,229.861,FAST_NINE_ADVANCEMENT,d155ad85-3d5c-5b55-95d6-40ba696a0bde,CANONICAL_DAY1_ATTEMPT_UUID,False,,False,,,,,,False,False,False,OBSERVED_NO_LATER_CANONICAL_ATTEMPT,False,False
DAY1::DAY1_2020_29_POST_FIRST_ATTEMPT,DAY1_2020_29_POST_FIRST_ATTEMPT,DAY1,2020,29,James Hinchcliffe,ATTEMPT_LEVEL,STOP,True,HIGH,231.195,230.296,FAST_NINE_ADVANCEMENT,917d4c7e-5c5e-5976-aa32-50a7bc958440,CANONICAL_DAY1_ATTEMPT_UUID,False,,False,,,,,,False,False,False,OBSERVED_NO_LATER_CANONICAL_ATTEMPT,False,False
DAY1::DAY1_2020_3_POST_FIRST_ATTEMPT,DAY1_2020_3_POST_FIRST_ATTEMPT,DAY1,2020,3,Helio Castroneves,ATTEMPT_LEVEL,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,228.115,230.56,FAST_NINE_ADVANCEMENT,f2f5d37e-6270-5e2d-8ae0-2e63cea098b3,CANONICAL_DAY1_ATTEMPT_UUID,True,7799cc62-18bb-568d-9de2-16cb3622a0de,True,228.373,True,False,,,False,True,False,NEXT_ATTEMPT_COMPLETE_SPEED_OBSERVED,False,False
DAY1::DAY1_2020_47_POST_FIRST_ATTEMPT,DAY1_2020_47_POST_FIRST_ATTEMPT,DAY1,2020,47,Conor Daly,ATTEMPT_LEVEL,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,229.884,230.472,FAST_NINE_ADVANCEMENT,a7f0ef57-a971-5870-9606-1fe1cd378e2a,CANONICAL_DAY1_ATTEMPT_UUID,True,df3c02a3-9655-512c-a2e6-4ffe9eadc505,True,229.955,True,False,,,False,True,False,NEXT_ATTEMPT_COMPLETE_SPEED_OBSERVED,False,False
DAY1::DAY1_2020_51_POST_FIRST_ATTEMPT,DAY1_2020_51_POST_FIRST_ATTEMPT,DAY1,2020,51,James Davison,ATTEMPT_LEVEL,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,228.747,230.296,FAST_NINE_ADVANCEMENT,e2cf6770-902a-5a11-8e7c-27e4441f0b5e,CANONICAL_DAY1_ATTEMPT_UUID,True,fe1f030c-0baa-54f3-8c55-6ad8fd58f371,False,,,,,,False,False,False,NEXT_ATTEMPT_EXISTS_BUT_NOT_COMPLETE_FOUR_LAP,False,False
DAY1::DAY1_2020_55_POST_FIRST_ATTEMPT,DAY1_2020_55_POST_FIRST_ATTEMPT,DAY1,2020,55,Alex Palou,ATTEMPT_LEVEL,STOP,True,HIGH,231.034,230.472,FAST_NINE_ADVANCEMENT,b3ac1729-6563-5819-a04b-0f76aeae5b0f,CANONICAL_DAY1_ATTEMPT_UUID,False,,False,,,,,,False,False,False,OBSERVED_NO_LATER_CANONICAL_ATTEMPT,False,False
DAY1::DAY1_2020_59_POST_FIRST_ATTEMPT,DAY1_2020_59_POST_FIRST_ATTEMPT,DAY1,2020,59,Max Chilton,ATTEMPT_LEVEL,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,225.819,230.56,FAST_NINE_ADVANCEMENT,75519828-93ba-5485-a4bf-a06b93f7cec3,CANONICAL_DAY1_ATTEMPT_UUID,True,fb65c8cf-d1c6-583e-9563-6c22e29bb081,True,227.303,True,False,,,False,True,False,NEXT_ATTEMPT_COMPLETE_SPEED_OBSERVED,False,False
DAY1::DAY1_2020_66_POST_FIRST_ATTEMPT,DAY1_2020_66_POST_FIRST_ATTEMPT,DAY1,2020,66,Fernando Alonso,ATTEMPT_LEVEL,STOP,True,HIGH,228.768,228.88,FAST_NINE_ADVANCEMENT,c9ee13fe-3b9e-555c-9a7d-a078015b8b91,CANONICAL_DAY1_ATTEMPT_UUID,False,,False,,,,,,False,False,False,OBSERVED_NO_LATER_CANONICAL_ATTEMPT,False,False
DAY1::DAY1_2020_67_POST_FIRST_ATTEMPT,DAY1_2020_67_POST_FIRST_ATTEMPT,DAY1,2020,67,JR Hildebrand,ATTEMPT_LEVEL,STOP,True,HIGH,226.341,230.56,FAST_NINE_ADVANCEMENT,1a120ea2-c723-5585-8ec6-30169bb44ca7,CANONICAL_DAY1_ATTEMPT_UUID,False,,False,,,,,,False,False,False,OBSERVED_NO_LATER_CANONICAL_ATTEMPT,False,False
DAY1::DAY1_2020_7_POST_FIRST_ATTEMPT,DAY1_2020_7_POST_FIRST_ATTEMPT,DAY1,2020,7,Oliver Askew,ATTEMPT_LEVEL,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,229.76,229.902,FAST_NINE_ADVANCEMENT,72b65040-5363-5722-b1cd-297bffa2af77,CANONICAL_DAY1_ATTEMPT_UUID,True,49fbc16c-9d6c-5076-a96b-2b64ebe2bbac,False,,,,,,False,False,False,NEXT_ATTEMPT_EXISTS_BUT_NOT_COMPLETE_FOUR_LAP,False,False
DAY1::DAY1_2020_81_POST_FIRST_ATTEMPT,DAY1_2020_81_POST_FIRST_ATTEMPT,DAY1,2020,81,Ben Hanley,ATTEMPT_LEVEL,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,220.946,230.296,FAST_NINE_ADVANCEMENT,a3016f3b-449e-576c-bf0f-284c71eddb34,CANONICAL_DAY1_ATTEMPT_UUID,True,b58b5c13-1a21-50cf-ab5b-8962cc4486f0,True,222.917,True,False,,,False,True,False,NEXT_ATTEMPT_COMPLETE_SPEED_OBSERVED,False,False
DAY1::DAY1_2020_88_POST_FIRST_ATTEMPT,DAY1_2020_88_POST_FIRST_ATTEMPT,DAY1,2020,88,Colton Herta,ATTEMPT_LEVEL,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,230.56,230.56,FAST_NINE_ADVANCEMENT,9ed5a76f-1d6e-5759-8ffc-9c1344b26bfc,CANONICAL_DAY1_ATTEMPT_UUID,True,0817e595-17c0-5e20-94bc-6778006bf613,True,230.775,True,True,,,False,True,False,NEXT_ATTEMPT_COMPLETE_SPEED_OBSERVED,False,False
DAY1::DAY1_2020_8_POST_FIRST_ATTEMPT,DAY1_2020_8_POST_FIRST_ATTEMPT,DAY1,2020,8,Marcus Ericsson,ATTEMPT_LEVEL,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,230.472,229.902,FAST_NINE_ADVANCEMENT,518373d9-25de-58cf-8315-f6c215b6f672,CANONICAL_DAY1_ATTEMPT_UUID,True,25ddda12-052a-5d71-ac52-6e96cf8edab9,True,230.566,True,True,,,False,True,False,NEXT_ATTEMPT_COMPLETE_SPEED_OBSERVED,False,False
