file,column,semantic_classes,rows
r4/output/r4f2_canonical_fused_decision_dataset_v1.csv,decision_id,IDENTITY,148
r4/output/r4f2_canonical_fused_decision_dataset_v1.csv,year,IDENTITY,148
r4/output/r4f2_canonical_fused_decision_dataset_v1.csv,session_regime,IDENTITY,148
r4/output/r4f2_canonical_fused_decision_dataset_v1.csv,car_number,IDENTITY,148
r4/output/r4f2_canonical_fused_decision_dataset_v1.csv,driver_name,IDENTITY,148
r4/output/r4f2_canonical_fused_decision_dataset_v1.csv,source_attempt_id,IDENTITY,148
r4/output/r4f2_canonical_fused_decision_dataset_v1.csv,current_result_mph,CURRENT_RESULT,148
r4/output/r4f2_canonical_fused_decision_dataset_v1.csv,current_rank,RANK,148
r4/output/r4f2_canonical_fused_decision_dataset_v1.csv,benchmark_type,BENCHMARK,148
r4/output/r4f2_canonical_fused_decision_dataset_v1.csv,benchmark_rank,BENCHMARK;RANK,148
r4/output/r4f2_canonical_fused_decision_dataset_v1.csv,benchmark_speed_mph,BENCHMARK,148
r4/output/r4f2_canonical_fused_decision_dataset_v1.csv,margin_to_benchmark_mph,BENCHMARK,148
r4/output/r4f2_canonical_fused_decision_dataset_v1.csv,feasible_action_set,ACTION,148
r4/output/r4f2_canonical_fused_decision_dataset_v1.csv,action_mask_STOP,ACTION,148
r4/output/r4f2_canonical_fused_decision_dataset_v1.csv,action_mask_REATTEMPT,ACTION,148
r4/output/r4f2_canonical_fused_decision_dataset_v1.csv,action_mask_RETAIN_AND_REATTEMPT,ACTION,148
r4/output/r4f2_canonical_fused_decision_dataset_v1.csv,action_mask_WITHDRAW_AND_REATTEMPT,ACTION;MONTE_CARLO,148
r4/output/r4f2_canonical_fused_decision_dataset_v1.csv,action_mask_WITHDRAW_AND_PRIORITY_REATTEMPT,ACTION;MONTE_CARLO,148
r4/output/r4f2_canonical_fused_decision_dataset_v1.csv,observed_action,ACTION,148
r4/output/r4f2_canonical_fused_decision_dataset_v1.csv,action_resolved,ACTION,148
r4/output/r4f2_canonical_fused_decision_dataset_v1.csv,action_evidence_quality,ACTION,148
r4/output/r4f2_canonical_fused_decision_dataset_v1.csv,decision_time_utc,TIME,148
r4/output/r4f2_canonical_fused_decision_dataset_v1.csv,state_numeric_complete,COMPLETION,148
r4/output/r4f2_canonical_fused_decision_dataset_v1.csv,wait_model_available,QUEUE,148
r4/output/r4f2_canonical_fused_decision_dataset_v2.csv,decision_id,IDENTITY,148
r4/output/r4f2_canonical_fused_decision_dataset_v2.csv,year,IDENTITY,148
r4/output/r4f2_canonical_fused_decision_dataset_v2.csv,session_regime,IDENTITY,148
r4/output/r4f2_canonical_fused_decision_dataset_v2.csv,car_number,IDENTITY,148
r4/output/r4f2_canonical_fused_decision_dataset_v2.csv,driver_name,IDENTITY,148
r4/output/r4f2_canonical_fused_decision_dataset_v2.csv,source_attempt_id,IDENTITY,148
r4/output/r4f2_canonical_fused_decision_dataset_v2.csv,current_result_mph,CURRENT_RESULT,148
r4/output/r4f2_canonical_fused_decision_dataset_v2.csv,current_rank,RANK,148
r4/output/r4f2_canonical_fused_decision_dataset_v2.csv,benchmark_type,BENCHMARK,148
r4/output/r4f2_canonical_fused_decision_dataset_v2.csv,benchmark_rank,BENCHMARK;RANK,148
r4/output/r4f2_canonical_fused_decision_dataset_v2.csv,benchmark_speed_mph,BENCHMARK,148
r4/output/r4f2_canonical_fused_decision_dataset_v2.csv,margin_to_benchmark_mph,BENCHMARK,148
r4/output/r4f2_canonical_fused_decision_dataset_v2.csv,feasible_action_set,ACTION,148
r4/output/r4f2_canonical_fused_decision_dataset_v2.csv,action_mask_STOP,ACTION,148
r4/output/r4f2_canonical_fused_decision_dataset_v2.csv,action_mask_REATTEMPT,ACTION,148
r4/output/r4f2_canonical_fused_decision_dataset_v2.csv,action_mask_RETAIN_AND_REATTEMPT,ACTION,148
r4/output/r4f2_canonical_fused_decision_dataset_v2.csv,action_mask_WITHDRAW_AND_REATTEMPT,ACTION;MONTE_CARLO,148
r4/output/r4f2_canonical_fused_decision_dataset_v2.csv,action_mask_WITHDRAW_AND_PRIORITY_REATTEMPT,ACTION;MONTE_CARLO,148
r4/output/r4f2_canonical_fused_decision_dataset_v2.csv,observed_action,ACTION,148
r4/output/r4f2_canonical_fused_decision_dataset_v2.csv,action_resolved,ACTION,148
r4/output/r4f2_canonical_fused_decision_dataset_v2.csv,action_evidence_quality,ACTION,148
r4/output/r4f2_canonical_fused_decision_dataset_v2.csv,decision_time_utc,TIME,148
r4/output/r4f2_canonical_fused_decision_dataset_v2.csv,state_numeric_complete,COMPLETION,148
r4/output/r4f2_canonical_fused_decision_dataset_v2.csv,wait_model_available,QUEUE,148
r4/output/r4f2_canonical_fused_decision_dataset_v2.csv,action_evidence_eligible,ACTION,148
r4/output/r4f2_canonical_fused_decision_summary_v1.csv,session_regime,IDENTITY,8
r4/output/r4f2_canonical_fused_decision_summary_v1.csv,year,IDENTITY,8
r4/output/r4f2_canonical_fused_decision_summary_v1.csv,resolved_action_rows,ACTION,8
r4/output/r4f2_canonical_fused_decision_summary_v1.csv,unresolved_action_rows,ACTION,8
r4/output/r4f2_canonical_fused_decision_summary_v1.csv,WITHDRAW_AND_REATTEMPT,MONTE_CARLO,8
r4/output/r4f2_canonical_fused_decision_summary_v1.csv,WITHDRAW_AND_PRIORITY_REATTEMPT,MONTE_CARLO,8
r4/output/r4f2_canonical_fused_decision_summary_v2.csv,session_regime,IDENTITY,8
r4/output/r4f2_canonical_fused_decision_summary_v2.csv,year,IDENTITY,8
r4/output/r4f2_canonical_fused_decision_summary_v2.csv,action_evidence_rows,ACTION,8
r4/output/r4f2_canonical_fused_decision_summary_v2.csv,WITHDRAW_AND_REATTEMPT,MONTE_CARLO,8
r4/output/r4f2_canonical_fused_decision_summary_v2.csv,WITHDRAW_AND_PRIORITY_REATTEMPT,MONTE_CARLO,8
r4/output/r4f4_decision_window_residual_context_v1.csv,decision_id,IDENTITY,50
r4/output/r4f4_decision_window_residual_context_v1.csv,year,IDENTITY,50
r4/output/r4f4_decision_window_residual_context_v1.csv,session_regime,IDENTITY,50
r4/output/r4f4_decision_window_residual_context_v1.csv,car_number,IDENTITY,50
r4/output/r4f4_decision_window_residual_context_v1.csv,driver_name,IDENTITY,50
r4/output/r4f4_decision_window_residual_context_v1.csv,source_attempt_id,IDENTITY,50
r4/output/r4f4_decision_window_residual_context_v1.csv,decision_time_utc,TIME,50
r4/output/r4f4_decision_window_residual_context_v1.csv,hrrr_selected_cycle_utc,TIME,50
r4/output/r4f4_decision_window_residual_context_v1.csv,hrrr_supports_decision_time,TIME,50
r4/output/r4f4_decision_window_residual_context_v1.csv,wait_model_structural_available,QUEUE,50
r4/output/r4f4_decision_window_residual_context_v1.csv,historical_wait_observed,QUEUE,50
r4/output/r4f4_decision_window_residual_context_v1.csv,historical_action_required_for_engine,ACTION,50
r4/output/r4f4_decision_window_residual_context_v1.csv,ptsc_selected_time_utc,TIME,50
r4/output/r4f4_decision_window_residual_context_v1.csv,ptsc_track_temp_c,PROBABILITY,50
r4/output/r4f4_decision_window_residual_context_v1.csv,residual_window_10m_improve_fraction,ACTION,50
r4/output/r4f4_decision_window_residual_context_v1.csv,residual_window_20m_improve_fraction,ACTION,50
r4/output/r4f4_decision_window_residual_context_v1.csv,residual_window_30m_improve_fraction,ACTION,50
r4/output/r4f4_decision_window_residual_context_v1.csv,residual_window_45m_improve_fraction,ACTION,50
r4/output/r4f6a_presession_physical_local_asset_summary_v1.csv,years,IDENTITY,7
r4/output/r4f6a_presession_physical_local_asset_summary_v1.csv,year_file_counts,IDENTITY,7
