fused_decision_id,year,driver,assumed_time_remaining_minutes,priority_wait_reduction_percent,retain_p_completed,withdraw_p_completed,retain_p_final_meets_benchmark,withdraw_p_final_meets_benchmark,withdraw_p_no_final_result,withdraw_p_final_worse_than_current,delta_benchmark_success_probability
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,5,0,0.0,0.0,1.0,0.0,1.0,1.0,-1.0
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,5,25,0.0,0.0,1.0,0.0,1.0,1.0,-1.0
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,5,50,0.0,0.0,1.0,0.0,1.0,1.0,-1.0
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,5,75,0.0,0.24755,1.0,0.06895,0.75245,0.93105,-0.93105
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,10,0,0.2516,0.2516,1.0,0.07155,0.7484,0.92845,-0.92845
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,10,25,0.2516,0.2516,1.0,0.07155,0.7484,0.92845,-0.92845
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,10,50,0.2516,0.2516,1.0,0.07155,0.7484,0.92845,-0.92845
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,10,75,0.2516,0.5,1.0,0.1398,0.5,0.8602,-0.8602
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,15,0,0.2493,0.2493,1.0,0.0682,0.7507,0.9318,-0.9318
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,15,25,0.2493,0.5033,1.0,0.1383,0.4967,0.8617,-0.8617
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,15,50,0.2493,0.5033,1.0,0.1383,0.4967,0.8617,-0.8617
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,15,75,0.2493,1.0,1.0,0.2786,0.0,0.7214,-0.7214
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,20,0,0.503,0.503,1.0,0.1417,0.497,0.8583,-0.8583000000000001
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,20,25,0.503,0.503,1.0,0.1417,0.497,0.8583,-0.8583000000000001
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,20,50,0.503,0.7542,1.0,0.214,0.2458,0.786,-0.786
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,20,75,0.503,1.0,1.0,0.2846,0.0,0.7154,-0.7154
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,30,0,0.4961,0.4961,1.0,0.1376,0.5039,0.8624,-0.8624
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,30,25,0.4961,0.7494,1.0,0.20825,0.2506,0.79175,-0.79175
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,30,50,0.4961,1.0,1.0,0.2808,0.0,0.7192,-0.7192000000000001
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,30,75,0.4961,1.0,1.0,0.2808,0.0,0.7192,-0.7192000000000001
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,45,0,0.74855,0.74855,1.0,0.21345,0.25145,0.78655,-0.78655
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,45,25,0.74855,1.0,1.0,0.2809,0.0,0.7191,-0.7191000000000001
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,45,50,0.74855,1.0,1.0,0.2809,0.0,0.7191,-0.7191000000000001
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,45,75,0.74855,1.0,1.0,0.2809,0.0,0.7191,-0.7191000000000001
