year,rows,point_time_rows,numeric_state_rows,STOP,RETAIN_AND_REATTEMPT,WITHDRAW_AND_PRIORITY_REATTEMPT,UNRESOLVED_REATTEMPT,policy_fit_rows,evidence_role
2020,33,28,20,14,0,0,19,14,TRAIN_CORE
2021,35,33,25,15,0,0,20,15,TRAIN_CORE
2022,32,0,0,24,0,0,8,0,VALIDATION_ONLY
2023,34,16,5,11,0,0,23,11,TRAIN_CORE
2024,4,2,0,2,0,0,2,0,VALIDATION_ONLY
