file,rows,rows_2022,rows_2025,attempt_id_columns,driver_columns,speed_columns,time_columns,order_columns,status_columns,reference_columns
data/canonical/v1/qualifying_events.csv,5,1,0,,,,scheduled_start_utc;scheduled_end_utc;actual_start_utc;actual_end_utc,chronology_reconciliation_status,chronology_reconciliation_status,
r4/output/r4f1_day1_fused_interface_summary_v1.csv,5,1,0,,,,,,WITHDRAW_AND_PRIORITY_REATTEMPT,
r4/output/r4f1_day1_fused_interface_v1.csv,138,32,0,,driver_name,benchmark_speed_mph,decision_time_utc,source_attempt_index,action_mask_WITHDRAW_AND_REATTEMPT;action_mask_WITHDRAW_AND_PRIORITY_REATTEMPT;shared_feature_link_status,
r4/output/r4f2_canonical_fused_decision_dataset_v1.csv,148,32,0,,driver_name,benchmark_speed_mph,decision_time_utc,,action_mask_WITHDRAW_AND_REATTEMPT;action_mask_WITHDRAW_AND_PRIORITY_REATTEMPT;shared_feature_link_status;validation_only,
r4/output/r4f2_canonical_fused_decision_dataset_v2.csv,148,32,0,,driver_name,benchmark_speed_mph,decision_time_utc,,action_mask_WITHDRAW_AND_REATTEMPT;action_mask_WITHDRAW_AND_PRIORITY_REATTEMPT;shared_feature_link_status;validation_only,
r4/output/r4f2_canonical_fused_decision_summary_v1.csv,8,1,0,,,,,,validation_rows;WITHDRAW_AND_REATTEMPT;WITHDRAW_AND_PRIORITY_REATTEMPT,
r4/output/r4f2_canonical_fused_decision_summary_v2.csv,8,1,0,,,,,,validation_rows;WITHDRAW_AND_REATTEMPT;WITHDRAW_AND_PRIORITY_REATTEMPT,
r4/output/r4f5a_offline_repeat_latent_window_summary_v1.csv,5,1,0,,,,,,,
r4/output/r4f5a_offline_repeat_latent_window_target_v1.csv,540,100,0,,,,grid_time_utc,,,
r4/output/r4f5b_partial_pooled_latent_window_summary_v1.csv,5,1,0,,,,,,,
r4/output/r4f5b_partial_pooled_latent_window_target_v1.csv,540,100,0,,,,grid_time_utc,,,
r4/output/r4f6b_presession_candidate_year_coverage_v1.csv,6,1,1,,,,,,local_reference_status,local_reference_status
r4/output/r4f6c_fast_friday_source_map_v1.csv,6,1,1,,,,,,source_status,reference_priority
r4/output/r4f6d_fast_friday_numeric_acquisition_manifest_v1.csv,10,1,0,,,,,,download_status;http_status,reference_role
r4/output/r4f6e_fast_friday_numeric_content_audit_v1.csv,10,1,0,,,,,,,reference_role
r4/output/r4f6e_fast_friday_numeric_year_summary_v1.csv,5,1,0,,,,,,,
r4/output/r4f6h_v2_strict_attempt_eligibility_audit.csv,329,44,0,attempt_id,driver_name,,,car_attempt_index,result_status,fast_friday_reference_available
r4/output/r4f6i_performance_status_eligibility_audit_v1.csv,329,44,0,attempt_id,driver_name,,,,result_status,mixed_reference_available;general_reference_available
r4/output/r4f6i_reference_type_repeat_window_rows_v1.csv,43,7,0,,driver_name,,,,first_status;repeat_status,
r4/output/r4f6j_b_temporal_support_potential_by_year_v1.csv,5,1,0,,,,,both_chronology_usable,,
r4/output/r4f6j_b_temporal_support_potential_pairs_v1.csv,43,7,0,,driver_name,,,both_chronology_usable,,
r4/output/r4f6j_candidate_expanded_fast_friday_reference_panel_v1.csv,171,33,34,,driver_name;driver_key,reference_speed_mph,,,,reference_speed_mph;reference_type;reference_priority
r4/output/r4f6j_missing_fast_friday_reference_evidence_v1.csv,108,38,36,,driver_name;driver_key,reference_speed_mph,,,,reference_speed_mph;reference_type;reference_priority
r4/output/r4f6j_missing_fast_friday_reference_summary_v1.csv,6,1,1,,,,,,,general_fast_friday_refs
r4/output/r4f6j_missing_fast_friday_source_manifest_v1.csv,9,3,3,,,,,,pdf_signature_valid;acquisition_status,
r4/output/r4f6j_strict_repeat_support_by_year_v1.csv,5,1,0,,,,,,primary_status_pairs,primary_plus_reference_pairs
r4/output/r4f6j_strict_repeat_support_pairs_v1.csv,92,8,0,,driver_name,first_speed_mph;repeat_speed_mph,first_point_utc;repeat_point_utc;first_lower_utc;first_upper_utc;repeat_lower_utc;repeat_upper_utc,first_chronology_usable;repeat_chronology_usable,first_status;repeat_status;both_primary_status,reference_available;reference_type
r4/output/r4f6k_expanded_fast_friday_all_evidence_v1.csv,214,38,36,,driver_name;driver_key,reference_speed_mph,,,,reference_speed_mph;reference_type;reference_priority
r4/output/r4f6k_expanded_fast_friday_canonical_panel_v1.csv,202,33,33,,driver_name;driver_key,reference_speed_mph,,,,reference_speed_mph;reference_type;reference_priority
r4/output/r4f6k_expanded_fast_friday_summary_v1.csv,6,1,1,,,,,,,
r4/output/r4f6k_fast_friday_quarantine_v1.csv,1,0,1,,driver_name;driver_key,reference_speed_mph,,,,reference_speed_mph;reference_type;reference_priority
r4/output/r4f7a_b_latent_readiness_ceiling_by_year_v1.csv,5,1,0,,,,,,,ceiling_if_reference_complete;forecast_ceiling_if_reference_complete;increment_if_reference_complete;only_reference_missing
r4/output/r4f7a_b_latent_readiness_ceiling_rows_v1.csv,329,44,0,attempt_id,driver_name,,,,,ready_except_reference;forecast_ready_except_reference;structural_nonreference_ready
r4/output/r4f7a_latent_window_input_readiness_by_year_v1.csv,5,1,0,,,,,,,strict_with_reference
r4/output/r4f7a_latent_window_input_readiness_rows_v1.csv,329,44,0,attempt_id,driver_name;driver_key,four_lap_average_speed_mph,time_point_available,car_attempt_index;chronology_usable,result_status,fast_friday_reference_available;fast_friday_reference_type
r4/output/r4f7a_v2_expanded_latent_window_input_readiness_by_year.csv,5,1,0,,,,,,,strict_with_reference
