year,session_id,car_number,driver_name,after_attempt_id,after_time_utc,current_delta_speed_mph,current_delta_late_run_fade_mph,signal_semantic,future_information_used,prior_3_peer_count,prior_3_median_delta_speed_mph,prior_3_mean_delta_speed_mph,prior_3_positive_speed_fraction,prior_3_median_delta_fade_mph,prior_3_fade_improvement_fraction,prior_3_signal_span_minutes,prior_5_peer_count,prior_5_median_delta_speed_mph,prior_5_mean_delta_speed_mph,prior_5_positive_speed_fraction,prior_5_median_delta_fade_mph,prior_5_fade_improvement_fraction,prior_5_signal_span_minutes
2020,INDY500_DAY1_2020,60,Jack Harvey,e7089fb7-0048-5bb8-8589-cc5bbc59a6cd,2020-08-15T17:55:45Z,-0.104000,0.144000,PAST_ONLY_OTHER_CAR_REPEAT_PERFORMANCE_SIGNAL,False,0,,,,,,,0,,,,,,
2020,INDY500_DAY1_2020,9,Scott Dixon,33a57398-b346-53e3-b5e5-369a3ca71efc,2020-08-15T18:00:45Z,-0.041000,0.032000,PAST_ONLY_OTHER_CAR_REPEAT_PERFORMANCE_SIGNAL,False,1,-0.104000,-0.104000,0.000000,0.144000,1.000000,5.000000,1,-0.104000,-0.104000,0.000000,0.144000,1.000000,5.000000
2020,INDY500_DAY1_2020,8,Marcus Ericsson,25ddda12-052a-5d71-ac52-6e96cf8edab9,2020-08-15T18:16:35Z,0.094000,0.046000,PAST_ONLY_OTHER_CAR_REPEAT_PERFORMANCE_SIGNAL,False,2,-0.072500,-0.072500,0.000000,0.088000,1.000000,20.833333,2,-0.072500,-0.072500,0.000000,0.088000,1.000000,20.833333
2020,INDY500_DAY1_2020,20,Ed Carpenter,893c5471-df02-55c0-946f-0af9d0a835d9,2020-08-15T18:47:30Z,0.400000,1.501500,PAST_ONLY_OTHER_CAR_REPEAT_PERFORMANCE_SIGNAL,False,3,-0.041000,-0.017000,0.333333,0.046000,1.000000,51.750000,3,-0.041000,-0.017000,0.333333,0.046000,1.000000,51.750000
2020,INDY500_DAY1_2020,47,Conor Daly,df3c02a3-9655-512c-a2e6-4ffe9eadc505,2020-08-15T19:00:50Z,0.071000,0.527000,PAST_ONLY_OTHER_CAR_REPEAT_PERFORMANCE_SIGNAL,False,3,0.094000,0.151000,0.666667,0.046000,1.000000,60.083333,4,0.026500,0.087250,0.500000,0.095000,1.000000,65.083333
2020,INDY500_DAY1_2020,88,Colton Herta,0817e595-17c0-5e20-94bc-6778006bf613,2020-08-15T19:05:50Z,0.215000,-0.299500,PAST_ONLY_OTHER_CAR_REPEAT_PERFORMANCE_SIGNAL,False,3,0.094000,0.188333,1.000000,0.527000,1.000000,49.250000,5,0.071000,0.084000,0.600000,0.144000,1.000000,70.083333
2020,INDY500_DAY1_2020,9,Scott Dixon,b4a08fbf-93db-50a2-9416-96b3b9d1b41a,2020-08-15T19:15:00Z,0.102000,-0.468500,PAST_ONLY_OTHER_CAR_REPEAT_PERFORMANCE_SIGNAL,False,3,0.215000,0.228667,1.000000,0.527000,0.666667,27.500000,5,0.094000,0.135200,0.800000,0.144000,0.800000,79.250000
2020,INDY500_DAY1_2020,81,Ben Hanley,b58b5c13-1a21-50cf-ab5b-8962cc4486f0,2020-08-15T19:30:50Z,1.971000,1.827000,PAST_ONLY_OTHER_CAR_REPEAT_PERFORMANCE_SIGNAL,False,3,0.102000,0.129333,1.000000,-0.299500,0.333333,30.000000,5,0.102000,0.176400,1.000000,0.046000,0.600000,74.250000
2020,INDY500_DAY1_2020,3,Helio Castroneves,7799cc62-18bb-568d-9de2-16cb3622a0de,2020-08-15T19:39:10Z,0.258000,-0.678500,PAST_ONLY_OTHER_CAR_REPEAT_PERFORMANCE_SIGNAL,False,3,0.215000,0.762667,1.000000,-0.299500,0.333333,33.333333,5,0.215000,0.551800,1.000000,0.527000,0.600000,51.666667
2020,INDY500_DAY1_2020,59,Max Chilton,fb65c8cf-d1c6-583e-9563-6c22e29bb081,2020-08-15T20:10:00Z,1.484000,0.815500,PAST_ONLY_OTHER_CAR_REPEAT_PERFORMANCE_SIGNAL,False,3,0.258000,0.777000,1.000000,-0.468500,0.333333,55.000000,5,0.215000,0.523400,1.000000,-0.299500,0.400000,69.166667
