file,column,classes,semantic_type,target_rows,nonempty,coverage,unique_values,numeric_fraction,numeric_min,numeric_max,direct_attempt_join
r4p5_decision_safe_forecast_scenarios_v1.csv,decision_time_utc,TIME,TIME_OR_DATETIME,40,40,1.0,40,0.0,,,False
r4p5_decision_safe_forecast_scenarios_v1.csv,selected_hrrr_cycle_utc,FORECAST;TIME,TIME_OR_DATETIME,40,40,1.0,15,0.0,,,False
r4p5_decision_safe_forecast_scenarios_v1.csv,cycle_age_minutes_at_decision,FORECAST,CONTINUOUS_NUMERIC,40,40,1.0,40,1.0,60.75,118.75,False
r4p5_decision_safe_forecast_scenarios_v1.csv,actual_next_attempt_time_utc,TIME,TIME_OR_DATETIME,40,40,1.0,40,0.0,,,False
r4p5_decision_safe_forecast_scenarios_v1.csv,actual_next_run_speed_delta_mph,DERIVED_TREND,CONTINUOUS_NUMERIC,40,40,1.0,39,1.0,-1.419,4.695,False
r4p5_decision_safe_forecast_scenarios_v1.csv,decision_time_safe,TIME,BOOLEAN_FLAG,40,40,1.0,1,0.0,,,False
r4p5_decision_safe_forecast_scenarios_v1.csv,forecast_now_temp_c,FORECAST,CONTINUOUS_NUMERIC,40,40,1.0,40,1.0,15.623741,29.65947,False
r4p5_decision_safe_forecast_scenarios_v1.csv,forecast_now_dewpoint_c,FORECAST,CONTINUOUS_NUMERIC,40,40,1.0,40,1.0,5.680533,20.083178,False
r4p5_decision_safe_forecast_scenarios_v1.csv,forecast_now_relative_humidity_pct,HUMIDITY;FORECAST,CONTINUOUS_NUMERIC,40,40,1.0,40,1.0,32.564583,69.656012,False
r4p5_decision_safe_forecast_scenarios_v1.csv,forecast_now_wind_speed_10m_ms,WIND;FORECAST,CONTINUOUS_NUMERIC,40,40,1.0,40,1.0,0.408785,5.620006,False
r4p5_decision_safe_forecast_scenarios_v1.csv,forecast_now_wind_direction_deg,WIND;FORECAST,CONTINUOUS_NUMERIC,40,40,1.0,40,1.0,2.676525,359.423259,False
r4p5_decision_safe_forecast_scenarios_v1.csv,forecast_now_pressure_hpa,PRESSURE;FORECAST,CONTINUOUS_NUMERIC,40,40,1.0,37,1.0,985.739833,1001.616333,False
r4p5_decision_safe_forecast_scenarios_v1.csv,forecast_now_gust_ms,WIND;FORECAST,CONTINUOUS_NUMERIC,40,40,1.0,40,1.0,1.042208,7.482549,False
r4p5_decision_safe_forecast_scenarios_v1.csv,forecast_now_cloud_cover_pct,SOLAR_CLOUD;FORECAST,CONTINUOUS_NUMERIC,40,40,1.0,20,1.0,0.0,100.0,False
