horizon_min,model_name,pooled_loyo_rows,mae_delta_c,rmse_delta_c,direction_accuracy
15,ZERO_CHANGE,149,1.1272682078051208,1.4618667959327045,0.1610738255033557
15,CURRENT_15M_SLOPE,149,1.14765100671141,1.711491564945396,0.6442953020134228
15,CURRENT_30M_SLOPE,149,1.0724583644046735,1.5359435358645692,0.6577181208053692
15,RIDGE_DELTA,149,1.0513564388243781,1.4137420780754886,0.6241610738255033
15,HUBER_DELTA,149,1.18862166536638,1.5262037001122584,0.5503355704697986
30,ZERO_CHANGE,143,1.95027195027195,2.3551090228482994,0.06993006993006994
30,CURRENT_15M_SLOPE,143,2.1564361564361567,3.101225645851877,0.6293706293706294
30,CURRENT_30M_SLOPE,143,1.7777777777777772,2.5286828121785323,0.6783216783216783
30,RIDGE_DELTA,143,1.7212466848811523,2.2075691560023407,0.7272727272727273
30,HUBER_DELTA,143,2.0246906250768806,2.4783755047811535,0.5664335664335665
