model_name,test_year,test_rows,brier_score,log_loss,accuracy,roc_auc
BASE_RATE,2020,11,0.175332,0.539558,0.818182,0.500000
BASE_RATE,2021,16,0.361111,0.987041,0.500000,0.500000
BASE_RATE,2023,12,0.175170,0.539797,0.833333,0.500000
BASE_RATE,2024,1,0.094675,0.367725,1.000000,
PAST3,2020,10,0.166444,0.521614,0.900000,1.000000
PAST3,2021,15,0.302085,0.806859,0.466667,0.553571
PAST3,2023,11,0.195180,0.580046,0.727273,0.400000
PAST5,2020,10,0.205873,0.602271,0.800000,0.888889
PAST5,2021,15,0.306407,0.817017,0.466667,0.491071
PAST5,2023,11,0.229211,0.672885,0.818182,0.100000
ENV_ONLY,2020,11,0.083829,0.311683,0.909091,1.000000
ENV_ONLY,2021,15,0.293531,0.824711,0.466667,0.571429
ENV_ONLY,2023,12,0.190300,0.567616,0.666667,0.850000
ENV_ONLY,2024,1,0.087252,0.350103,1.000000,
PAST3_PLUS_ENV,2020,10,0.093357,0.340170,0.900000,0.888889
PAST3_PLUS_ENV,2021,14,0.298279,0.796484,0.500000,0.408163
PAST3_PLUS_ENV,2023,11,0.226747,0.644232,0.636364,0.600000
BASE_RATE,POOLED_LOYO,40,0.247579,0.714327,0.700000,0.312500
PAST3,POOLED_LOYO,36,0.231741,0.658320,0.666667,0.330769
PAST5,POOLED_LOYO,36,0.254893,0.713325,0.666667,0.263462
ENV_ONLY,POOLED_LOYO,39,0.197332,0.588735,0.666667,0.795455
PAST3_PLUS_ENV,POOLED_LOYO,35,0.217248,0.618258,0.657143,0.585470
