test_year,model,n,mae_mph,rmse_mph,bias_mph,correlation
2020,FAST_FRIDAY_REFERENCE_ONLY,39,1.0107692307692333,1.1790343941395884,0.8820512820512822,0.9458129983678725
2020,REFERENCE_PLUS_GLOBAL_TRAIN_CALIBRATION,39,0.6800059171597709,0.8430572397571324,0.3140666666666793,0.9458129983678724
2020,REFERENCE_PLUS_PAST_STATE_RIDGE,39,0.6988003690539131,0.8622580846473789,0.37872854916615895,0.948165900192085
2020,REFERENCE_PLUS_THERMAL_RIDGE,39,0.8934318016684109,1.091225947734786,0.6479106761707079,0.9293249581396492
2020,REFERENCE_PLUS_PAST_STATE_PLUS_THERMAL_RIDGE,39,0.6740633924315664,0.8804296912229058,0.17570193085834682,0.9325477867926959
2021,FAST_FRIDAY_REFERENCE_ONLY,48,0.8443125000000009,1.1894285304996945,0.6961041666666681,0.6593252177527879
2021,REFERENCE_PLUS_GLOBAL_TRAIN_CALIBRATION,48,0.6331696428571417,0.9646493107495522,0.019211309523807785,0.6593252177527879
2021,REFERENCE_PLUS_PAST_STATE_RIDGE,48,0.8512326609153078,1.165081765403426,-0.3258158209568312,0.6254092796732168
2021,REFERENCE_PLUS_THERMAL_RIDGE,48,0.7429475575623723,1.0533654127226397,-0.21373088996191036,0.6130536244326501
2021,REFERENCE_PLUS_PAST_STATE_PLUS_THERMAL_RIDGE,48,1.5184048959998993,1.8530883735491914,1.3340512485918385,0.6152109003139059
2023,FAST_FRIDAY_REFERENCE_ONLY,17,0.5608235294117625,0.7776781430113883,0.20623529411764707,0.8740749008886584
2023,REFERENCE_PLUS_GLOBAL_TRAIN_CALIBRATION,17,0.6672974983096768,0.94384140482405,-0.5732244759973071,0.8740749008886584
2023,REFERENCE_PLUS_PAST_STATE_RIDGE,17,0.9010288195252488,1.1486955662726162,-0.8559653228619615,0.8626050848353877
2023,REFERENCE_PLUS_THERMAL_RIDGE,17,0.8188942545244499,1.1066255171746584,-0.788652191285708,0.8677162366033535
2023,REFERENCE_PLUS_PAST_STATE_PLUS_THERMAL_RIDGE,17,0.6266850530319696,0.8818362642469445,-0.39895673212865124,0.8558724061932388
ALL_LOYO,FAST_FRIDAY_REFERENCE_ONLY,104,0.8603942307692318,1.1283224827149367,0.685759615384616,0.8952101582326827
ALL_LOYO,REFERENCE_PLUS_GLOBAL_TRAIN_CALIBRATION,104,0.656311837477292,0.9174044441888435,0.032941603511433146,0.8890181172878481
ALL_LOYO,REFERENCE_PLUS_PAST_STATE_PLUS_THERMAL_RIDGE,104,1.0560149347535552,1.4151646157408608,0.6163901037470837,0.8132155272424588
ALL_LOYO,REFERENCE_PLUS_PAST_STATE_RIDGE,104,0.8022103081631405,1.0587707935849393,-0.14827073535674082,0.8578892854450318
ALL_LOYO,REFERENCE_PLUS_THERMAL_RIDGE,104,0.8117935130286302,1.0764904986424153,0.015407176929123797,0.8442541370540145
