fused_decision_id,year,driver,regime,benchmark_type,current_result_speed_mph,benchmark_speed_mph,assumed_time_remaining_minutes,time_remaining_semantics,priority_wait_reduction_fraction,priority_wait_reduction_percent,priority_reduction_semantics,n_draws,lane2_wait_support_minutes,lane1_effective_wait_support_minutes,retain_p_completed,retain_p_final_result_exists,retain_p_final_meets_benchmark,retain_p_final_improves_current,retain_p_final_worse_than_current,retain_expected_final_speed_mph,withdraw_p_completed,withdraw_p_final_result_exists,withdraw_p_no_final_result,withdraw_p_final_meets_benchmark,withdraw_p_final_beats_current,withdraw_p_final_worse_than_current,withdraw_expected_final_speed_conditional_mph,delta_completion_probability,delta_benchmark_success_probability,delta_improvement_probability,delta_no_result_probability,delta_downside_probability,withdraw_benchmark_probability_exceeds_retain,withdraw_completion_probability_exceeds_retain,dynamic_competitor_evolution_used,historical_priority_advantage_claimed
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,DAY1,FAST_NINE_ADVANCEMENT,230.254,230.254,5,STRUCTURAL_SENSITIVITY_SCENARIO,0.0,0,STRUCTURAL_SENSITIVITY_NOT_HISTORICAL_ESTIMATE,20000,5|15|30|45,5.000|15.000|30.000|45.000,0.0,1.0,1.0,0.0,0.0,230.254,0.0,0.0,1.0,0.0,0.0,1.0,,0.0,-1.0,0.0,1.0,1.0,False,False,False,False
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,DAY1,FAST_NINE_ADVANCEMENT,230.254,230.254,5,STRUCTURAL_SENSITIVITY_SCENARIO,0.25,25,STRUCTURAL_SENSITIVITY_NOT_HISTORICAL_ESTIMATE,20000,5|15|30|45,3.750|11.250|22.500|33.750,0.0,1.0,1.0,0.0,0.0,230.254,0.0,0.0,1.0,0.0,0.0,1.0,,0.0,-1.0,0.0,1.0,1.0,False,False,False,False
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,DAY1,FAST_NINE_ADVANCEMENT,230.254,230.254,5,STRUCTURAL_SENSITIVITY_SCENARIO,0.5,50,STRUCTURAL_SENSITIVITY_NOT_HISTORICAL_ESTIMATE,20000,5|15|30|45,2.500|7.500|15.000|22.500,0.0,1.0,1.0,0.0,0.0,230.254,0.0,0.0,1.0,0.0,0.0,1.0,,0.0,-1.0,0.0,1.0,1.0,False,False,False,False
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,DAY1,FAST_NINE_ADVANCEMENT,230.254,230.254,5,STRUCTURAL_SENSITIVITY_SCENARIO,0.75,75,STRUCTURAL_SENSITIVITY_NOT_HISTORICAL_ESTIMATE,20000,5|15|30|45,1.250|3.750|7.500|11.250,0.0,1.0,1.0,0.0,0.0,230.254,0.24755,0.24755,0.75245,0.06895,0.06895,0.93105,229.68210953132572,0.24755,-0.93105,0.06895,0.75245,0.93105,False,True,False,False
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,DAY1,FAST_NINE_ADVANCEMENT,230.254,230.254,10,STRUCTURAL_SENSITIVITY_SCENARIO,0.0,0,STRUCTURAL_SENSITIVITY_NOT_HISTORICAL_ESTIMATE,20000,5|15|30|45,5.000|15.000|30.000|45.000,0.2516,1.0,1.0,0.07155,0.0,230.29816782866368,0.2516,0.2516,0.7484,0.07155,0.07155,0.92845,229.68752188208575,0.0,-0.92845,0.0,0.7484,0.92845,False,False,False,False
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,DAY1,FAST_NINE_ADVANCEMENT,230.254,230.254,10,STRUCTURAL_SENSITIVITY_SCENARIO,0.25,25,STRUCTURAL_SENSITIVITY_NOT_HISTORICAL_ESTIMATE,20000,5|15|30|45,3.750|11.250|22.500|33.750,0.2516,1.0,1.0,0.07155,0.0,230.29816782866368,0.2516,0.2516,0.7484,0.07155,0.07155,0.92845,229.68752188208575,0.0,-0.92845,0.0,0.7484,0.92845,False,False,False,False
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,DAY1,FAST_NINE_ADVANCEMENT,230.254,230.254,10,STRUCTURAL_SENSITIVITY_SCENARIO,0.5,50,STRUCTURAL_SENSITIVITY_NOT_HISTORICAL_ESTIMATE,20000,5|15|30|45,2.500|7.500|15.000|22.500,0.2516,1.0,1.0,0.07155,0.0,230.29816782866368,0.2516,0.2516,0.7484,0.07155,0.07155,0.92845,229.68752188208575,0.0,-0.92845,0.0,0.7484,0.92845,False,False,False,False
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,DAY1,FAST_NINE_ADVANCEMENT,230.254,230.254,10,STRUCTURAL_SENSITIVITY_SCENARIO,0.75,75,STRUCTURAL_SENSITIVITY_NOT_HISTORICAL_ESTIMATE,20000,5|15|30|45,1.250|3.750|7.500|11.250,0.2516,1.0,1.0,0.07155,0.0,230.29816782866368,0.5,0.5,0.5,0.1398,0.1398,0.8602,229.66968354404275,0.2484,-0.8602,0.06825,0.5,0.8602,False,True,False,False
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,DAY1,FAST_NINE_ADVANCEMENT,230.254,230.254,15,STRUCTURAL_SENSITIVITY_SCENARIO,0.0,0,STRUCTURAL_SENSITIVITY_NOT_HISTORICAL_ESTIMATE,20000,5|15|30|45,5.000|15.000|30.000|45.000,0.2493,1.0,1.0,0.0682,0.0,230.29600235374943,0.2493,0.2493,0.7507,0.0682,0.0682,0.9318,229.6584641866889,0.0,-0.9318,0.0,0.7507,0.9318,False,False,False,False
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,DAY1,FAST_NINE_ADVANCEMENT,230.254,230.254,15,STRUCTURAL_SENSITIVITY_SCENARIO,0.25,25,STRUCTURAL_SENSITIVITY_NOT_HISTORICAL_ESTIMATE,20000,5|15|30|45,3.750|11.250|22.500|33.750,0.2493,1.0,1.0,0.0682,0.0,230.29600235374943,0.5033,0.5033,0.4967,0.1383,0.1383,0.8617,229.66558439785624,0.254,-0.8617,0.07010000000000001,0.4967,0.8617,False,True,False,False
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,DAY1,FAST_NINE_ADVANCEMENT,230.254,230.254,15,STRUCTURAL_SENSITIVITY_SCENARIO,0.5,50,STRUCTURAL_SENSITIVITY_NOT_HISTORICAL_ESTIMATE,20000,5|15|30|45,2.500|7.500|15.000|22.500,0.2493,1.0,1.0,0.0682,0.0,230.29600235374943,0.5033,0.5033,0.4967,0.1383,0.1383,0.8617,229.66558439785624,0.254,-0.8617,0.07010000000000001,0.4967,0.8617,False,True,False,False
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,DAY1,FAST_NINE_ADVANCEMENT,230.254,230.254,15,STRUCTURAL_SENSITIVITY_SCENARIO,0.75,75,STRUCTURAL_SENSITIVITY_NOT_HISTORICAL_ESTIMATE,20000,5|15|30|45,1.250|3.750|7.500|11.250,0.2493,1.0,1.0,0.0682,0.0,230.29600235374943,1.0,1.0,0.0,0.2786,0.2786,0.7214,229.66968195336042,0.7507,-0.7214,0.21040000000000003,0.0,0.7214,False,True,False,False
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,DAY1,FAST_NINE_ADVANCEMENT,230.254,230.254,20,STRUCTURAL_SENSITIVITY_SCENARIO,0.0,0,STRUCTURAL_SENSITIVITY_NOT_HISTORICAL_ESTIMATE,20000,5|15|30|45,5.000|15.000|30.000|45.000,0.503,1.0,1.0,0.1417,0.0,230.34356188218868,0.503,0.503,0.497,0.1417,0.1417,0.8583,229.67505495583984,0.0,-0.8583000000000001,0.0,0.497,0.8583,False,False,False,False
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,DAY1,FAST_NINE_ADVANCEMENT,230.254,230.254,20,STRUCTURAL_SENSITIVITY_SCENARIO,0.25,25,STRUCTURAL_SENSITIVITY_NOT_HISTORICAL_ESTIMATE,20000,5|15|30|45,3.750|11.250|22.500|33.750,0.503,1.0,1.0,0.1417,0.0,230.34356188218868,0.503,0.503,0.497,0.1417,0.1417,0.8583,229.67505495583984,0.0,-0.8583000000000001,0.0,0.497,0.8583,False,False,False,False
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,DAY1,FAST_NINE_ADVANCEMENT,230.254,230.254,20,STRUCTURAL_SENSITIVITY_SCENARIO,0.5,50,STRUCTURAL_SENSITIVITY_NOT_HISTORICAL_ESTIMATE,20000,5|15|30|45,2.500|7.500|15.000|22.500,0.503,1.0,1.0,0.1417,0.0,230.34356188218868,0.7542,0.7542,0.2458,0.214,0.214,0.786,229.68072210631277,0.2512,-0.786,0.0723,0.2458,0.786,False,True,False,False
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,DAY1,FAST_NINE_ADVANCEMENT,230.254,230.254,20,STRUCTURAL_SENSITIVITY_SCENARIO,0.75,75,STRUCTURAL_SENSITIVITY_NOT_HISTORICAL_ESTIMATE,20000,5|15|30|45,1.250|3.750|7.500|11.250,0.503,1.0,1.0,0.1417,0.0,230.34356188218868,1.0,1.0,0.0,0.2846,0.2846,0.7154,229.68007096434926,0.497,-0.7154,0.14290000000000003,0.0,0.7154,False,True,False,False
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,DAY1,FAST_NINE_ADVANCEMENT,230.254,230.254,30,STRUCTURAL_SENSITIVITY_SCENARIO,0.0,0,STRUCTURAL_SENSITIVITY_NOT_HISTORICAL_ESTIMATE,20000,5|15|30|45,5.000|15.000|30.000|45.000,0.4961,1.0,1.0,0.1376,0.0,230.33928275756975,0.4961,0.4961,0.5039,0.1376,0.1376,0.8624,229.66278031614337,0.0,-0.8624,0.0,0.5039,0.8624,False,False,False,False
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,DAY1,FAST_NINE_ADVANCEMENT,230.254,230.254,30,STRUCTURAL_SENSITIVITY_SCENARIO,0.25,25,STRUCTURAL_SENSITIVITY_NOT_HISTORICAL_ESTIMATE,20000,5|15|30|45,3.750|11.250|22.500|33.750,0.4961,1.0,1.0,0.1376,0.0,230.33928275756975,0.7494,0.7494,0.2506,0.20825,0.20825,0.79175,229.66523748452468,0.25329999999999997,-0.79175,0.07064999999999999,0.2506,0.79175,False,True,False,False
