year,attempt_id,driver_name,driver_key,car_number,result_status,strict_performance_eligible,reference_available,reference_speed_mph,reference_type,point_time_available,environment_alignment_usable,ptsc_track_temp_available,hrrr_leakage_safe_available,observed_latent_ready,forecast_latent_ready,dataset_role
2020,00d1c34a-f916-5fa9-803b-2cc6962f2595,Josef Newgarden,josef newgarden,1,VALID_RETAINED,True,True,230.583,GENERAL_FAST_FRIDAY_BEST_SPEED,True,True,True,True,True,True,CORE_DEVELOPMENT
2020,d8f3d4d6-6f33-5dbd-80ed-75cd29056b63,Josef Newgarden,josef newgarden,1,UNKNOWN,False,True,230.583,GENERAL_FAST_FRIDAY_BEST_SPEED,True,True,True,True,False,False,CORE_DEVELOPMENT
2020,6041dd38-4b6d-5e38-81fd-8006cbe0bafd,Felix Rosenqvist,felix rosenqvist,10,VALID_RETAINED,True,True,230.432,GENERAL_FAST_FRIDAY_BEST_SPEED,True,True,True,True,True,True,CORE_DEVELOPMENT
2020,449bb30a-dc85-5fd4-bc68-156753bda025,Will Power,will power,12,VALID_RETAINED,True,True,231.605,GENERAL_FAST_FRIDAY_BEST_SPEED,False,False,False,False,False,False,CORE_DEVELOPMENT
2020,317f7650-a81e-56a5-b488-2767d7046566,"Power, Will",power will,12,UNKNOWN,False,False,,,False,False,False,False,False,False,CORE_DEVELOPMENT
2020,f0b1cd27-f6b6-51e1-b91c-159cdeca670d,"Power, Will",power will,12,UNKNOWN,False,False,,,False,False,False,False,False,False,CORE_DEVELOPMENT
2020,925bf85d-b3b8-58a5-b0a4-2df4955f2bb7,Will Power,will power,12,UNKNOWN,False,True,231.605,GENERAL_FAST_FRIDAY_BEST_SPEED,False,False,False,False,False,False,CORE_DEVELOPMENT
2020,bbb6e306-5fe0-5643-8ab7-7f370f77a1fe,Will Power,will power,12,UNKNOWN,False,True,231.605,GENERAL_FAST_FRIDAY_BEST_SPEED,False,False,False,False,False,False,CORE_DEVELOPMENT
2020,cbdbf766-10d3-516e-83ad-3cb56f8c02fb,Tony Kanaan,tony kanaan,14,VALID_RETAINED,True,True,229.946,GENERAL_FAST_FRIDAY_BEST_SPEED,True,True,True,True,True,True,CORE_DEVELOPMENT
2020,16cb7863-a6d0-5895-93e4-a76ac2c6c71f,Graham Rahal,graham rahal,15,VALID_RETAINED,True,True,231.239,GENERAL_FAST_FRIDAY_BEST_SPEED,True,True,True,True,True,True,CORE_DEVELOPMENT
2020,59dbbaed-31a4-576f-ae4e-a507faf360c3,Graham Rahal,graham rahal,15,UNKNOWN,False,True,231.239,GENERAL_FAST_FRIDAY_BEST_SPEED,True,True,True,True,False,False,CORE_DEVELOPMENT
2020,1e794f15-e9b3-55c1-91a6-85cadd3ab366,Santino Ferrucci,santino ferrucci,18,VALID_RETAINED,True,True,230.154,GENERAL_FAST_FRIDAY_BEST_SPEED,False,False,False,False,False,False,CORE_DEVELOPMENT
2020,9a2e168d-3dda-5e76-8daf-588c20d91341,Ed Carpenter,ed carpenter,20,VALID_RETAINED,True,True,229.563,GENERAL_FAST_FRIDAY_BEST_SPEED,True,True,True,True,True,True,CORE_DEVELOPMENT
2020,893c5471-df02-55c0-946f-0af9d0a835d9,Ed Carpenter,ed carpenter,20,VALID_RETAINED,True,True,229.563,GENERAL_FAST_FRIDAY_BEST_SPEED,True,True,True,True,True,True,CORE_DEVELOPMENT
2020,e132bf44-6808-5d6b-819c-a993af279439,Rinus VeeKay,rinus veekay,21,VALID_RETAINED,True,True,230.331,GENERAL_FAST_FRIDAY_BEST_SPEED,True,True,True,True,True,True,CORE_DEVELOPMENT
2020,2fb75f25-92ad-5b41-90a1-3a1457ae8012,Simon Pagenaud,simon pagenaud,22,VALID_RETAINED,True,True,230.189,GENERAL_FAST_FRIDAY_BEST_SPEED,True,True,True,True,True,True,CORE_DEVELOPMENT
2020,63886d30-e3e7-575f-a896-d317da3b03c2,Simon Pagenaud,simon pagenaud,22,UNKNOWN,False,True,230.189,GENERAL_FAST_FRIDAY_BEST_SPEED,True,True,True,True,False,False,CORE_DEVELOPMENT
