year,anchor_pattern,mph_values,matched_drivers,context
2023,four[-\s]?lap,234.202;234.171;234.029;233.796;233.412;233.112;233.085;233.070,"Andretti, Marco;Colton Herta;Ed Carpenter;Josef Newgarden;Marco Andretti;Marcus Ericsson;Pato O'Ward;Rinus VeeKay;Takuma Sato;Will Power","t 234.202 in the No. 98 KULR/Curb Honda fielded by Andretti Herta w/Marco & Curb-Agajanian. Rinus VeeKay was third at 234.171 in the No. 21 Bitnile.com Chevrolet fielded by Ed Carpenter Racing. Reigning &ldquo;500&rdquo; winner Marcus Ericsson took the fourth spot at 234.029 in the No. 8 Huski Ice Spritz Honda fielded by Chip Ganassi Racing. Pato O&rsquo;Ward rounded out the top five at 233.796 in the No. 5 Arrow McLaren Chevrolet. All 34 drivers spent the entire session on the 2.5-mile oval in four-lap qualifying simulations to prepare for two days of pressure-packed qualifying. Sato also drove to the fastest four-lap average speed of 233.412 during the sims. Three other drivers produced four-lap qualifying sim average speeds of 233 mph, with Ericsson at 233.112, two-time series champion Josef Newgarden at 233.085 in the No. 2 Shell Powering Progress Team Penske Chevrolet and reigning series champion Will Power at 233.070 in the No. 12 Verizon Team Penske Chevrolet. Saturday&rsquo;s action st"
2023,four[-\s]?lap,234.171;234.029;233.796;233.412;233.112;233.085;233.070,Ed Carpenter;Josef Newgarden;Marcus Ericsson;Pato O'Ward;Takuma Sato;Will Power,"234.171 in the No. 21 Bitnile.com Chevrolet fielded by Ed Carpenter Racing. Reigning &ldquo;500&rdquo; winner Marcus Ericsson took the fourth spot at 234.029 in the No. 8 Huski Ice Spritz Honda fielded by Chip Ganassi Racing. Pato O&rsquo;Ward rounded out the top five at 233.796 in the No. 5 Arrow McLaren Chevrolet. All 34 drivers spent the entire session on the 2.5-mile oval in four-lap qualifying simulations to prepare for two days of pressure-packed qualifying. Sato also drove to the fastest four-lap average speed of 233.412 during the sims. Three other drivers produced four-lap qualifying sim average speeds of 233 mph, with Ericsson at 233.112, two-time series champion Josef Newgarden at 233.085 in the No. 2 Shell Powering Progress Team Penske Chevrolet and reigning series champion Will Power at 233.070 in the No. 12 Verizon Team Penske Chevrolet. Saturday&rsquo;s action starts with practice from 8:30-9:30 a.m., separated into two groups. Qualifying takes place from 11 a.m.-5:50 p.m., with"
2023,four[-\s]?lap,234.029;233.796;233.412;233.112;233.085;233.070,Josef Newgarden;Marcus Ericsson;Pato O'Ward;Takuma Sato;Will Power,"ning &ldquo;500&rdquo; winner Marcus Ericsson took the fourth spot at 234.029 in the No. 8 Huski Ice Spritz Honda fielded by Chip Ganassi Racing. Pato O&rsquo;Ward rounded out the top five at 233.796 in the No. 5 Arrow McLaren Chevrolet. All 34 drivers spent the entire session on the 2.5-mile oval in four-lap qualifying simulations to prepare for two days of pressure-packed qualifying. Sato also drove to the fastest four-lap average speed of 233.412 during the sims. Three other drivers produced four-lap qualifying sim average speeds of 233 mph, with Ericsson at 233.112, two-time series champion Josef Newgarden at 233.085 in the No. 2 Shell Powering Progress Team Penske Chevrolet and reigning series champion Will Power at 233.070 in the No. 12 Verizon Team Penske Chevrolet. Saturday&rsquo;s action starts with practice from 8:30-9:30 a.m., separated into two groups. Qualifying takes place from 11 a.m.-5:50 p.m., with spots 13 through 30 in the field of 33 determined. 2014 Indianapolis 500 winner"
2023,qualifying simulation,234.753;239.260,Takuma Sato,"ce lap since 1996 on the eve of the start of qualifying. Two-time &ldquo;500&rdquo; winner Sato led the six-hour session with a lap of 38.3382 seconds, 234.753 mph in the No. 11 Deloitte Honda fielded by Chip Ganassi Racing, the ninth-fastest practice lap in Indy 500 history. The eight fastest practice laps at Indy were turned in 1996, led by Arie Luyendyk&rsquo;s speed of 239.260. SEE: Practice Results | Saturday Qualifying Order | Qualifying Format Sato&rsquo;s best lap came during a four-lap qualifying simulation early in the six-hour session that he had to abandon after coming within a hair&rsquo;s width of touching the SAFER Barrier in Turn 4. &ldquo;The beginning of the run, first time today, was really too light,&rdquo; Sato said. &ldquo;The middle run, we had more downforce, and I was getting more comfortable. By the end of the day, I think I wanted to try to find the limit again, so we went to a little bit sketchy one (setup) again, so I had to lift in Turn 4. But overall, I think we were very sat"
2023,qualifying simulation,234.171;234.029;233.796;233.412;233.112;233.085;233.070,"Andretti, Marco;Colton Herta;Ed Carpenter;Josef Newgarden;Marco Andretti;Marcus Ericsson;Pato O'Ward;Rinus VeeKay;Takuma Sato;Will Power"," in the No. 98 KULR/Curb Honda fielded by Andretti Herta w/Marco & Curb-Agajanian. Rinus VeeKay was third at 234.171 in the No. 21 Bitnile.com Chevrolet fielded by Ed Carpenter Racing. Reigning &ldquo;500&rdquo; winner Marcus Ericsson took the fourth spot at 234.029 in the No. 8 Huski Ice Spritz Honda fielded by Chip Ganassi Racing. Pato O&rsquo;Ward rounded out the top five at 233.796 in the No. 5 Arrow McLaren Chevrolet. All 34 drivers spent the entire session on the 2.5-mile oval in four-lap qualifying simulations to prepare for two days of pressure-packed qualifying. Sato also drove to the fastest four-lap average speed of 233.412 during the sims. Three other drivers produced four-lap qualifying sim average speeds of 233 mph, with Ericsson at 233.112, two-time series champion Josef Newgarden at 233.085 in the No. 2 Shell Powering Progress Team Penske Chevrolet and reigning series champion Will Power at 233.070 in the No. 12 Verizon Team Penske Chevrolet. Saturday&rsquo;s action starts with practice fro"
2023,qualifying sim,234.753;239.260,Takuma Sato,"ce lap since 1996 on the eve of the start of qualifying. Two-time &ldquo;500&rdquo; winner Sato led the six-hour session with a lap of 38.3382 seconds, 234.753 mph in the No. 11 Deloitte Honda fielded by Chip Ganassi Racing, the ninth-fastest practice lap in Indy 500 history. The eight fastest practice laps at Indy were turned in 1996, led by Arie Luyendyk&rsquo;s speed of 239.260. SEE: Practice Results | Saturday Qualifying Order | Qualifying Format Sato&rsquo;s best lap came during a four-lap qualifying simulation early in the six-hour session that he had to abandon after coming within a hair&rsquo;s width of touching the SAFER Barrier in Turn 4. &ldquo;The beginning of the run, first time today, was really too light,&rdquo; Sato said. &ldquo;The middle run, we had more downforce, and I was getting more comfortable. By the end of the day, I think I wanted to try to find the limit again, so we went to a little bit sketchy one (setup) again, so I had to lift in Turn 4. But overall, I think we were v"
2023,qualifying sim,234.171;234.029;233.796;233.412;233.112;233.085;233.070,"Andretti, Marco;Colton Herta;Ed Carpenter;Josef Newgarden;Marco Andretti;Marcus Ericsson;Pato O'Ward;Rinus VeeKay;Takuma Sato;Will Power"," in the No. 98 KULR/Curb Honda fielded by Andretti Herta w/Marco & Curb-Agajanian. Rinus VeeKay was third at 234.171 in the No. 21 Bitnile.com Chevrolet fielded by Ed Carpenter Racing. Reigning &ldquo;500&rdquo; winner Marcus Ericsson took the fourth spot at 234.029 in the No. 8 Huski Ice Spritz Honda fielded by Chip Ganassi Racing. Pato O&rsquo;Ward rounded out the top five at 233.796 in the No. 5 Arrow McLaren Chevrolet. All 34 drivers spent the entire session on the 2.5-mile oval in four-lap qualifying simulations to prepare for two days of pressure-packed qualifying. Sato also drove to the fastest four-lap average speed of 233.412 during the sims. Three other drivers produced four-lap qualifying sim average speeds of 233 mph, with Ericsson at 233.112, two-time series champion Josef Newgarden at 233.085 in the No. 2 Shell Powering Progress Team Penske Chevrolet and reigning series champion Will Power at 233.070 in the No. 12 Verizon Team Penske Chevrolet. Saturday&rsquo;s action starts with pract"
2023,qualifying sim,234.029;233.796;233.412;233.112;233.085;233.070,Josef Newgarden;Marcus Ericsson;Pato O'Ward;Takuma Sato;Will Power,"uo;500&rdquo; winner Marcus Ericsson took the fourth spot at 234.029 in the No. 8 Huski Ice Spritz Honda fielded by Chip Ganassi Racing. Pato O&rsquo;Ward rounded out the top five at 233.796 in the No. 5 Arrow McLaren Chevrolet. All 34 drivers spent the entire session on the 2.5-mile oval in four-lap qualifying simulations to prepare for two days of pressure-packed qualifying. Sato also drove to the fastest four-lap average speed of 233.412 during the sims. Three other drivers produced four-lap qualifying sim average speeds of 233 mph, with Ericsson at 233.112, two-time series champion Josef Newgarden at 233.085 in the No. 2 Shell Powering Progress Team Penske Chevrolet and reigning series champion Will Power at 233.070 in the No. 12 Verizon Team Penske Chevrolet. Saturday&rsquo;s action starts with practice from 8:30-9:30 a.m., separated into two groups. Qualifying takes place from 11 a.m.-5:50 p.m., with spots 13 through 30 in the field of 33 determined. 2014 Indianapolis 500 winner Ryan Hunter-Re"
2024,four[-\s]?lap,234.063;234.217,Alex Palou;Josef Newgarden;Scott McLaughlin;Will Power,"am Penske has that mark squarely in its sights. Penske teammates Josef Newgarden, Scott McLaughlin and Will Power were the three fastest drivers during simulated qualifying runs in practice Friday for the 108th edition of &ldquo;The Greatest Spectacle in Racing&rdquo; as the focus shifted toward PPG Presents Armed Forces Qualifying on Saturday and Sunday on the 2.5-mile oval. SEE: Practice Results | Qualifying Procedure Reigning Indianapolis 500 winner Newgarden averaged 234.063 mph in his best four-lap qualifying sim in the No. 2 Shell Powering Progress Team Penske Chevrolet. Reigning NTT INDYCAR SERIES champion Alex Palou set the event record last year with an average speed of 234.217 en route to his first career &ldquo;500&rdquo; pole. Speeds soared Friday because the Honda and Chevrolet engines that power the field featured approximately 100 more horsepower due to increased boost levels that also will be available this weekend during PPG Presents Armed Forces Qualifying. &ldquo;You can&rsq"
2024,four[-\s]?lap,234.271;232.549;234.260,Josef Newgarden;Kyle Larson;Nolan Siegel,"st, but it doesn&rsquo;t mean much for qualifying.&rdquo; Rookie Kyle Larson was second fastest overall on a single lap at 234.271 in the No. 17 Hendrickcars.com Arrow McLaren Chevrolet. He was 10th on the qualifying sim speed chart at 232.549. 2021 NASCAR Cup Series champion Larson is attempting the &ldquo;double&rdquo; of racing in the &ldquo;500&rdquo; and the NASCAR Coca-Cola 600 at Charlotte Motor Speedway on Sunday, May 26. Newgarden&rsquo;s lap of 234.260 &ndash; the first on his fastest four-lap qualifying sim &ndash; ended up as the third-fastest single lap overall. All 34 drivers attempting to earn one of the 33 starting spots combined to turn 990 laps today, a significant reduction from Wednesday and Thursday as teams focused mainly on solo runs in qualifying simulations instead of running numerous laps in traffic to test race setups. There was one incident in the six-hour session. Rookie Nolan Siegel spun in Turn 2 during a qualifying simulation and hit the SAFER Barrier. Siegel&rs"
