year,session_id,field,nonempty_rows,total_rows
2021,5847,BestLapTime,0,7
2021,5847,BestSpeed,0,7
2021,5847,BestSpeedFormatted,0,7
2021,5847,CarNumber,7,7
2021,5847,Difference,0,7
2021,5847,DriverName,7,7
2021,5847,DriverOverrideID,7,7
2021,5847,DriverUrl,1,7
2021,5847,DriversID,7,7
2021,5847,ElapsedTime,7,7
2021,5847,EventsEntrylistID,7,7
2021,5847,EventsSessionsDetailsID,7,7
2021,5847,EventsSessionsID,7,7
2021,5847,FirstName,7,7
2021,5847,Gap,0,7
2021,5847,InLap,0,7
2021,5847,IsDeleted,7,7
2021,5847,LapsComplete,0,7
2021,5847,LapsDown,0,7
2021,5847,LapsLed,0,7
2021,5847,LastName,7,7
2021,5847,PitStops,0,7
2021,5847,PointsEarned,0,7
2021,5847,PositionFinish,7,7
2021,5847,PositionStart,0,7
2021,5847,QualLap1,7,7
2021,5847,QualLap2,7,7
2021,5847,QualLap3,7,7
2021,5847,QualLap4,7,7
2021,5847,SpeedAvg,7,7
2021,5847,SpeedAvgFormatted,7,7
2021,5847,Status,0,7
2021,5847,TeamName,7,7
2021,5847,TimesLed,0,7
2023,6205,BestLapTime,0,4
2023,6205,BestSpeed,0,4
2023,6205,BestSpeedFormatted,0,4
2023,6205,CarNumber,4,4
2023,6205,Difference,0,4
2023,6205,DriverName,4,4
2023,6205,DriverOverrideID,4,4
2023,6205,DriverUrl,4,4
2023,6205,DriversID,4,4
2023,6205,ElapsedTime,4,4
2023,6205,EventsEntrylistID,4,4
2023,6205,EventsSessionsDetailsID,4,4
2023,6205,EventsSessionsID,4,4
2023,6205,FirstName,4,4
2023,6205,Gap,0,4
2023,6205,InLap,0,4
2023,6205,IsDeleted,4,4
2023,6205,LapsComplete,0,4
2023,6205,LapsDown,0,4
2023,6205,LapsLed,0,4
2023,6205,LastName,4,4
2023,6205,PitStops,0,4
2023,6205,PointsEarned,0,4
2023,6205,PositionFinish,4,4
2023,6205,PositionStart,0,4
2023,6205,QualLap1,4,4
2023,6205,QualLap2,4,4
2023,6205,QualLap3,4,4
2023,6205,QualLap4,4,4
2023,6205,SpeedAvg,4,4
2023,6205,SpeedAvgFormatted,4,4
2023,6205,Status,0,4
2023,6205,TeamName,4,4
2023,6205,TimesLed,0,4
2024,6385,BestLapTime,0,4
2024,6385,BestSpeed,0,4
2024,6385,BestSpeedFormatted,0,4
2024,6385,CarNumber,4,4
2024,6385,Difference,0,4
2024,6385,DriverName,4,4
2024,6385,DriverOverrideID,4,4
2024,6385,DriverUrl,4,4
2024,6385,DriversID,4,4
2024,6385,ElapsedTime,4,4
2024,6385,EventsEntrylistID,4,4
2024,6385,EventsSessionsDetailsID,4,4
2024,6385,EventsSessionsID,4,4
2024,6385,FirstName,4,4
2024,6385,Gap,0,4
2024,6385,InLap,0,4
2024,6385,IsDeleted,4,4
2024,6385,LapsComplete,0,4
2024,6385,LapsDown,0,4
2024,6385,LapsLed,0,4
2024,6385,LastName,4,4
2024,6385,PitStops,0,4
2024,6385,PointsEarned,0,4
2024,6385,PositionFinish,4,4
2024,6385,PositionStart,0,4
2024,6385,QualLap1,4,4
2024,6385,QualLap2,4,4
2024,6385,QualLap3,4,4
2024,6385,QualLap4,4,4
2024,6385,SpeedAvg,4,4
2024,6385,SpeedAvgFormatted,4,4
2024,6385,Status,0,4
2024,6385,TeamName,4,4
2024,6385,TimesLed,0,4
