year,canonical_attempts,canonical_distinct_cars,valid_four_lap_average_attempts,complete_lap_1_4_attempts,complete_performance_attempts,timestamp_exact_attempts,timestamp_approximate_attempts,timestamp_bounded_attempts,timestamp_ordering_only_attempts,timestamp_unknown_attempts,point_timestamp_attempts,timestamp_evidenced_including_bounded,leakage_safe_hrrr_attempts,observed_ptsc_track_temp_attempts,same_day_multi_attempt_baseline_candidates,cross_car_window_candidate_attempts,cross_car_candidate_distinct_cars,complete_performance_excluded_for_missing_point_timing,point_timed_excluded_for_incomplete_performance,partial_attempts,section_only_attempts,fixed_window_status
2020,63,33,46,48,46,0,47,0,4,12,47,47,47,46,24,39,28,7,8,12,4,USABLE
2021,60,35,51,52,51,0,54,0,1,5,54,54,54,53,29,49,33,2,5,8,1,USABLE
2022,44,33,40,40,40,0,0,5,3,36,0,5,0,0,16,0,0,40,0,0,0,UNAVAILABLE
2023,85,34,69,69,69,0,28,0,1,56,28,28,28,28,57,28,16,41,0,15,1,USABLE
2024,77,34,54,54,54,0,9,2,1,65,9,11,7,10,36,7,6,47,2,17,3,SPARSE
TOTAL,329,169,260,263,260,0,138,7,10,174,138,145,136,137,162,123,83,137,15,52,9,3_USABLE_1_SPARSE_1_UNAVAILABLE
