fused_decision_id,year,driver,regime,action,protected_result_exists_at_decision,assumed_time_remaining_minutes,time_remaining_semantics,n_draws,mc_status,performance_sample_ready,predictive_mean_mph,predictive_sd_mph,performance_support_count,uncertainty_class,current_result_speed_mph,benchmark_type,benchmark_rank,benchmark_speed_mph,p_reattempt_completed,p_final_result_exists,p_no_final_result,p_new_attempt_beats_current_result,p_new_attempt_meets_or_exceeds_decision_benchmark,p_final_result_meets_or_exceeds_decision_benchmark,p_final_result_worse_than_current,p_protected_result_surrendered,expected_new_attempt_speed_mph,expected_final_result_speed_conditional_mph,final_speed_q05_mph,final_speed_q25_mph,final_speed_q50_mph,final_speed_q75_mph,final_speed_q95_mph,wait_mean_minutes,wait_q05_minutes,wait_q50_minutes,wait_q95_minutes,run_duration_mean_minutes,completion_time_mean_minutes,dynamic_competitor_evolution_used,interruption_model_used
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,DAY1,STOP,True,5,STRUCTURAL_SENSITIVITY_SCENARIO,20000,DETERMINISTIC_STOP,True,229.672042420814,1.006927726693,,MODERATE_N_10_19,230.254,FAST_NINE_ADVANCEMENT,9.0,230.254,0.0,1.0,0.0,,,1.0,0.0,0.0,,230.254,230.254,230.254,230.254,230.254,230.254,0.0,0.0,0.0,0.0,0.0,0.0,False,False
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,DAY1,STOP,True,10,STRUCTURAL_SENSITIVITY_SCENARIO,20000,DETERMINISTIC_STOP,True,229.672042420814,1.006927726693,,MODERATE_N_10_19,230.254,FAST_NINE_ADVANCEMENT,9.0,230.254,0.0,1.0,0.0,,,1.0,0.0,0.0,,230.254,230.254,230.254,230.254,230.254,230.254,0.0,0.0,0.0,0.0,0.0,0.0,False,False
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,DAY1,STOP,True,15,STRUCTURAL_SENSITIVITY_SCENARIO,20000,DETERMINISTIC_STOP,True,229.672042420814,1.006927726693,,MODERATE_N_10_19,230.254,FAST_NINE_ADVANCEMENT,9.0,230.254,0.0,1.0,0.0,,,1.0,0.0,0.0,,230.254,230.254,230.254,230.254,230.254,230.254,0.0,0.0,0.0,0.0,0.0,0.0,False,False
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,DAY1,STOP,True,20,STRUCTURAL_SENSITIVITY_SCENARIO,20000,DETERMINISTIC_STOP,True,229.672042420814,1.006927726693,,MODERATE_N_10_19,230.254,FAST_NINE_ADVANCEMENT,9.0,230.254,0.0,1.0,0.0,,,1.0,0.0,0.0,,230.254,230.254,230.254,230.254,230.254,230.254,0.0,0.0,0.0,0.0,0.0,0.0,False,False
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,DAY1,STOP,True,30,STRUCTURAL_SENSITIVITY_SCENARIO,20000,DETERMINISTIC_STOP,True,229.672042420814,1.006927726693,,MODERATE_N_10_19,230.254,FAST_NINE_ADVANCEMENT,9.0,230.254,0.0,1.0,0.0,,,1.0,0.0,0.0,,230.254,230.254,230.254,230.254,230.254,230.254,0.0,0.0,0.0,0.0,0.0,0.0,False,False
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,DAY1,STOP,True,45,STRUCTURAL_SENSITIVITY_SCENARIO,20000,DETERMINISTIC_STOP,True,229.672042420814,1.006927726693,,MODERATE_N_10_19,230.254,FAST_NINE_ADVANCEMENT,9.0,230.254,0.0,1.0,0.0,,,1.0,0.0,0.0,,230.254,230.254,230.254,230.254,230.254,230.254,0.0,0.0,0.0,0.0,0.0,0.0,False,False
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,DAY1,STOP,True,60,STRUCTURAL_SENSITIVITY_SCENARIO,20000,DETERMINISTIC_STOP,True,229.672042420814,1.006927726693,,MODERATE_N_10_19,230.254,FAST_NINE_ADVANCEMENT,9.0,230.254,0.0,1.0,0.0,,,1.0,0.0,0.0,,230.254,230.254,230.254,230.254,230.254,230.254,0.0,0.0,0.0,0.0,0.0,0.0,False,False
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,DAY1,RETAIN_AND_REATTEMPT,True,5,STRUCTURAL_SENSITIVITY_SCENARIO,20000,SIMULATED,True,229.672042420814,1.006927726693,,MODERATE_N_10_19,230.254,FAST_NINE_ADVANCEMENT,9.0,230.254,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,229.66440634908494,230.254,230.254,230.254,230.254,230.254,230.254,23.791,5.0,30.0,45.0,2.599185394950792,26.390185394950795,False,False
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,DAY1,RETAIN_AND_REATTEMPT,True,10,STRUCTURAL_SENSITIVITY_SCENARIO,20000,SIMULATED,True,229.672042420814,1.006927726693,,MODERATE_N_10_19,230.254,FAST_NINE_ADVANCEMENT,9.0,230.254,0.2445,1.0,0.0,0.0674,0.0674,1.0,0.0,0.0,229.68709533420318,230.2959399515034,230.254,230.254,230.254,230.254,230.47985019777406,23.81925,5.0,30.0,45.0,2.5993138141266665,26.418563814126664,False,False
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,DAY1,RETAIN_AND_REATTEMPT,True,15,STRUCTURAL_SENSITIVITY_SCENARIO,20000,SIMULATED,True,229.672042420814,1.006927726693,,MODERATE_N_10_19,230.254,FAST_NINE_ADVANCEMENT,9.0,230.254,0.2439,1.0,0.0,0.06775,0.06775,1.0,0.0,0.0,229.66743712948616,230.29617473116596,230.254,230.254,230.254,230.254,230.49451644643216,23.91075,5.0,30.0,45.0,2.5991433639987904,26.50989336399879,False,False
