year,all_complete_repeat_pairs,primary_status_pairs,primary_plus_reference_pairs,primary_ref_point_time_pairs,primary_ref_interval_time_pairs,primary_ref_any_temporal_pairs
2020,13,13,0,0,0,0
2021,16,16,0,0,0,0
2022,8,7,0,0,0,0
2023,35,4,4,1,0,1
2024,20,2,2,0,1,1
