decision_id,year,session_regime,driver_name,car_number,source_attempt_id,decision_time_utc,action,current_result_mph,current_rank,benchmark_type,benchmark_rank,benchmark_speed_mph,requires_wait_draw,requires_new_attempt,protected_result_retained,withdrawal_risk,wait_model_available
DAY1_2020_28_POST_FIRST_ATTEMPT,2020,DAY1,Ryan Hunter-Reay,28,d155ad85-3d5c-5b55-95d6-40ba696a0bde,2020-08-15T16:04:05+00:00,STOP,231.33,1,FAST_NINE_ADVANCEMENT,9,229.861,False,False,True,False,True
DAY1_2020_28_POST_FIRST_ATTEMPT,2020,DAY1,Ryan Hunter-Reay,28,d155ad85-3d5c-5b55-95d6-40ba696a0bde,2020-08-15T16:04:05+00:00,RETAIN_AND_REATTEMPT,231.33,1,FAST_NINE_ADVANCEMENT,9,229.861,True,True,True,False,True
DAY1_2020_28_POST_FIRST_ATTEMPT,2020,DAY1,Ryan Hunter-Reay,28,d155ad85-3d5c-5b55-95d6-40ba696a0bde,2020-08-15T16:04:05+00:00,WITHDRAW_AND_PRIORITY_REATTEMPT,231.33,1,FAST_NINE_ADVANCEMENT,9,229.861,True,True,False,True,True
DAY1_2020_29_POST_FIRST_ATTEMPT,2020,DAY1,James Hinchcliffe,29,917d4c7e-5c5e-5976-aa32-50a7bc958440,2020-08-15T16:32:25+00:00,STOP,231.195,3,FAST_NINE_ADVANCEMENT,9,230.296,False,False,True,False,True
DAY1_2020_29_POST_FIRST_ATTEMPT,2020,DAY1,James Hinchcliffe,29,917d4c7e-5c5e-5976-aa32-50a7bc958440,2020-08-15T16:32:25+00:00,RETAIN_AND_REATTEMPT,231.195,3,FAST_NINE_ADVANCEMENT,9,230.296,True,True,True,False,True
DAY1_2020_29_POST_FIRST_ATTEMPT,2020,DAY1,James Hinchcliffe,29,917d4c7e-5c5e-5976-aa32-50a7bc958440,2020-08-15T16:32:25+00:00,WITHDRAW_AND_PRIORITY_REATTEMPT,231.195,3,FAST_NINE_ADVANCEMENT,9,230.296,True,True,False,True,True
DAY1_2020_3_POST_FIRST_ATTEMPT,2020,DAY1,Helio Castroneves,3,f2f5d37e-6270-5e2d-8ae0-2e63cea098b3,2020-08-15T17:34:05+00:00,STOP,228.115,24,FAST_NINE_ADVANCEMENT,9,230.56,False,False,True,False,True
DAY1_2020_3_POST_FIRST_ATTEMPT,2020,DAY1,Helio Castroneves,3,f2f5d37e-6270-5e2d-8ae0-2e63cea098b3,2020-08-15T17:34:05+00:00,RETAIN_AND_REATTEMPT,228.115,24,FAST_NINE_ADVANCEMENT,9,230.56,True,True,True,False,True
DAY1_2020_3_POST_FIRST_ATTEMPT,2020,DAY1,Helio Castroneves,3,f2f5d37e-6270-5e2d-8ae0-2e63cea098b3,2020-08-15T17:34:05+00:00,WITHDRAW_AND_PRIORITY_REATTEMPT,228.115,24,FAST_NINE_ADVANCEMENT,9,230.56,True,True,False,True,True
DAY1_2020_47_POST_FIRST_ATTEMPT,2020,DAY1,Conor Daly,47,a7f0ef57-a971-5870-9606-1fe1cd378e2a,2020-08-15T16:58:15+00:00,STOP,229.884,13,FAST_NINE_ADVANCEMENT,9,230.472,False,False,True,False,True
DAY1_2020_47_POST_FIRST_ATTEMPT,2020,DAY1,Conor Daly,47,a7f0ef57-a971-5870-9606-1fe1cd378e2a,2020-08-15T16:58:15+00:00,RETAIN_AND_REATTEMPT,229.884,13,FAST_NINE_ADVANCEMENT,9,230.472,True,True,True,False,True
DAY1_2020_47_POST_FIRST_ATTEMPT,2020,DAY1,Conor Daly,47,a7f0ef57-a971-5870-9606-1fe1cd378e2a,2020-08-15T16:58:15+00:00,WITHDRAW_AND_PRIORITY_REATTEMPT,229.884,13,FAST_NINE_ADVANCEMENT,9,230.472,True,True,False,True,True
DAY1_2020_51_POST_FIRST_ATTEMPT,2020,DAY1,James Davison,51,e2cf6770-902a-5a11-8e7c-27e4441f0b5e,2020-08-15T16:41:35+00:00,STOP,228.747,17,FAST_NINE_ADVANCEMENT,9,230.296,False,False,True,False,True
DAY1_2020_51_POST_FIRST_ATTEMPT,2020,DAY1,James Davison,51,e2cf6770-902a-5a11-8e7c-27e4441f0b5e,2020-08-15T16:41:35+00:00,RETAIN_AND_REATTEMPT,228.747,17,FAST_NINE_ADVANCEMENT,9,230.296,True,True,True,False,True
DAY1_2020_51_POST_FIRST_ATTEMPT,2020,DAY1,James Davison,51,e2cf6770-902a-5a11-8e7c-27e4441f0b5e,2020-08-15T16:41:35+00:00,WITHDRAW_AND_PRIORITY_REATTEMPT,228.747,17,FAST_NINE_ADVANCEMENT,9,230.296,True,True,False,True,True
DAY1_2020_55_POST_FIRST_ATTEMPT,2020,DAY1,Alex Palou,55,b3ac1729-6563-5819-a04b-0f76aeae5b0f,2020-08-15T16:45:45+00:00,STOP,231.034,6,FAST_NINE_ADVANCEMENT,9,230.472,False,False,True,False,True
DAY1_2020_55_POST_FIRST_ATTEMPT,2020,DAY1,Alex Palou,55,b3ac1729-6563-5819-a04b-0f76aeae5b0f,2020-08-15T16:45:45+00:00,RETAIN_AND_REATTEMPT,231.034,6,FAST_NINE_ADVANCEMENT,9,230.472,True,True,True,False,True
DAY1_2020_55_POST_FIRST_ATTEMPT,2020,DAY1,Alex Palou,55,b3ac1729-6563-5819-a04b-0f76aeae5b0f,2020-08-15T16:45:45+00:00,WITHDRAW_AND_PRIORITY_REATTEMPT,231.034,6,FAST_NINE_ADVANCEMENT,9,230.472,True,True,False,True,True
DAY1_2020_59_POST_FIRST_ATTEMPT,2020,DAY1,Max Chilton,59,75519828-93ba-5485-a4bf-a06b93f7cec3,2020-08-15T17:29:05+00:00,STOP,225.819,25,FAST_NINE_ADVANCEMENT,9,230.56,False,False,True,False,True
