year,canonical_attempt_rows,canonical_reference_rows,candidate_files,files_with_speed,files_with_time_and_speed,files_with_order_or_time_and_speed,strongest_supported_mode
2022,44,33,157,59,26,46,POINT_TIME_PREQUENTIAL_REPLAY_POTENTIALLY_AVAILABLE
2025,0,33,14,5,0,0,REFERENCE_VS_OUTCOME_TRANSFER_ONLY
