decision_id,year,session_regime,car_number,driver_name,source_attempt_id,decision_time_utc,performance_attempt_exact_link,performance_speed_mph,prior_other_car_attempts_10m,prior_other_car_attempts_20m,prior_other_car_attempts_30m,prior_other_car_median_speed_10m,prior_other_car_median_speed_20m,prior_other_car_median_speed_30m,whole_field_window_context_20m_ready,ptsc_prior_observation_available,ptsc_prior_observation_age_min,ptsc_track_temp,hrrr_decision_safe_cycle_available,hrrr_selected_cycle_utc,hrrr_supports_decision_time,hrrr_supports_plus_30m,thermal_context_ready,wait_model_structural_available,historical_wait_observed,historical_action_required_for_engine,engine_v1_state_ready,model_role,ptsc_selected_time_utc,ptsc_time_field_used,ptsc_temperature_field_used,ptsc_track_temp_c,ptsc_track_temperature_value_available
DAY1_2020_66_POST_FIRST_ATTEMPT,2020,DAY1,66,Fernando Alonso,c9ee13fe-3b9e-555c-9a7d-a078015b8b91,2020-08-15T15:59:05+00:00,True,228.768000,2,3,5,229.183500,230.296000,230.296000,True,True,14.083,,True,2020-08-15T14:00:00+00:00,True,True,True,True,False,False,True,COUNTERFACTUAL_ENGINE_STATE,2020-08-15T15:45:00+00:00,utc_datetime,track_c,41.666667,True
DAY1_2020_67_POST_FIRST_ATTEMPT,2020,DAY1,67,JR Hildebrand,1a120ea2-c723-5585-8ec6-30169bb44ca7,2020-08-15T17:38:15+00:00,True,226.341000,2,4,6,226.967000,228.634500,228.995000,True,True,8.250,,True,2020-08-15T16:00:00+00:00,True,True,True,True,False,False,True,COUNTERFACTUAL_ENGINE_STATE,2020-08-15T17:30:00+00:00,utc_datetime,track_c,51.666667,True
DAY1_2020_7_POST_FIRST_ATTEMPT,2020,DAY1,7,Oliver Askew,72b65040-5363-5722-b1cd-297bffa2af77,2020-08-15T16:18:15+00:00,True,229.760000,1,3,5,230.472000,230.472000,230.472000,True,True,3.250,,True,2020-08-15T15:00:00+00:00,True,True,True,True,False,False,True,COUNTERFACTUAL_ENGINE_STATE,2020-08-15T16:15:00+00:00,utc_datetime,track_c,46.666667,True
DAY1_2020_8_POST_FIRST_ATTEMPT,2020,DAY1,8,Marcus Ericsson,518373d9-25de-58cf-8315-f6c215b6f672,2020-08-15T16:13:15+00:00,True,230.472000,1,3,4,231.330000,231.268000,230.018000,True,True,13.250,,True,2020-08-15T15:00:00+00:00,True,True,True,True,False,False,True,COUNTERFACTUAL_ENGINE_STATE,2020-08-15T16:00:00+00:00,utc_datetime,track_c,43.333333,True
DAY1_2020_81_POST_FIRST_ATTEMPT,2020,DAY1,81,Ben Hanley,a3016f3b-449e-576c-bf0f-284c71eddb34,2020-08-15T16:36:35+00:00,True,220.946000,2,4,5,230.503000,230.032500,230.254000,True,True,6.583,,True,2020-08-15T15:00:00+00:00,True,True,True,True,False,False,True,COUNTERFACTUAL_ENGINE_STATE,2020-08-15T16:30:00+00:00,utc_datetime,track_c,47.777778,True
DAY1_2020_88_POST_FIRST_ATTEMPT,2020,DAY1,88,Colton Herta,9ed5a76f-1d6e-5759-8ffc-9c1344b26bfc,2020-08-15T17:24:05+00:00,True,230.560000,2,3,4,230.252500,229.154000,229.519000,True,True,9.083,,True,2020-08-15T16:00:00+00:00,True,True,True,True,False,False,True,COUNTERFACTUAL_ENGINE_STATE,2020-08-15T17:15:00+00:00,utc_datetime,track_c,50.555556,True
DAY1_2020_98_POST_FIRST_ATTEMPT,2020,DAY1,98,Marco Andretti,f50bf607-2eaa-51a1-a6d0-2049fcaf3dcd,2020-08-15T17:14:05+00:00,True,231.351000,1,2,3,228.836000,229.360000,229.884000,False,True,14.083,,True,2020-08-15T16:00:00+00:00,True,True,True,True,False,False,False,PARTIAL_STATE_EVIDENCE,2020-08-15T17:00:00+00:00,utc_datetime,track_c,50.000000,True
DAY1_2021_1_POST_FIRST_ATTEMPT,2021,DAY1,1,JR Hildebrand,f31f214f-a151-5b1d-afaf-bb7103c2d514,2021-05-22T17:16:36+00:00,True,229.980000,2,3,5,230.368500,229.949000,230.557000,True,True,1.600,,True,2021-05-22T16:00:00+00:00,True,True,True,True,False,False,True,COUNTERFACTUAL_ENGINE_STATE,2021-05-22T17:15:00+00:00,utc_datetime,track_c,38.333333,True
DAY1_2021_11_POST_FIRST_ATTEMPT,2021,DAY1,11,Charlie Kimball,c150c8f9-470c-58e6-8766-44b6b751369f,2021-05-22T18:30:47+00:00,True,228.401000,2,4,5,229.638500,231.075000,231.046000,True,True,0.783,,True,2021-05-22T17:00:00+00:00,True,True,True,True,False,False,True,COUNTERFACTUAL_ENGINE_STATE,2021-05-22T18:30:00+00:00,utc_datetime,track_c,38.333333,True
DAY1_2021_12_POST_FIRST_ATTEMPT,2021,DAY1,12,Will Power,6992580a-0371-5eda-b01d-2adaca099ff4,2021-05-22T17:21:36+00:00,True,229.052000,2,3,5,229.935500,229.980000,229.980000,True,True,6.600,,True,2021-05-22T16:00:00+00:00,True,True,True,True,False,False,True,COUNTERFACTUAL_ENGINE_STATE,2021-05-22T17:15:00+00:00,utc_datetime,track_c,38.333333,True
