session_regime,year,rows,validation_rows,action_evidence_rows,decision_state_rows,counterfactual_model_input_rows,STOP,REATTEMPT,RETAIN_AND_REATTEMPT,WITHDRAW_AND_REATTEMPT,WITHDRAW_AND_PRIORITY_REATTEMPT,UNRESOLVED,roles
DAY1,2020,33,0,14,20,20,14,0,0,0,0,19,ACTION_EVIDENCE_ONLY:4;COUNTERFACTUAL_MODEL_INPUT:20;STRUCTURAL_REATTEMPT_EVIDENCE:9
DAY1,2021,35,0,15,25,25,15,0,0,0,0,20,ACTION_EVIDENCE_ONLY:4;COUNTERFACTUAL_MODEL_INPUT:25;STRUCTURAL_REATTEMPT_EVIDENCE:6
DAY1,2022,32,32,24,0,0,24,0,0,0,0,8,VALIDATION_ONLY:32
DAY1,2023,34,0,11,5,5,11,0,0,0,0,23,ACTION_EVIDENCE_ONLY:8;COUNTERFACTUAL_MODEL_INPUT:5;STRUCTURAL_REATTEMPT_EVIDENCE:21
DAY1,2024,4,4,2,0,0,2,0,0,0,0,2,VALIDATION_ONLY:4
LAST_CHANCE,2021,5,0,5,0,0,3,2,0,0,0,0,ACTION_EVIDENCE_ONLY:5
LAST_CHANCE,2023,4,0,4,0,0,3,1,0,0,0,0,ACTION_EVIDENCE_ONLY:4
LAST_CHANCE,2024,1,1,1,0,0,0,1,0,0,0,0,VALIDATION_ONLY:1
