session_regime,year,rows,resolved_action_rows,unresolved_action_rows,numeric_state_rows,policy_fit_rows,validation_rows,STOP,REATTEMPT,RETAIN_AND_REATTEMPT,WITHDRAW_AND_REATTEMPT,WITHDRAW_AND_PRIORITY_REATTEMPT,UNRESOLVED
DAY1,2020,33,14,19,20,14,0,14,0,0,0,0,19
DAY1,2021,35,15,20,25,15,0,15,0,0,0,0,20
DAY1,2022,32,24,8,0,0,32,24,0,0,0,0,8
DAY1,2023,34,11,23,5,11,0,11,0,0,0,0,23
DAY1,2024,4,2,2,0,0,4,2,0,0,0,0,2
LAST_CHANCE,2021,5,5,0,3,3,0,3,2,0,0,0,0
LAST_CHANCE,2023,4,4,0,3,4,0,3,1,0,0,0,0
LAST_CHANCE,2024,1,1,0,1,1,1,0,1,0,0,0,0
