year,session_id,car_number,driver_name,decision_attempt_id,decision_time_utc,selected_environment_response_model,historical_model_loyo_brier,historical_model_loyo_auc,score_plus_10m,score_plus_20m,score_plus_30m,best_forecast_horizon_min,best_environment_score,worst_forecast_horizon_min,worst_environment_score,forecast_horizon_score_spread,score_interpretation,decision_time_safe,realized_future_weather_used
2021,INDY500_DAY1_2021,2,Josef Newgarden,c4c9ba22-d28c-5937-b36c-72fffbbb67b5,2021-05-22T16:39:06+00:00,ATMOS_THERMAL,0.281890,0.154762,0.641452,0.631003,0.630494,10,0.641452,30,0.630494,0.010958,ENVIRONMENT_CONDITIONAL_IMPROVEMENT_PROPENSITY_NOT_FINAL_STRATEGY_PROBABILITY,True,False
2021,INDY500_DAY1_2021,21,Rinus VeeKay,407a503c-1695-5af6-9b88-28e9d802c8d1,2021-05-22T16:43:16+00:00,ATMOS_THERMAL,0.281890,0.154762,0.641452,0.634587,0.635065,10,0.641452,20,0.634587,0.006865,ENVIRONMENT_CONDITIONAL_IMPROVEMENT_PROPENSITY_NOT_FINAL_STRATEGY_PROBABILITY,True,False
2021,INDY500_DAY1_2021,25,Stefan Wilson,8c31470a-6324-527c-bfc3-fe19d8c1dc4d,2021-05-22T16:29:56+00:00,ATMOS_THERMAL,0.281890,0.154762,0.641452,0.631003,0.620430,10,0.641452,30,0.620430,0.021022,ENVIRONMENT_CONDITIONAL_IMPROVEMENT_PROPENSITY_NOT_FINAL_STRATEGY_PROBABILITY,True,False
2021,INDY500_DAY1_2021,25,Stefan Wilson,09935cc4-f542-569f-b50c-7460e0663860,2021-05-22T19:06:36+00:00,ATMOS_THERMAL,0.281890,0.154762,0.646840,0.641880,0.636890,10,0.646840,30,0.636890,0.009950,ENVIRONMENT_CONDITIONAL_IMPROVEMENT_PROPENSITY_NOT_FINAL_STRATEGY_PROBABILITY,True,False
2021,INDY500_DAY1_2021,26,Colton Herta,e9da8645-6367-51bf-8601-3670e9e76c5e,2021-05-22T18:12:27+00:00,ATMOS_THERMAL,0.281890,0.154762,0.647319,0.642844,0.638344,10,0.647319,30,0.638344,0.008975,ENVIRONMENT_CONDITIONAL_IMPROVEMENT_PROPENSITY_NOT_FINAL_STRATEGY_PROBABILITY,True,False
2021,INDY500_DAY1_2021,4,Dalton Kellett,099ab32a-d351-5011-931c-148b9f3d7921,2021-05-22T17:44:56+00:00,ATMOS_THERMAL,0.281890,0.154762,0.649848,0.647796,0.645609,10,0.649848,30,0.645609,0.004239,ENVIRONMENT_CONDITIONAL_IMPROVEMENT_PROPENSITY_NOT_FINAL_STRATEGY_PROBABILITY,True,False
2021,INDY500_DAY1_2021,47,Conor Daly,11be8bd4-5c39-5bd2-b24f-b6c87f0d885a,2021-05-22T17:49:06+00:00,ATMOS_THERMAL,0.281890,0.154762,0.649848,0.647689,0.645502,10,0.649848,30,0.645502,0.004346,ENVIRONMENT_CONDITIONAL_IMPROVEMENT_PROPENSITY_NOT_FINAL_STRATEGY_PROBABILITY,True,False
2021,INDY500_DAY1_2021,60,Jack Harvey,7d5d82b7-9765-51c9-b149-cb7de00d3905,2021-05-22T17:58:16+00:00,ATMOS_THERMAL,0.281890,0.154762,0.649637,0.647455,0.645266,10,0.649637,30,0.645266,0.004370,ENVIRONMENT_CONDITIONAL_IMPROVEMENT_PROPENSITY_NOT_FINAL_STRATEGY_PROBABILITY,True,False
2021,INDY500_DAY1_2021,7,Felix Rosenqvist,4bfd7a23-3f35-5bcf-9655-c286d7ee30ed,2021-05-22T17:35:46+00:00,ATMOS_THERMAL,0.281890,0.154762,0.649848,0.647922,0.645844,10,0.649848,30,0.645844,0.004004,ENVIRONMENT_CONDITIONAL_IMPROVEMENT_PROPENSITY_NOT_FINAL_STRATEGY_PROBABILITY,True,False
2021,INDY500_DAY1_2021,86,Juan Pablo Montoya,11bd473d-0cf3-56e2-9aa9-fb4487870c59,2021-05-22T17:11:36+00:00,ATMOS_THERMAL,0.281890,0.154762,0.649848,0.647922,0.645992,10,0.649848,30,0.645992,0.003856,ENVIRONMENT_CONDITIONAL_IMPROVEMENT_PROPENSITY_NOT_FINAL_STRATEGY_PROBABILITY,True,False
2021,INDY500_DAY1_2021,98,Marco Andretti,c2deab22-d3a0-5601-80f8-4cbf631c8f88,2021-05-22T16:05:46+00:00,ATMOS_THERMAL,0.281890,0.154762,0.641452,0.631003,0.620430,10,0.641452,30,0.620430,0.021022,ENVIRONMENT_CONDITIONAL_IMPROVEMENT_PROPENSITY_NOT_FINAL_STRATEGY_PROBABILITY,True,False
2021,INDY500_DAY1_2021,98,Marco Andretti,b671a083-ccd6-5511-a882-53e7bf202c19,2021-05-22T18:54:55+00:00,ATMOS_THERMAL,0.281890,0.154762,0.648571,0.646658,0.644740,10,0.648571,30,0.644740,0.003831,ENVIRONMENT_CONDITIONAL_IMPROVEMENT_PROPENSITY_NOT_FINAL_STRATEGY_PROBABILITY,True,False
2023,INDY500_DAY1_2023,11,Takuma Sato,55b6b39a-d64a-5a38-9dbc-84a9faac294b,2023-05-20T16:51:32+00:00,ATMOS_THERMAL,0.281890,0.154762,0.648404,0.646772,0.645138,10,0.648404,30,0.645138,0.003266,ENVIRONMENT_CONDITIONAL_IMPROVEMENT_PROPENSITY_NOT_FINAL_STRATEGY_PROBABILITY,True,False
2023,INDY500_DAY1_2023,27,Kyle Kirkwood,dda33fdd-49c8-5082-a03d-252bf1a6fa49,2023-05-20T17:14:58+00:00,ATMOS_THERMAL,0.281890,0.154762,0.647570,0.643349,0.639105,10,0.647570,30,0.639105,0.008465,ENVIRONMENT_CONDITIONAL_IMPROVEMENT_PROPENSITY_NOT_FINAL_STRATEGY_PROBABILITY,True,False
2023,INDY500_DAY1_2023,27,Kyle Kirkwood,f9f206a7-b2ab-5eb9-8805-0d279c65164d,2023-05-20T19:17:10+00:00,ATMOS_THERMAL,0.281890,0.154762,0.651364,0.650960,0.650556,10,0.651364,30,0.650556,0.000809,ENVIRONMENT_CONDITIONAL_IMPROVEMENT_PROPENSITY_NOT_FINAL_STRATEGY_PROBABILITY,True,False
2023,INDY500_DAY1_2023,29,Devlin DeFrancesco,f10d3a91-6f0d-59f0-9ea9-4db5cf6e44b9,2023-05-20T16:23:23+00:00,ATMOS_THERMAL,0.281890,0.154762,0.648088,0.644390,0.640675,10,0.648088,30,0.640675,0.007413,ENVIRONMENT_CONDITIONAL_IMPROVEMENT_PROPENSITY_NOT_FINAL_STRATEGY_PROBABILITY,True,False
2023,INDY500_DAY1_2023,33,Ed Carpenter,04dd64f3-9175-537b-b611-47d98856e4b7,2023-05-20T16:05:13+00:00,ATMOS_THERMAL,0.281890,0.154762,0.648088,0.644390,0.640675,10,0.648088,30,0.640675,0.007413,ENVIRONMENT_CONDITIONAL_IMPROVEMENT_PROPENSITY_NOT_FINAL_STRATEGY_PROBABILITY,True,False
2023,INDY500_DAY1_2023,33,Ed Carpenter,2b14c17d-769c-504e-819b-55270bb93b13,2023-05-20T19:25:49+00:00,ATMOS_THERMAL,0.281890,0.154762,0.651364,0.650960,0.650556,10,0.651364,30,0.650556,0.000809,ENVIRONMENT_CONDITIONAL_IMPROVEMENT_PROPENSITY_NOT_FINAL_STRATEGY_PROBABILITY,True,False
2023,INDY500_DAY1_2023,66,Tony Kanaan,09f4cf1e-3fb8-5bfc-808c-b733eb495b54,2023-05-20T16:00:52+00:00,ATMOS_THERMAL,0.281890,0.154762,0.648088,0.644390,0.640675,10,0.648088,30,0.640675,0.007413,ENVIRONMENT_CONDITIONAL_IMPROVEMENT_PROPENSITY_NOT_FINAL_STRATEGY_PROBABILITY,True,False
2023,INDY500_DAY1_2023,66,Tony Kanaan,fdb7fb74-bf21-54a6-8668-36c035e40628,2023-05-20T18:58:45+00:00,ATMOS_THERMAL,0.281890,0.154762,0.651685,0.650813,0.649940,10,0.651685,30,0.649940,0.001745,ENVIRONMENT_CONDITIONAL_IMPROVEMENT_PROPENSITY_NOT_FINAL_STRATEGY_PROBABILITY,True,False
2023,INDY500_DAY1_2023,77,Callum Ilott,f7e8b948-2fd0-5183-971b-aaea5c66c226,2023-05-20T16:41:46+00:00,ATMOS_THERMAL,0.281890,0.154762,0.648088,0.644755,0.643117,10,0.648088,30,0.643117,0.004971,ENVIRONMENT_CONDITIONAL_IMPROVEMENT_PROPENSITY_NOT_FINAL_STRATEGY_PROBABILITY,True,False
2023,INDY500_DAY1_2023,8,Marcus Ericsson,67f2af5c-ca4c-55e7-8c2a-5361873b43cc,2023-05-20T15:24:22+00:00,ATMOS_THERMAL,0.281890,0.154762,0.650154,0.648536,0.646914,10,0.650154,30,0.646914,0.003240,ENVIRONMENT_CONDITIONAL_IMPROVEMENT_PROPENSITY_NOT_FINAL_STRATEGY_PROBABILITY,True,False
2023,INDY500_DAY1_2023,8,Marcus Ericsson,fce06089-154b-512e-a547-fd144ec0961c,2023-05-20T18:14:06+00:00,ATMOS_THERMAL,0.281890,0.154762,0.657179,0.662549,0.667878,30,0.667878,10,0.657179,0.010699,ENVIRONMENT_CONDITIONAL_IMPROVEMENT_PROPENSITY_NOT_FINAL_STRATEGY_PROBABILITY,True,False
2023,INDY500_DAY1_2023,9,Scott Dixon,ad6c40ac-4389-5426-b8e5-1d130ac9da81,2023-05-20T15:37:44+00:00,ATMOS_THERMAL,0.281890,0.154762,0.650154,0.648536,0.645847,10,0.650154,30,0.645847,0.004306,ENVIRONMENT_CONDITIONAL_IMPROVEMENT_PROPENSITY_NOT_FINAL_STRATEGY_PROBABILITY,True,False
2024,INDY500_DAY1_2024,7,Alexander Rossi,3072c6a1-a1c0-561e-a338-3e9b559cea21,2024-05-18T17:53:59+00:00,ATMOS_THERMAL,0.281890,0.154762,0.648993,0.647436,0.645877,10,0.648993,30,0.645877,0.003116,ENVIRONMENT_CONDITIONAL_IMPROVEMENT_PROPENSITY_NOT_FINAL_STRATEGY_PROBABILITY,True,False
